Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,47262,75331.5,77186.5
2,1,1,1,52615,54796.5,10885.5
2,1,2,0,24532.25,45972.5,20432.75
2,1,2,1,12969.75,27467.25,15106.25
2,1,4,0,3388,3179.125,3104.75
2,1,4,1,4476.125,4171.75,3320.75
2,1,8,0,6501.5625,5695.125,2105
2,1,8,1,10647.8125,9362.0625,2235.75
2,1,16,0,4095,3200.4375,1556.09375
2,1,16,1,3240.0625,1550.90625,1530.125
2,1,32768,0,1197.72021484375,1243.4067993164062,1228.3647918701172
2,1,32768,1,1424.401870727539,1308.1688690185547,1261.9142303466797
2,1,65536,0,1224.113998413086,1363.3098449707031,1371.3315505981445
2,1,65536,1,1217.6901245117188,1310.246971130371,1369.7356719970703
2,1,131072,0,1245.6737937927246,1387.0960426330566,1351.0534629821777
2,1,131072,1,1216.7941627502441,1373.6124458312988,1402.8316535949707
4,1,1,0,33377.5,39075,19459.75
4,1,1,1,5420.25,6042.25,5547.5
4,1,2,0,19008.875,16556.875,7525.125
4,1,2,1,17971.375,19922.875,2932.875
4,1,4,0,6905.375,5304.1875,1599
4,1,4,1,6921.6875,7130.9375,5283.3125
4,1,8,0,3744.1875,3187.15625,1218.65625
4,1,8,1,5122.0625,5375.6875,2793.84375
4,1,16,0,1437.984375,790.359375,789.390625
4,1,16,1,2025.703125,1684.453125,786.875
4,1,32768,0,670.95947265625,778.2977294921875,633.9331512451172
4,1,32768,1,596.1835098266602,723.8473968505859,631.9502716064453
4,1,65536,0,634.8363456726074,678.7057723999023,729.7559776306152
4,1,65536,1,644.7788505554199,649.4660263061523,626.7099304199219
4,1,131072,0,614.3681488037109,653.8347511291504,668.764196395874
4,1,131072,1,656.5833587646484,647.3082675933838,653.1108551025391
8,1,1,0,10102,12226.25,2713.125
8,1,1,1,12562.25,3690.75,2776.75
8,1,2,0,10655.75,1576.25,1446.75
8,1,2,1,1392.0625,1548.9375,1451.5625
8,1,4,0,4205.9375,3600.8125,1009.1875
8,1,4,1,3388.65625,4272.625,810.0625
8,1,8,0,1016.625,1729.71875,1390.484375
8,1,8,1,2466.453125,542.703125,1426.359375
8,1,16,0,1485.4609375,1471.7578125,436.4453125
8,1,16,1,1463.1015625,1275.421875,421.21875
8,1,32768,0,298.7406692504883,317.4024543762207,350.34228134155273
8,1,32768,1,294.20202255249023,351.91167068481445,306.316951751709
8,1,65536,0,308.00061416625977,323.9313907623291,318.32322883605957
8,1,65536,1,299.7656879425049,323.4058303833008,337.68002700805664
8,1,131072,0,298.427716255188,337.54743671417236,332.3442039489746
8,1,131072,1,278.186222076416,320.1796064376831,300.6242570877075
16,1,1,0,7999.5625,8208.9375,1416.0625
16,1,1,1,1815.9375,6180.3125,1916.75
16,1,2,0,3592.625,2586.1875,725.25
16,1,2,1,5052.53125,4284.09375,924.875
16,1,4,0,2355.546875,1026.75,390.515625
16,1,4,1,1895.609375,1743.375,477.296875
16,1,8,0,1369.9921875,1174.625,265.265625
16,1,8,1,912.296875,279.4765625,261.0859375
16,1,16,0,191.4453125,266.5078125,195.14453125
16,1,16,1,194.71875,195.765625,194.1640625
16,1,32768,0,144.78285026550293,150.51064109802246,175.02604866027832
16,1,32768,1,144.88564109802246,176.7311305999756,154.0987148284912
16,1,65536,0,146.62378215789795,157.62316608428955,170.9435739517212
16,1,65536,1,146.3937578201294,157.83818340301514,168.53185081481934
16,1,131072,0,145.33293867111206,152.47637128829956,148.79062128067017
16,1,131072,1,143.9281439781189,147.98996496200562,153.51109838485718
32,1,1,0,2951.40625,2840.875,847.8125
32,1,1,1,4720.78125,5029.15625,694.375
32,1,2,0,1656.46875,1897.265625,441.09375
32,1,2,1,1091.953125,1550.640625,937.59375
32,1,4,0,240.2890625,223.25,209.0859375
32,1,4,1,715.7890625,519,208.6875
32,1,8,0,435.5078125,287.75,134.328125
32,1,8,1,662.97265625,637.95703125,337.765625
32,1,16,0,93.380859375,131.669921875,92.923828125
32,1,16,1,162.947265625,196.6640625,102.916015625
32,1,32768,0,68.60437393188477,77.32616329193115,71.97272205352783
32,1,32768,1,68.05546569824219,74.84037685394287,73.48286628723145
32,1,65536,0,69.54975366592407,75.54033994674683,77.88877630233765
32,1,65536,1,71.07053804397583,75.8135313987732,78.79442834854126
32,1,131072,0,70.9083902835846,79.09409356117249,77.54786896705627
32,1,131072,1,71.93091583251953,79.01925683021545,75.90573811531067
64,1,1,0,1498.28125,1534.703125,354.40625
64,1,1,1,1852.65625,1176.453125,349.734375
64,1,2,0,216.484375,211.4765625,192.8359375
64,1,2,1,1073.921875,192.328125,178.8984375
64,1,4,0,469.17578125,455.54296875,122.8203125
64,1,4,1,600.671875,647.953125,310.30078125
64,1,8,0,333.3203125,331.611328125,65.689453125
64,1,8,1,289.8359375,373.564453125,80.908203125
64,1,16,0,118.94140625,118.65625,49.359375
64,1,16,1,185.953125,145.4755859375,53.603515625
64,1,32768,0,33.616700649261475,35.20363521575928,33.661967754364014
64,1,32768,1,32.65547180175781,34.81418991088867,37.53356313705444
64,1,65536,0,32.87316346168518,38.5464985370636,35.529520988464355
64,1,65536,1,33.311933517456055,35.50409412384033,37.03276038169861
64,1,131072,0,33.5323703289032,37.31183683872223,35.791518330574036
64,1,131072,1,34.885924100875854,35.61872124671936,36.432679653167725
128,1,1,0,478.8671875,1139.4140625,210.328125
128,1,1,1,941.0625,1024.609375,171.6796875
128,1,2,0,583.0234375,430.109375,109.84375
128,1,2,1,262.65625,283.0390625,153.828125
128,1,4,0,199.541015625,117.6640625,50.603515625
128,1,4,1,300.955078125,117.0546875,56.537109375
128,1,8,0,126.4599609375,101.2490234375,36.833984375
128,1,8,1,111.1005859375,39.345703125,31.84765625
128,1,16,0,90.23486328125,86.029296875,41.185546875
128,1,16,1,43.79443359375,24.57080078125,23.87353515625
128,1,32768,0,16.993557453155518,20.074538946151733,17.529903173446655
128,1,32768,1,17.064121961593628,17.95763874053955,18.050446271896362
