Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,151626.5,140396,141526
2,1,1,1,123788,112484,126281.5
2,1,2,0,130700.5,128349,119180
2,1,2,1,123147,128833,120364.25
2,1,4,0,109967.625,104895.5,103435.75
2,1,4,1,494157.875,324283.875,122239.625
2,1,8,0,109221.3125,112426,113225.5625
2,1,8,1,114251.375,117093.375,115132.625
2,1,16,0,111542.375,113332.15625,113053.21875
2,1,16,1,128866.53125,115784.4375,111297.25
2,1,32768,0,117009.42016601562,109183.10995483398,109271.00074768066
2,1,32768,1,105682.72885131836,107894.6905670166,107564.14407348633
2,1,65536,0,118731.30619812012,123028.96850585938,123019.00514221191
2,1,65536,1,121086.3646774292,123701.61542510986,124505.26081848145
2,1,131072,0,118927.11350250244,130194.7041091919,125830.94149017334
2,1,131072,1,121015.21899032593,123674.67819213867,122915.68510818481
4,1,1,0,73848.5,74765.5,69517.75
4,1,1,1,138263.75,95104.5,119167
4,1,2,0,67985.875,71492.125,59539.5
4,1,2,1,61767.25,58136,56166
4,1,4,0,59489.25,57286.125,59067.3125
4,1,4,1,58920.5625,57811.1875,58772.5
4,1,8,0,56716.6875,56796.65625,56987.84375
4,1,8,1,56187.90625,54802.125,55886.125
4,1,16,0,56738.5625,57521.578125,57068.328125
4,1,16,1,56389.328125,58102.296875,57401.765625
4,1,32768,0,60900.243240356445,61059.728118896484,65040.25431060791
4,1,32768,1,59972.75514984131,61591.13706970215,62897.563972473145
4,1,65536,0,59429.071601867676,63108.08278656006,66623.8992729187
4,1,65536,1,62537.25227737427,62632.68773269653,61838.10346221924
4,1,131072,0,59927.80686569214,61414.81199836731,62017.96271896362
4,1,131072,1,57116.64229774475,60565.75583267212,62349.06627845764
8,1,1,0,36110.5,39323.5,36821.375
8,1,1,1,32353.625,35044,34067
8,1,2,0,32135.1875,32250.25,29027.0625
8,1,2,1,31440.125,32183,30559.8125
8,1,4,0,29315.03125,28916.25,30031.1875
8,1,4,1,27590.71875,25365.15625,25291.75
8,1,8,0,29101.15625,29452.1875,28469.171875
8,1,8,1,27869.515625,28184.09375,27964.859375
8,1,16,0,27836.421875,29589.21875,29026.15625
8,1,16,1,27399.5546875,27837.7265625,27759.8671875
8,1,32768,0,31287.257469177246,30719.43883895874,30909.352870941162
8,1,32768,1,29648.19797897339,30223.977870941162,30188.15207672119
8,1,65536,0,29775.289211273193,27121.099767684937,27391.773286819458
8,1,65536,1,27293.904962539673,29275.136924743652,30651.031768798828
8,1,131072,0,30011.577743530273,30951.46151638031,31127.35219860077
8,1,131072,1,30888.47300052643,33148.69758605957,31640.417956352234
16,1,1,0,18686.8125,18031.75,17658.375
16,1,1,1,17715.5,17529.375,14228.25
16,1,2,0,17334.4375,17114.40625,15556.78125
16,1,2,1,15233.875,15776.375,14228.53125
16,1,4,0,15043.59375,14859.484375,14210.890625
16,1,4,1,14722.421875,14410.9375,14912.375
16,1,8,0,14808.015625,14628.5546875,14240.21875
16,1,8,1,12648.4453125,12598.1328125,16470.3515625
16,1,16,0,14393.79296875,14279.82421875,14307.70703125
16,1,16,1,14202.64453125,14477.703125,14242.6796875
16,1,32768,0,14773.096139907837,15250.826347351074,16656.842361450195
16,1,32768,1,14971.23770904541,15372.657981872559,15354.693059921265
16,1,65536,0,14017.646003723145,13746.463681221008,13790.031374931335
16,1,65536,1,14640.924111366272,15357.718294143677,16554.403017044067
16,1,131072,0,15174.268412590027,15307.755097389221,15419.992583274841
16,1,131072,1,13358.34465265274,13556.186391353607,14231.901423931122
32,1,1,0,8150.15625,8955.59375,8661.46875
32,1,1,1,8237.71875,7621.5,8092.84375
32,1,2,0,7960.359375,7364.4375,7749.296875
32,1,2,1,7729.4375,7442.78125,7144.671875
32,1,4,0,7270.625,7188.640625,7130.8984375
32,1,4,1,7125.5703125,7042.6015625,7206.9921875
32,1,8,0,7165.25390625,7114.375,7160.8515625
32,1,8,1,7549.58203125,7592.9140625,7044.69140625
32,1,16,0,7029.896484375,7924.08203125,10373.025390625
32,1,16,1,7034.33203125,7201.3515625,7111.734375
32,1,32768,0,7646.479085922241,7425.19807434082,7433.327030181885
32,1,32768,1,7257.282621383667,7637.085035324097,7655.281620979309
32,1,65536,0,6909.5548276901245,7412.6263422966,7528.817700386047
32,1,65536,1,7470.673033714294,7489.261264801025,7653.594203948975
32,1,131072,0,7339.89376783371,7602.599351644516,7515.217481613159
32,1,131072,1,7614.689590215683,7755.4792239665985,7769.426415681839
64,1,1,0,4653.84375,3911.046875,4006.359375
64,1,1,1,4197.734375,4017.484375,4524.609375
64,1,2,0,4424.1875,3951.453125,3629.59375
64,1,2,1,3838.7421875,4077.7578125,3682.3125
64,1,4,0,3773.85546875,3659.703125,3634.0625
64,1,4,1,3809.40234375,3932.79296875,3835.109375
64,1,8,0,3604.943359375,3600.724609375,3691.970703125
64,1,8,1,3498.22265625,3515.505859375,3644.369140625
64,1,16,0,5915.53515625,3805.669921875,3969.681640625
64,1,16,1,3561.119140625,3626.1005859375,3612.9990234375
64,1,32768,0,3644.0074334144592,3751.111478328705,3780.9653010368347
64,1,32768,1,3696.9844188690186,3732.442587375641,3430.4422130584717
64,1,65536,0,3640.422976255417,3771.8678860664368,3804.2693572044373
64,1,65536,1,3812.5925698280334,3903.6352586746216,3908.2860453128815
64,1,131072,0,3423.5457458496094,3882.635496020317,3930.7221323251724
64,1,131072,1,3865.2581733465195,3982.2369062900543,3943.738465309143
128,1,1,0,2200.390625,2264.890625,2124.296875
128,1,1,1,2033.5703125,2019.46875,1957.4140625
