Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,178623,165498.5,167046
2,1,1,1,174830,179366,169890.5
2,1,2,0,147785.75,127529,134730
2,1,2,1,144451,134093,127615.25
2,1,4,0,128492,128041.5,124379.875
2,1,4,1,129446.125,126385.5,125366.875
2,1,8,0,118374.375,119202.0625,119605.625
2,1,8,1,125276.1875,129065.0625,122355.5
2,1,16,0,118928.71875,118584.0625,118636.78125
2,1,16,1,119612.5625,121597.3125,121641.0625
2,1,32768,0,133052.1351776123,148521.1665802002,126353.65786743164
2,1,32768,1,122131.26260375977,125654.47019958496,125649.40788269043
2,1,65536,0,121296.1562423706,126270.87410736084,126430.65856170654
2,1,65536,1,124407.01399230957,128028.88394165039,128125.16679382324
2,1,131072,0,127192.66704559326,126593.10260391235,126967.34433746338
2,1,131072,1,123844.52925491333,127032.3602027893,127110.89643096924
4,1,1,0,87480,85169.75,80658.25
4,1,1,1,82858,86971.25,89160
4,1,2,0,74063.375,70114.375,64646.875
4,1,2,1,73495.25,64214.875,65065.625
4,1,4,0,66266.9375,62482.8125,62158
4,1,4,1,66293.3125,63310.125,64503.3125
4,1,8,0,62129.5,62795.875,61280.5625
4,1,8,1,61546.0625,61456.34375,61318
4,1,16,0,59181.125,61067.34375,59892.046875
4,1,16,1,59236.796875,60278.125,60397.21875
4,1,32768,0,60210.81611633301,62641.27220916748,62674.92581176758
4,1,32768,1,62083.03678894043,64163.48425292969,63973.81436920166
4,1,65536,0,60376.20411682129,62630.983585357666,62705.523765563965
4,1,65536,1,61424.233139038086,63180.88829421997,63196.022426605225
4,1,131072,0,60938.84499359131,63053.19319152832,63373.46432685852
4,1,131072,1,62003.05270576477,63346.85263442993,63192.561906814575
8,1,1,0,40207.625,42153.625,33329.75
8,1,1,1,45951.5,42285.875,32734.5
8,1,2,0,36754.1875,36680.75,31695.25
8,1,2,1,32713.0625,38805.875,32218.625
8,1,4,0,32986.09375,31099.625,30362.5
8,1,4,1,33035.09375,31670,31047.78125
8,1,8,0,30863.09375,30485.34375,30547.53125
8,1,8,1,30582.4375,31177.96875,31132.59375
8,1,16,0,29290.9609375,29971.59375,29974.0859375
8,1,16,1,29698.0078125,30250.265625,30081.4921875
8,1,32768,0,30212.699043273926,31463.04564666748,31496.678142547607
8,1,32768,1,30812.410278320312,31894.169227600098,31890.75138092041
8,1,65536,0,30717.561365127563,31976.41284751892,32181.250497817993
8,1,65536,1,30968.62504005432,32007.10736656189,32048.34602355957
8,1,131072,0,32419.265803337097,31866.76239299774,42261.61947250366
8,1,131072,1,31883.22055530548,34868.712290763855,36031.222370147705
16,1,1,0,19163.875,36746.5625,20744.0625
16,1,1,1,16439.3125,19576.9375,19657.75
16,1,2,0,18902.03125,18855.15625,17293.96875
16,1,2,1,15766.5625,17950.03125,15442.03125
16,1,4,0,16111.1875,16293.171875,16096.609375
16,1,4,1,16288.828125,15579.015625,15842.21875
16,1,8,0,14744.7109375,15095.203125,15028.84375
16,1,8,1,15329.375,15442.625,15090.390625
16,1,16,0,15288.07421875,15564.234375,15582.921875
16,1,16,1,14761.1015625,15072.6171875,15027.46875
16,1,32768,0,17255.436992645264,15834.434776306152,15861.570817947388
16,1,32768,1,15346.26461982727,15740.54612159729,15735.648132324219
16,1,65536,0,15389.213624954224,15966.303835868835,16027.58821964264
16,1,65536,1,15250.845247268677,15699.407483100891,15690.254093170166
