Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,28643.5,23227.5,22276
2,1,1,1,32307,25914,24463
2,1,2,0,1.08530475e6,34684.25,34283.25
2,1,2,1,19200.75,16469.25,16067.5
2,1,4,0,13564.25,12426.75,14072
2,1,4,1,12877.5,11731.5,11583.75
2,1,8,0,11521.625,11724.75,11547.375
2,1,8,1,9621.9375,10681.5,9938.4375
2,1,16,0,10113.15625,11661.09375,11476.15625
2,1,16,1,7747.8125,8845.15625,8828.28125
2,1,32768,0,10604.372131347656,12538.728118896484,13357.062576293945
2,1,32768,1,5411.302734375,7270.908218383789,7068.363540649414
2,1,65536,0,10551.74186706543,12548.252662658691,14505.18268585205
2,1,65536,1,6275.746307373047,8162.124366760254,8070.100387573242
2,1,131072,0,10929.30164718628,12769.159454345703,12710.632781982422
2,1,131072,1,6325.562274932861,8351.938079833984,8128.602737426758
4,1,1,0,1.9270045e6,18895.5,11285.5
4,1,1,1,16969.75,12618.5,12188.75
4,1,2,0,11754,10973.5,10466
4,1,2,1,10590.125,8319.25,7902
4,1,4,0,6296.5625,6009.1875,6800.5625
4,1,4,1,6598.375,6551.5,5775.3125
4,1,8,0,5892.3125,5673.46875,5952.4375
4,1,8,1,4762.0625,4826.65625,4788.6875
4,1,16,0,6922.734375,8710.953125,8252.8125
4,1,16,1,3846.015625,4286.5625,4251.65625
4,1,32768,0,5338.727294921875,7332.57364654541,6823.869079589844
4,1,32768,1,3129.380126953125,3933.5171661376953,3937.005714416504
4,1,65536,0,5174.747276306152,6857.372131347656,6679.777103424072
4,1,65536,1,3070.6748123168945,4131.565479278564,4015.4910469055176
4,1,131072,0,5507.380556106567,6444.079637527466,6468.545373916626
4,1,131072,1,3191.3778133392334,4082.5364837646484,3969.294589996338
8,1,1,0,6932.5,5671.875,5528.75
8,1,1,1,8685.875,6336.125,6158.125
8,1,2,0,5239.5,3236.875,3101.8125
8,1,2,1,5089.5625,4351.5,4344.0625
8,1,4,0,2949.40625,2870.09375,3118.59375
8,1,4,1,3248.0625,2970.28125,2915.71875
8,1,8,0,2657.921875,3095.90625,2831.765625
8,1,8,1,2460.125,2385.453125,2359.4375
8,1,16,0,2523.703125,2847.03125,2850.59375
8,1,16,1,2000.625,2131.0078125,2127.84375
8,1,32768,0,3041.0547637939453,3588.230701446533,3252.7245712280273
8,1,32768,1,1485.7582054138184,2090.5572967529297,1999.4020919799805
8,1,65536,0,2834.5778732299805,3265.403600692749,3403.051866531372
8,1,65536,1,1587.7126159667969,2036.5582809448242,2031.270896911621
8,1,131072,0,2663.3703355789185,3317.316738128662,3054.120240211487
8,1,131072,1,1424.6996126174927,1875.9205207824707,1843.17848777771
16,1,1,0,4457.75,2954.875,2829.5
16,1,1,1,4230.4375,3199.5625,3073.4375
16,1,2,0,2082.71875,1630.53125,1536.8125
16,1,2,1,2599.5625,2324.0625,2045.40625
16,1,4,0,1693.453125,1480.921875,1732.734375
16,1,4,1,1642.640625,1464.59375,1437.75
16,1,8,0,1269.9140625,1327.453125,1329.65625
16,1,8,1,1100.3046875,1092.984375,1091.6484375
16,1,16,0,1736.8671875,2030.50390625,2119.6484375
16,1,16,1,969.0234375,1087.44921875,1079.515625
16,1,32768,0,1483.9795589447021,1829.5161819458008,1830.6668224334717
16,1,32768,1,777.8644695281982,1018.0407543182373,961.2805843353271
16,1,65536,0,1406.1877899169922,1715.9820556640625,1644.810552597046
16,1,65536,1,766.199987411499,1010.761266708374,975.5220184326172
16,1,131072,0,1262.3723964691162,1510.8517909049988,1432.9290871620178
16,1,131072,1,792.861053943634,1048.0670132637024,1003.449836730957
32,1,1,0,1707.5625,1403.03125,1310.25
32,1,1,1,2180.40625,1563.125,1502.65625
32,1,2,0,1069.859375,1171.234375,1138.484375
32,1,2,1,1307.203125,1006.75,990.78125
32,1,4,0,1296.53125,1109.3125,1162.296875
32,1,4,1,825.078125,739.0234375,718.59375
32,1,8,0,669.640625,741.30078125,751.734375
32,1,8,1,609.328125,599.62890625,591.80078125
32,1,16,0,621.15234375,706.974609375,719.49609375
32,1,16,1,476.8125,533.587890625,530.474609375
32,1,32768,0,824.7204427719116,871.0827150344849,956.4028701782227
32,1,32768,1,382.0355529785156,507.3095178604126,497.36243438720703
32,1,65536,0,739.4983706474304,779.8243646621704,851.1384663581848
32,1,65536,1,404.60193729400635,518.8003358840942,491.8105354309082
32,1,131072,0,771.9904534816742,922.2585785388947,824.7934565544128
32,1,131072,1,351.62198972702026,467.2362480163574,451.8872606754303
64,1,1,0,901.265625,740.671875,730.53125
64,1,1,1,1118.078125,795.890625,772.25
64,1,2,0,745.234375,633.9296875,636.1484375
64,1,2,1,679.203125,540.9609375,531.21875
64,1,4,0,392.2265625,379.32421875,425.125
64,1,4,1,449.109375,388.625,393.328125
64,1,8,0,374.583984375,392.947265625,368.353515625
64,1,8,1,300.87890625,301.140625,295.236328125
64,1,16,0,426.849609375,502.4453125,529.3974609375
64,1,16,1,246.3740234375,268.5947265625,265.876953125
64,1,32768,0,306.7427158355713,383.8211679458618,381.13291788101196
64,1,32768,1,185.9771032333374,257.23375368118286,247.32564735412598
64,1,65536,0,341.0652415752411,386.5494589805603,400.6371171474457
64,1,65536,1,177.08304738998413,232.12315273284912,236.09881234169006
64,1,131072,0,378.6398448944092,440.86501908302307,388.55106234550476
64,1,131072,1,197.84490942955017,244.61524856090546,229.17057633399963
128,1,1,0,403.109375,336.140625,323.671875
128,1,1,1,480.7578125,493.5859375,349.609375
128,1,2,0,363.46484375,231.48046875,285.56640625
128,1,2,1,316.2890625,253.69921875,246.92578125
128,1,4,0,210.98828125,181.041015625,173.931640625
128,1,4,1,190.576171875,171.490234375,178.5859375
128,1,8,0,159.46875,168.3642578125,164.4609375
128,1,8,1,141.630859375,142.0439453125,139.1533203125
128,1,16,0,150.5107421875,161.34716796875,161.00830078125
128,1,16,1,113.189453125,124.63671875,123.71240234375
128,1,32768,0,140.60070419311523,179.4212667942047,179.2173023223877
128,1,32768,1,84.55909585952759,118.14082670211792,111.39985132217407
128,1,65536,0,146.48036921024323,174.47740018367767,184.2466779947281
128,1,65536,1,96.45977354049683,135.4484794139862,123.16085875034332
128,1,131072,0,153.248066842556,195.80604261159897,177.59845519065857
128,1,131072,1,93.86497485637665,125.22650146484375,114.13851636648178
256,1,512,0,70.90716552734375,87.22837829589844,86.0379867553711
256,1,512,1,49.16523742675781,61.17884063720703,62.033599853515625
256,1,1024,0,72.11568450927734,87.16843032836914,86.62065887451172
256,1,1024,1,47.34846878051758,61.834407806396484,60.372108459472656
256,1,2048,0,84.68446159362793,101.10280990600586,100.37120819091797
256,1,2048,1,57.584259033203125,66.97220039367676,60.5124397277832
256,2,512,0,82.1404037475586,101.42764282226562,103.02568817138672
256,2,512,1,47.85621643066406,61.19647216796875,61.73406219482422
256,2,1024,0,84.57509231567383,100.44158554077148,100.1219367980957
256,2,1024,1,47.37721252441406,61.09724426269531,60.21475601196289
256,2,2048,0,79.2451400756836,100.42632675170898,102.04873657226562
256,2,2048,1,46.56161880493164,60.86116981506348,59.90379333496094
256,4,512,0,71.14411163330078,88.2767333984375,86.98702239990234
256,4,512,1,47.764320373535156,62.244850158691406,61.1007080078125
256,4,1024,0,153.44133377075195,118.59809494018555,86.89966583251953
256,4,1024,1,47.17243194580078,61.28825759887695,60.04462432861328
256,4,2048,0,78.77681541442871,175.7043800354004,88.44258689880371
256,4,2048,1,46.7769889831543,77.83658599853516,62.76107978820801
256,8,512,0,101.99932861328125,121.25939178466797,134.9486541748047
256,8,512,1,46.84874725341797,61.0303955078125,60.51844787597656
256,8,1024,0,91.6100959777832,100.90321731567383,100.98311996459961
256,8,1024,1,47.55644989013672,65.7824935913086,108.07798767089844
256,8,2048,0,76.68775367736816,88.07760810852051,138.02992248535156
256,8,2048,1,46.591360092163086,61.48190498352051,61.96198272705078
512,1,256,0,51.19708251953125,65.75543212890625,53.575462341308594
512,1,256,1,24.877716064453125,32.5726318359375,32.18378448486328
512,1,512,0,35.4391975402832,43.55860137939453,43.19815444946289
512,1,512,1,55.57835388183594,31.748729705810547,29.98804473876953
512,1,1024,0,51.27427291870117,66.87322616577148,68.13569068908691
512,1,1024,1,21.871191024780273,28.447410583496094,27.82185935974121
512,2,256,0,290.83917236328125,63.765098571777344,114.69695281982422
512,2,256,1,24.823928833007812,32.618370056152344,30.8052978515625
512,2,512,0,42.80636215209961,51.55720520019531,51.84177780151367
512,2,512,1,23.599136352539062,31.64834213256836,30.0877685546875
512,2,1024,0,48.38516616821289,50.36237907409668,50.395992279052734
512,2,1024,1,23.792980194091797,30.848100662231445,30.69369888305664
512,4,256,0,42.01756286621094,50.682823181152344,51.78314208984375
512,4,256,1,25.184043884277344,32.718482971191406,31.502029418945312
512,4,512,0,71.93074417114258,44.542659759521484,43.71950149536133
512,4,512,1,23.570308685302734,31.93804168701172,30.134380340576172
512,4,1024,0,42.50550651550293,50.44690704345703,50.5942325592041
512,4,1024,1,23.688623428344727,30.904394149780273,30.328189849853516
512,8,256,0,50.8162841796875,63.36847686767578,69.29126739501953
512,8,256,1,23.976913452148438,33.465118408203125,30.54151153564453
512,8,512,0,35.714630126953125,44.241092681884766,43.44172286987305
512,8,512,1,23.5208740234375,31.326801300048828,30.026447296142578
512,8,1024,0,40.99138641357422,50.14770317077637,51.23992919921875
512,8,1024,1,23.935544967651367,30.77820587158203,31.255264282226562
1024,1,128,0,16.0645751953125,19.77973175048828,19.944442749023438
1024,1,128,1,10.90460205078125,14.526748657226562,15.179634094238281
1024,1,256,0,21.586795806884766,23.83871078491211,24.34625244140625
1024,1,256,1,11.219772338867188,14.642162322998047,14.528327941894531
1024,1,512,0,17.68421745300293,74.62523078918457,85.70757102966309
