Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,25096.5,25307.5,27833.5
2,1,1,1,30662.5,27734.5,26953
2,1,2,0,19878,20526.5,19366.25
2,1,2,1,21342.25,18615.75,18047.25
2,1,4,0,20004.5,24277.75,22711.75
2,1,4,1,13885,14331.75,15371.875
2,1,8,0,13169.875,14811.625,15095.8125
2,1,8,1,10169.1875,11198.875,11079.5625
2,1,16,0,12658.375,13734.28125,14204.21875
2,1,16,1,8529.0625,9978,9956.0625
2,1,32768,0,12966.28726196289,17372.352249145508,17190.21418762207
2,1,32768,1,6744.065704345703,9010.185729980469,8864.768569946289
2,1,65536,0,10904.937316894531,13310.72193145752,13888.137046813965
2,1,65536,1,6858.64533996582,9125.482429504395,8957.137001037598
2,1,131072,0,11023.104873657227,13537.195400238037,14112.764190673828
2,1,131072,1,6999.33723449707,9407.071521759033,8978.05778503418
4,1,1,0,12888.75,12287,11852.5
4,1,1,1,17043.5,13775.75,13249.75
4,1,2,0,9833.25,10144,9619
4,1,2,1,10072,9052,8888
4,1,4,0,21527.375,19183.875,19138.3125
4,1,4,1,6824.8125,6790.5625,6643.6875
4,1,8,0,7037.5,7271.0625,7880.78125
4,1,8,1,5210.5625,5530.8125,5496.25
4,1,16,0,5692.734375,6961.734375,7071.21875
4,1,16,1,4129.5625,4856.328125,5153.796875
4,1,32768,0,5760.832298278809,6593.869766235352,6787.211631774902
4,1,32768,1,3419.67537689209,4660.585380554199,4679.571517944336
4,1,65536,0,5565.424320220947,6707.290607452393,6641.669063568115
4,1,65536,1,3506.657859802246,4566.524154663086,4511.162708282471
4,1,131072,0,5578.007879257202,6919.808256149292,7070.583568572998
4,1,131072,1,3509.488718032837,4611.575649261475,4501.602954864502
8,1,1,0,6375.25,6070.625,6023.75
8,1,1,1,8826.875,7167.75,6785
8,1,2,0,4982.875,5031.875,4769.25
8,1,2,1,5090.25,4617.1875,4433.3125
8,1,4,0,3804.75,4107.53125,3843.4375
8,1,4,1,3184.3125,3310.0625,3252.25
8,1,8,0,3282.625,3731.90625,3740.328125
8,1,8,1,2448.421875,2703.765625,2680.765625
8,1,16,0,2949.5546875,3560.5625,3524.6484375
8,1,16,1,2063.3984375,2403.15625,2402.765625
8,1,32768,0,2721.0756874084473,3236.569133758545,3244.292766571045
8,1,32768,1,1675.5354385375977,2288.2871322631836,2229.261821746826
8,1,65536,0,2670.4475288391113,3312.132432937622,3392.0795345306396
8,1,65536,1,1708.152931213379,2271.3998126983643,2221.077600479126
8,1,131072,0,2689.2039613723755,3298.4319229125977,3367.56765460968
8,1,131072,1,1752.5421342849731,2307.4081258773804,2225.1295204162598
16,1,1,0,3220.1875,2951.4375,2964.4375
16,1,1,1,4123,3530.125,3407.8125
16,1,2,0,2483.25,2490.25,2366.78125
16,1,2,1,2700.4375,2456.6875,2393.15625
16,1,4,0,1711.125,1881.546875,1766.921875
16,1,4,1,1585.390625,1643.421875,1615.84375
16,1,8,0,1657.0546875,1861.8046875,1892.65625
16,1,8,1,1307.1171875,1399.5234375,1462.9453125
16,1,16,0,1539.4765625,1776.7421875,1794.546875
16,1,16,1,1029.796875,1209.72265625,1205.44921875
16,1,32768,0,1343.3817462921143,1674.9409103393555,1979.2962379455566
16,1,32768,1,843.6833190917969,1146.3804950714111,1119.5608463287354
16,1,65536,0,1330.5272808074951,1679.682032585144,1712.4880180358887
16,1,65536,1,873.9810962677002,1135.5404033660889,1110.1167964935303
16,1,131072,0,1383.9315333366394,1679.4749655723572,1789.4543375968933
16,1,131072,1,879.885639667511,1148.579580783844,1125.5791974067688
32,1,1,0,1601.65625,1553.65625,1692.6875
32,1,1,1,2081.09375,1735.625,1685.15625
