Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2,1,1,0,9918.5,10250.5,9796.5
2,1,1,1,9971,10167.5,9632
2,1,2,0,8080.25,8495,8261.5
2,1,2,1,8258.5,8303,8188.75
2,1,4,0,7411.5,7653.25,7454
2,1,4,1,7340.5,7569.625,7450.375
2,1,8,0,6754,7038.9375,6905.8125
2,1,8,1,6770.9375,6995.375,6933.5
2,1,16,0,6456.875,6903.5,6738.28125
2,1,16,1,6500.78125,6766.84375,6738.875
2,1,32768,0,6299.392639160156,6551.851654052734,6586.5250244140625
2,1,32768,1,6220.978530883789,6531.009429931641,6573.369766235352
2,1,65536,0,6258.347770690918,6526.990295410156,6526.613143920898
2,1,65536,1,6222.399681091309,6580.597351074219,6572.215835571289
2,1,131072,0,6271.440612792969,6577.837978363037,6577.6541175842285
2,1,131072,1,6195.188930511475,6552.105358123779,6575.9573097229
4,1,1,0,5027.25,4964.5,4789.5
4,1,1,1,4902.25,5078,4860.5
4,1,2,0,4140.625,4114.125,4090.375
4,1,2,1,4156.75,4234.625,4097.5
4,1,4,0,3731.6875,3835.5,3717.75
4,1,4,1,3607.125,4000.6875,3637.3125
4,1,8,0,3375.875,3484.71875,3422.59375
4,1,8,1,3355.78125,3491.96875,3447.15625
4,1,16,0,3207.390625,3382.703125,3359.0625
4,1,16,1,3222.5,3337.890625,3343.234375
4,1,32768,0,3156.8031158447266,3255.914093017578,3271.2824172973633
4,1,32768,1,3124.277572631836,3266.255661010742,3273.009696960449
4,1,65536,0,3139.0079460144043,3378.807945251465,3383.078369140625
4,1,65536,1,3091.9447479248047,3283.6965293884277,3288.7400093078613
4,1,131072,0,3121.172689437866,3263.8990840911865,3268.5098781585693
4,1,131072,1,3084.966480255127,3262.255313873291,3270.5259170532227
8,1,1,0,2498.125,2487.625,2358
8,1,1,1,2474.5,2522.625,2385.875
8,1,2,0,2073.0625,2115.8125,2027.625
8,1,2,1,2035.5,2084.9375,2041.0625
8,1,4,0,1813.53125,2082.5,1813.71875
8,1,4,1,1797.09375,1864.375,1811.71875
8,1,8,0,1677.609375,1750.203125,1721.359375
8,1,8,1,1693.875,1755.5,1727.34375
8,1,16,0,1597.3984375,1675.5859375,1661.2734375
8,1,16,1,1607.3984375,1681.1953125,1675.3671875
8,1,32768,0,1556.349853515625,1627.3172721862793,1627.0620956420898
8,1,32768,1,1545.0148544311523,1636.926612854004,1634.1737251281738
8,1,65536,0,1552.1701755523682,1626.5971965789795,1628.270803451538
8,1,65536,1,1544.3272285461426,1629.6044483184814,1632.066656112671
8,1,131072,0,1556.2112016677856,1633.4329614639282,1633.4623584747314
8,1,131072,1,1550.3105735778809,1637.846815109253,1632.0885763168335
16,1,1,0,1205.25,1264.3125,1196
16,1,1,1,1216.625,1270.9375,1216.8125
16,1,2,0,994,1051.65625,1019.53125
16,1,2,1,1012.3125,1039.65625,1011.78125
16,1,4,0,892.21875,930.734375,893.90625
16,1,4,1,962.921875,928.921875,904.40625
16,1,8,0,830.34375,863.03125,847.5234375
16,1,8,1,830.25,859.4453125,843.4375
16,1,16,0,797.890625,836.00390625,836.6328125
16,1,16,1,801.0234375,842.0546875,837.109375
16,1,32768,0,768.6849746704102,803.524866104126,802.2966785430908
16,1,32768,1,769.240400314331,815.379072189331,813.3439140319824
16,1,65536,0,766.2104864120483,800.0122509002686,802.2444515228271
16,1,65536,1,764.3897886276245,809.8459959030151,808.9026365280151
16,1,131072,0,768.3524966239929,808.3469061851501,807.8084516525269
16,1,131072,1,764.0720705986023,807.3116970062256,807.836389541626
32,1,1,0,383.40625,381.5625,352.25
32,1,1,1,372.59375,383.46875,337.625
32,1,2,0,278.515625,278.765625,266.875
32,1,2,1,282.875,273.953125,287.578125
32,1,4,0,217.5078125,231.125,218.9296875
32,1,4,1,218.796875,227.890625,221.5625
32,1,8,0,191.2109375,203.84375,196.328125
32,1,8,1,198.75390625,210.0625,201.15234375
32,1,16,0,176.373046875,189.65625,188.587890625
32,1,16,1,171.908203125,190.640625,187.55078125
32,1,32768,0,161.20529079437256,178.28299713134766,176.09785270690918
32,1,32768,1,154.8407096862793,178.19295692443848,177.39130878448486
32,1,65536,0,160.5518651008606,177.59613847732544,178.52417612075806
32,1,65536,1,155.4506916999817,177.81394052505493,177.83316326141357
32,1,131072,0,161.93203830718994,177.9212567806244,179.16125535964966
32,1,131072,1,157.20205187797546,178.37007474899292,178.74715852737427
64,1,1,0,189.59375,184.484375,168.75
64,1,1,1,192.796875,189.21875,168.84375
64,1,2,0,136.859375,134.1171875,132.5
64,1,2,1,137.8515625,132.1640625,131.4765625
64,1,4,0,120.1796875,115.2109375,109.71484375
64,1,4,1,106.85546875,112.828125,106.0859375
64,1,8,0,91.220703125,98.25390625,95.09375
64,1,8,1,89.94140625,97.59375,96.439453125
64,1,16,0,83.3984375,92.6748046875,92.01171875
64,1,16,1,82.73828125,89.958984375,89.59765625
64,1,32768,0,76.98152542114258,85.63024663925171,84.24808597564697
64,1,32768,1,75.41402864456177,84.00191926956177,86.09469366073608
64,1,65536,0,79.83084988594055,84.8431465625763,84.3715090751648
64,1,65536,1,74.58961892127991,86.11698865890503,85.80889987945557
64,1,131072,0,76.68175339698792,85.49143576622009,85.94491577148438
64,1,131072,1,74.3076753616333,86.09022271633148,84.66048336029053
128,1,1,0,87.671875,88.203125,80.2578125
128,1,1,1,87.703125,89.5234375,81.7890625
128,1,2,0,64.9296875,65.609375,65.68359375
128,1,2,1,64.45703125,65.75390625,65.5078125
128,1,4,0,50.73828125,52.435546875,48.341796875
128,1,4,1,50.2734375,51.341796875,47.90625
128,1,8,0,41.0771484375,44.9365234375,48.388671875
128,1,8,1,42.0205078125,45.39453125,44.33984375
128,1,16,0,37.3935546875,41.35498046875,40.84814453125
128,1,16,1,37.599609375,41.671875,41.12548828125
128,1,32768,0,34.52308702468872,38.64879274368286,37.96691012382507
128,1,32768,1,33.43293571472168,39.5622763633728,39.380772829055786
128,1,65536,0,34.6539888381958,39.59758687019348,39.31674599647522
128,1,65536,1,33.27616739273071,39.02061414718628,38.7133092880249
128,1,131072,0,34.141873359680176,38.532033920288086,38.468270897865295
128,1,131072,1,33.60540598630905,38.86090975999832,39.125254690647125
256,1,512,0,13.400184631347656,15.925079345703125,15.886299133300781
256,1,512,1,13.243148803710938,15.838081359863281,15.766212463378906
256,1,1024,0,13.673877716064453,16.167877197265625,16.04204559326172
256,1,1024,1,13.218589782714844,15.667556762695312,15.495136260986328
256,1,2048,0,13.433334350585938,16.057371139526367,15.830883026123047
256,1,2048,1,13.239656448364258,15.651512145996094,15.556421279907227
256,2,512,0,13.46221923828125,15.985954284667969,15.917831420898438
256,2,512,1,13.3277587890625,15.898178100585938,15.810111999511719
256,2,1024,0,13.285526275634766,15.786441802978516,15.624824523925781
256,2,1024,1,13.232044219970703,15.880413055419922,15.825752258300781
256,2,2048,0,13.164276123046875,15.953786849975586,15.714290618896484
256,2,2048,1,13.281591415405273,16.12728500366211,15.791168212890625
256,4,512,0,13.340171813964844,15.864494323730469,15.689949035644531
256,4,512,1,13.405387878417969,16.08173370361328,16.003173828125
256,4,1024,0,13.377117156982422,15.931476593017578,15.752063751220703
256,4,1024,1,13.196632385253906,15.733573913574219,15.489986419677734
256,4,2048,0,13.545482635498047,16.205690383911133,15.879510879516602
256,4,2048,1,13.110877990722656,15.788034439086914,15.371053695678711
256,8,512,0,13.302330017089844,16.179237365722656,15.632644653320312
256,8,512,1,13.408554077148438,16.697799682617188,15.799247741699219
