Size,Repeat,Workers,Buffer Ring,Do Wait,Complete CB,Unmap,Time (ns)
1024,256,28,4,0,0,0,57.11958312988281
1024,256,28,4,0,0,0,59.829776763916016
1024,256,28,4,0,0,0,60.07996368408203
1024,256,28,4,0,0,0,60.41297149658203
1024,256,28,4,0,0,0,60.43303298950195
1024,256,28,4,0,0,0,60.58332061767578
1024,256,28,4,0,0,0,61.63511276245117
1024,256,28,4,0,0,0,61.82561492919922
1024,256,28,4,0,0,0,61.881011962890625
1024,256,28,4,0,0,0,62.73534393310547
1024,256,28,4,0,0,0,62.8486442565918
1024,256,28,4,0,0,0,63.648033142089844
1024,256,28,4,0,0,0,63.719482421875
1024,256,28,4,0,0,0,63.911216735839844
1024,256,28,4,0,0,0,65.24813842773438
1024,256,28,4,0,0,0,66.47466659545898
1024,256,28,4,0,0,0,66.49055862426758
1024,256,28,4,0,0,0,67.53446578979492
1024,256,28,4,0,0,0,67.78744125366211
1024,256,28,4,0,0,0,73.03399276733398
1024,256,28,4,0,0,1,55.586788177490234
1024,256,28,4,0,0,1,58.32500076293945
1024,256,28,4,0,0,1,59.404197692871094
1024,256,28,4,0,0,1,59.813011169433594
1024,256,28,4,0,0,1,60.41573715209961
1024,256,28,4,0,0,1,60.91596603393555
1024,256,28,4,0,0,1,61.277565002441406
1024,256,28,4,0,0,1,61.394405364990234
1024,256,28,4,0,0,1,63.558345794677734
1024,256,28,4,0,0,1,64.16043853759766
1024,256,28,4,0,0,1,64.20428085327148
1024,256,28,4,0,0,1,64.20648956298828
1024,256,28,4,0,0,1,64.87086868286133
1024,256,28,4,0,0,1,65.99343490600586
1024,256,28,4,0,0,1,66.73849105834961
1024,256,28,4,0,0,1,66.76791763305664
1024,256,28,4,0,0,1,67.33332443237305
1024,256,28,4,0,0,1,67.89504623413086
1024,256,28,4,0,0,1,69.56534957885742
1024,256,28,4,0,0,1,70.15771484375
1024,256,28,4,0,1,0,74.12254333496094
1024,256,28,4,0,1,0,74.21062469482422
1024,256,28,4,0,1,0,74.2522964477539
1024,256,28,4,0,1,0,74.26544952392578
1024,256,28,4,0,1,0,74.26559829711914
1024,256,28,4,0,1,0,74.29471206665039
1024,256,28,4,0,1,0,74.31462097167969
1024,256,28,4,0,1,0,74.3199348449707
1024,256,28,4,0,1,0,74.41502380371094
1024,256,28,4,0,1,0,74.4173812866211
1024,256,28,4,0,1,0,74.48309326171875
1024,256,28,4,0,1,0,74.7179069519043
1024,256,28,4,0,1,0,74.80200958251953
1024,256,28,4,0,1,0,74.893798828125
1024,256,28,4,0,1,0,75.07258224487305
1024,256,28,4,0,1,0,75.38688278198242
1024,256,28,4,0,1,0,75.97493362426758
1024,256,28,4,0,1,0,75.99811553955078
1024,256,28,4,0,1,0,77.0482177734375
1024,256,28,4,0,1,0,79.06809616088867
1024,256,28,4,0,1,1,73.6858024597168
1024,256,28,4,0,1,1,74.54751205444336
1024,256,28,4,0,1,1,74.55802917480469
1024,256,28,4,0,1,1,74.5987434387207
1024,256,28,4,0,1,1,74.6933822631836
1024,256,28,4,0,1,1,74.77864074707031
1024,256,28,4,0,1,1,74.99481964111328
1024,256,28,4,0,1,1,75.15740966796875
1024,256,28,4,0,1,1,75.29156494140625
1024,256,28,4,0,1,1,75.4482421875
1024,256,28,4,0,1,1,75.45360565185547
1024,256,28,4,0,1,1,75.51842498779297
1024,256,28,4,0,1,1,75.56615829467773
1024,256,28,4,0,1,1,75.66472625732422
1024,256,28,4,0,1,1,75.74784088134766
1024,256,28,4,0,1,1,76.8795166015625
1024,256,28,4,0,1,1,76.90038681030273
1024,256,28,4,0,1,1,77.63720321655273
1024,256,28,4,0,1,1,79.03871154785156
1024,256,28,4,0,1,1,86.41707611083984
1024,256,28,4,1,0,0,60.57769012451172
1024,256,28,4,1,0,0,61.97050094604492
1024,256,28,4,1,0,0,62.263885498046875
1024,256,28,4,1,0,0,62.30949020385742
1024,256,28,4,1,0,0,62.96630096435547
1024,256,28,4,1,0,0,62.97858428955078
1024,256,28,4,1,0,0,63.38729476928711
1024,256,28,4,1,0,0,63.84666442871094
1024,256,28,4,1,0,0,64.4737319946289
1024,256,28,4,1,0,0,65.45330810546875
1024,256,28,4,1,0,0,65.76427459716797
1024,256,28,4,1,0,0,66.98046493530273
1024,256,28,4,1,0,0,67.2872200012207
1024,256,28,4,1,0,0,68.27306365966797
1024,256,28,4,1,0,0,69.78525161743164
1024,256,28,4,1,0,0,70.30387878417969
1024,256,28,4,1,0,0,71.3702621459961
1024,256,28,4,1,0,0,71.40351486206055
1024,256,28,4,1,0,0,72.78197860717773
1024,256,28,4,1,0,0,84.66725540161133
1024,256,28,4,1,0,1,62.1839599609375
1024,256,28,4,1,0,1,62.29241943359375
1024,256,28,4,1,0,1,63.01130676269531
1024,256,28,4,1,0,1,63.25688552856445
1024,256,28,4,1,0,1,63.51313781738281
1024,256,28,4,1,0,1,63.57299041748047
1024,256,28,4,1,0,1,63.653358459472656
1024,256,28,4,1,0,1,63.680931091308594
1024,256,28,4,1,0,1,63.73501205444336
1024,256,28,4,1,0,1,64.55311584472656
1024,256,28,4,1,0,1,65.2472915649414
1024,256,28,4,1,0,1,65.94291305541992
