Size,Repeat,Workers,Buffer Ring,Do Wait,Complete CB,Unmap,Time (ns)
1024,256,28,4,0,0,0,405.03504180908203
1024,256,28,4,0,0,0,529.3110656738281
1024,256,28,4,0,0,0,529.5530586242676
1024,256,28,4,0,0,0,529.8528442382812
1024,256,28,4,0,0,0,530.626277923584
1024,256,28,4,0,0,0,530.8914756774902
1024,256,28,4,0,0,0,532.325813293457
1024,256,28,4,0,0,0,538.5739212036133
1024,256,28,4,0,0,0,540.8957443237305
1024,256,28,4,0,0,0,556.3290824890137
1024,256,28,4,0,0,0,572.8478660583496
1024,256,28,4,0,0,0,598.8793792724609
1024,256,28,4,0,0,0,604.9733543395996
1024,256,28,4,0,0,0,612.5394515991211
1024,256,28,4,0,0,0,613.839469909668
1024,256,28,4,0,0,0,622.7957038879395
1024,256,28,4,0,0,0,627.4676246643066
1024,256,28,4,0,0,0,651.7220649719238
1024,256,28,4,0,0,0,658.9377098083496
1024,256,28,4,0,0,0,687.1546783447266
1024,256,28,4,0,1,0,486.1709289550781
1024,256,28,4,0,1,0,523.1875991821289
1024,256,28,4,0,1,0,523.4876899719238
1024,256,28,4,0,1,0,525.8654251098633
1024,256,28,4,0,1,0,528.4108772277832
1024,256,28,4,0,1,0,529.7866096496582
1024,256,28,4,0,1,0,530.6970634460449
1024,256,28,4,0,1,0,531.3030128479004
1024,256,28,4,0,1,0,533.4129447937012
1024,256,28,4,0,1,0,533.444953918457
1024,256,28,4,0,1,0,534.445442199707
1024,256,28,4,0,1,0,572.3000144958496
1024,256,28,4,0,1,0,603.1553573608398
1024,256,28,4,0,1,0,609.6290130615234
1024,256,28,4,0,1,0,617.8383445739746
1024,256,28,4,0,1,0,620.2773399353027
1024,256,28,4,0,1,0,628.4527740478516
1024,256,28,4,0,1,0,633.6933403015137
1024,256,28,4,0,1,0,640.2519760131836
1024,256,28,4,0,1,0,650.2607002258301
1024,256,28,4,1,0,0,457.04137802124023
1024,256,28,4,1,0,0,458.7005958557129
1024,256,28,4,1,0,0,461.52019119262695
1024,256,28,4,1,0,0,469.51866149902344
1024,256,28,4,1,0,0,474.9762268066406
1024,256,28,4,1,0,0,475.8768730163574
1024,256,28,4,1,0,0,476.00657653808594
1024,256,28,4,1,0,0,476.1394462585449
1024,256,28,4,1,0,0,491.16954803466797
1024,256,28,4,1,0,0,492.9485778808594
1024,256,28,4,1,0,0,494.0744438171387
1024,256,28,4,1,0,0,496.4816780090332
1024,256,28,4,1,0,0,496.9378967285156
1024,256,28,4,1,0,0,508.1805076599121
1024,256,28,4,1,0,0,508.6598434448242
1024,256,28,4,1,0,0,513.0705032348633
1024,256,28,4,1,0,0,524.2999038696289
1024,256,28,4,1,0,0,553.0888671875
1024,256,28,4,1,0,0,583.3158073425293
1024,256,28,4,1,0,0,684.9177360534668
1024,256,28,4,1,1,0,411.03618240356445
1024,256,28,4,1,1,0,416.29637145996094
1024,256,28,4,1,1,0,451.6863822937012
1024,256,28,4,1,1,0,451.99107360839844
1024,256,28,4,1,1,0,458.2316436767578
1024,256,28,4,1,1,0,459.48705291748047
1024,256,28,4,1,1,0,465.2059211730957
1024,256,28,4,1,1,0,466.24605560302734
1024,256,28,4,1,1,0,474.4536437988281
1024,256,28,4,1,1,0,478.6133689880371
1024,256,28,4,1,1,0,482.90170669555664
1024,256,28,4,1,1,0,486.76662826538086
1024,256,28,4,1,1,0,495.0594482421875
1024,256,28,4,1,1,0,511.1741371154785
1024,256,28,4,1,1,0,516.5415229797363
1024,256,28,4,1,1,0,523.9196166992188
1024,256,28,4,1,1,0,543.2744674682617
1024,256,28,4,1,1,0,550.0712394714355
1024,256,28,4,1,1,0,575.5263137817383
1024,256,28,4,1,1,0,603.915828704834
1024,512,7,4,0,0,0,123.78768157958984
1024,512,7,4,0,0,0,130.83824920654297
1024,512,7,4,0,0,0,132.2715015411377
1024,512,7,4,0,0,0,132.4695987701416
1024,512,7,4,0,0,0,132.6524658203125
