Size,Repeat,Workers,Buffer Ring,Do Wait,Complete CB,Unmap,Time (ns)
1024,256,28,4,0,0,0,585.5461578369141
1024,256,28,4,0,0,0,586.3313674926758
1024,256,28,4,0,0,0,587.6415252685547
1024,256,28,4,0,0,0,588.0440635681152
1024,256,28,4,0,0,0,588.335994720459
1024,256,28,4,0,0,0,588.875804901123
1024,256,28,4,0,0,0,590.0656700134277
1024,256,28,4,0,0,0,592.6078300476074
1024,256,28,4,0,0,0,594.5432510375977
1024,256,28,4,0,0,0,595.2156867980957
1024,256,28,4,0,0,0,596.9314765930176
1024,256,28,4,0,0,0,631.2656555175781
1024,256,28,4,0,0,0,636.364875793457
1024,256,28,4,0,0,0,655.2175407409668
1024,256,28,4,0,0,0,669.5935173034668
1024,256,28,4,0,0,0,693.9676856994629
1024,256,28,4,0,0,0,732.3697395324707
1024,256,28,4,0,0,0,813.3248291015625
1024,256,28,4,0,0,0,900.4256172180176
1024,256,28,4,0,0,0,997.6139793395996
1024,256,28,4,0,0,1,624.0597686767578
1024,256,28,4,0,0,1,643.8888778686523
1024,256,28,4,0,0,1,658.4833793640137
1024,256,28,4,0,0,1,662.999568939209
1024,256,28,4,0,0,1,667.6042175292969
1024,256,28,4,0,0,1,673.7681579589844
1024,256,28,4,0,0,1,678.186279296875
1024,256,28,4,0,0,1,678.4402770996094
1024,256,28,4,0,0,1,684.750415802002
1024,256,28,4,0,0,1,725.2352104187012
1024,256,28,4,0,0,1,774.7985420227051
1024,256,28,4,0,0,1,776.9297866821289
1024,256,28,4,0,0,1,777.961124420166
1024,256,28,4,0,0,1,779.8093719482422
1024,256,28,4,0,0,1,779.9664154052734
1024,256,28,4,0,0,1,833.5557899475098
1024,256,28,4,0,0,1,852.474781036377
1024,256,28,4,0,0,1,911.135929107666
1024,256,28,4,0,0,1,948.4333267211914
1024,256,28,4,0,0,1,959.6958808898926
1024,256,28,4,0,1,0,585.5493583679199
1024,256,28,4,0,1,0,585.7646484375
1024,256,28,4,0,1,0,586.6307640075684
1024,256,28,4,0,1,0,587.2882080078125
1024,256,28,4,0,1,0,587.8169021606445
1024,256,28,4,0,1,0,589.1463356018066
1024,256,28,4,0,1,0,590.0096015930176
1024,256,28,4,0,1,0,591.151237487793
1024,256,28,4,0,1,0,591.186466217041
1024,256,28,4,0,1,0,592.6743278503418
1024,256,28,4,0,1,0,593.5549659729004
1024,256,28,4,0,1,0,597.0868797302246
1024,256,28,4,0,1,0,629.548713684082
1024,256,28,4,0,1,0,667.3538551330566
1024,256,28,4,0,1,0,670.3071556091309
