Size,Repeat,Independent Chains,Time (ns)
16384,32,1,1.1716804504394531
16384,32,1,1.3136558532714844
16384,32,1,1.2990074157714844
16384,32,1,1.2516937255859375
16384,32,1,1.2546272277832031
16384,32,1,1.296335220336914
16384,32,1,1.2553157806396484
16384,32,1,1.2470722198486328
16384,32,1,1.2850666046142578
16384,32,1,1.255453109741211
16384,32,1,1.2851943969726562
16384,32,1,1.2868022918701172
16384,32,1,1.2709369659423828
16384,32,1,1.2609272003173828
16384,32,1,13.55136489868164
16384,32,1,1.302511215209961
16384,32,1,1.249673843383789
16384,32,1,1.2542228698730469
16384,32,1,1.1790142059326172
16384,32,1,1.2939682006835938
16384,32,1,1.2662677764892578
16384,32,1,1.3114128112792969
16384,32,1,1.2588176727294922
16384,32,1,1.2297515869140625
16384,32,1,18.0627384185791
16384,32,1,1.2516937255859375
16384,32,1,1.288778305053711
16384,32,1,1.269155502319336
16384,32,1,1.6070613861083984
16384,32,1,1.253366470336914
16384,32,1,1.2134838104248047
16384,32,1,1.2577896118164062
16384,32,1,1.2590007781982422
16384,32,1,1.2524681091308594
16384,32,1,1.2519474029541016
16384,32,1,1.2647953033447266
16384,32,1,1.2555179595947266
16384,32,1,1.2906017303466797
16384,32,1,1.2663078308105469
16384,32,1,1.262979507446289
16384,32,1,1.1844558715820312
16384,32,1,1.2972984313964844
16384,32,1,1.2509994506835938
16384,32,1,1.2634773254394531
16384,32,1,1.2695064544677734
16384,32,1,1.2740211486816406
16384,32,1,1.2774600982666016
16384,32,1,1.1656036376953125
16384,32,1,1.2846012115478516
16384,32,1,1.250009536743164
16384,32,2,2.238117218017578
16384,32,2,2.702838897705078
16384,32,2,2.3796749114990234
16384,32,2,2.384511947631836
16384,32,2,2.424314498901367
16384,32,2,2.8199596405029297
16384,32,2,2.4156856536865234
16384,32,2,2.4481124877929688
16384,32,2,2.703807830810547
16384,32,2,2.433115005493164
16384,32,2,2.4228782653808594
16384,32,2,2.2505435943603516
16384,32,2,2.4792861938476562
16384,32,2,2.414012908935547
16384,32,2,2.4198036193847656
16384,32,2,2.4122867584228516
16384,32,2,2.449016571044922
16384,32,2,2.314840316772461
16384,32,2,2.4256954193115234
16384,32,2,2.433004379272461
16384,32,2,2.3152236938476562
16384,32,2,2.442220687866211
16384,32,2,2.389253616333008
16384,32,2,2.4414615631103516
16384,32,2,2.47796630859375
16384,32,2,2.4802188873291016
16384,32,2,2.4615020751953125
16384,32,2,2.3940200805664062
16384,32,2,2.483612060546875
16384,32,2,2.446981430053711
16384,32,2,2.414266586303711
16384,32,2,2.432584762573242
16384,32,2,2.5415000915527344
16384,32,2,2.465208053588867
16384,32,2,2.413675308227539
16384,32,2,2.427927017211914
16384,32,2,2.4257869720458984
16384,32,2,2.435270309448242
16384,32,2,2.399564743041992
16384,32,2,2.362895965576172
16384,32,2,2.4168262481689453
16384,32,2,2.4083824157714844
16384,32,2,2.4913864135742188
16384,32,2,2.727794647216797
16384,32,2,2.4176788330078125
16384,32,2,2.457988739013672
16384,32,2,2.4087600708007812
16384,32,2,2.3902416229248047
16384,32,2,2.4024791717529297
16384,32,2,2.4281349182128906
16384,32,3,3.2655105590820312
