Size,Repeat,Write per Kernel,Time (ns)
1023,32,3,7.688905180840664
1023,64,3,5.75094696969697
1023,128,3,6.023132025904204
1023,256,3,4.362998686461388
1024,32,1,7.391845703125
1024,32,2,7.19403076171875
1024,32,4,7.597320556640625
1024,64,1,4.046417236328125
1024,64,2,4.955657958984375
1024,64,4,5.18798828125
1024,128,1,6.4121246337890625
1024,128,2,5.0542144775390625
1024,128,4,6.674102783203125
1024,256,1,4.226444244384766
1024,256,2,5.725318908691406
1024,256,4,5.520118713378906
2046,32,3,3.9206225562072334
2046,64,3,2.3587945992179864
2046,128,3,2.782250427663734
2046,256,3,2.2904199505131966
2048,32,1,3.6577301025390625
2048,32,2,3.7609405517578125
2048,32,4,3.548797607421875
2048,64,1,2.7375335693359375
2048,64,2,2.4715957641601562
2048,64,4,2.6949996948242188
2048,128,1,3.9486770629882812
2048,128,2,3.2694778442382812
2048,128,4,3.7961044311523438
2048,256,1,2.817394256591797
2048,256,2,2.1396141052246094
2048,256,4,2.142698287963867
4095,32,3,1.7254884004884006
4095,64,3,1.0871069902319903
4095,128,3,1.6034798534798536
4095,256,3,1.2025946275946275
4096,32,1,1.5394134521484375
4096,32,2,1.9082565307617188
4096,32,4,1.49774169921875
4096,64,1,1.2709693908691406
4096,64,2,1.3859748840332031
4096,64,4,1.4262237548828125
4096,128,1,1.8626422882080078
4096,128,2,1.6730575561523438
4096,128,4,1.7656688690185547
4096,256,1,1.2632465362548828
4096,256,2,1.097712516784668
4096,256,4,1.4397516250610352
8190,32,3,0.8406059218559219
8190,64,3,0.6993570665445665
8190,128,3,0.9524753891941392
8190,256,3,0.7380766369047619
8192,32,1,0.8341217041015625
8192,32,2,0.8492965698242188
8192,32,4,0.7631111145019531
8192,64,1,0.7487621307373047
8192,64,2,0.7096920013427734
8192,64,4,0.7252674102783203
8192,128,1,0.9400224685668945
8192,128,2,0.8027524948120117
8192,128,4,0.6154336929321289
8192,256,1,0.7241044044494629
8192,256,2,0.5710935592651367
8192,256,4,0.7290892601013184
16383,32,3,0.35677417139718
16383,64,3,0.3597688915339071
16383,128,3,0.3982396005005188
16383,256,3,0.31593820576207043
16384,32,1,0.4813709259033203
16384,32,2,0.3844776153564453
16384,32,4,0.46117401123046875
16384,64,1,0.33631420135498047
16384,64,2,0.3287630081176758
16384,64,4,0.4363689422607422
16384,128,1,0.4707050323486328
16384,128,2,0.40886497497558594
16384,128,4,0.3879561424255371
16384,256,1,0.3136556148529053
16384,256,2,0.314286470413208
16384,256,4,0.3843212127685547
32766,32,3,0.2727980223402307
32766,64,3,0.2621739188488067
32766,128,3,0.14605388398034547
32766,256,3,0.15653600054172007
32768,32,1,0.23463153839111328
32768,32,2,0.2531003952026367
32768,32,4,0.26349830627441406
32768,64,1,0.17482423782348633
32768,64,2,0.17381906509399414
32768,64,4,0.17475605010986328
32768,128,1,0.26194047927856445
32768,128,2,0.2501866817474365
32768,128,4,0.2520430088043213
32768,256,1,0.20640885829925537
32768,256,2,0.19906878471374512
32768,256,4,0.18809819221496582
65535,32,3,0.15700436789501793
65535,64,3,0.10177266918440528
65535,128,3,0.13452174887464713
65535,256,3,0.1065046945334554
65536,32,1,0.14202642440795898
65536,32,2,0.13171672821044922
65536,32,4,0.14436674118041992
65536,64,1,0.17084550857543945
65536,64,2,0.14730525016784668
