Size,Repeat,Write per Kernel,Time (ns)
1023,32,3,21.500672043010752
1023,64,3,20.851814516129032
1023,128,3,233.59776698435974
1023,256,3,22.573012127321604
1024,32,1,19.2952880859375
1024,32,2,22.517791748046875
1024,32,4,21.538787841796875
1024,64,1,28.234878540039062
1024,64,2,26.367294311523438
1024,64,4,25.364608764648438
1024,128,1,26.69220733642578
1024,128,2,26.821319580078125
1024,128,4,19.26630401611328
1024,256,1,18.770580291748047
1024,256,2,19.05545425415039
1024,256,4,19.01888656616211
2046,32,3,11.476554863147605
2046,64,3,10.686789772727273
2046,128,3,12.859493371212121
2046,256,3,13.756537145650048
2048,32,1,10.616668701171875
2048,32,2,10.618927001953125
2048,32,4,10.3946533203125
2048,64,1,10.732559204101562
2048,64,2,10.879791259765625
2048,64,4,10.784912109375
2048,128,1,10.555744171142578
2048,128,2,10.170806884765625
2048,128,4,10.82144546508789
2048,256,1,10.724466323852539
2048,256,2,12.338796615600586
2048,256,4,15.176345825195312
4095,32,3,6.4014423076923075
4095,64,3,5.3196924603174605
4095,128,3,5.28804945054945
4095,256,3,5.353767933455433
4096,32,1,5.246391296386719
4096,32,2,5.499702453613281
4096,32,4,6.377838134765625
4096,64,1,6.1585693359375
4096,64,2,5.255622863769531
4096,64,4,5.352527618408203
4096,128,1,7.398038864135742
4096,128,2,5.129251480102539
4096,128,4,5.242763519287109
4096,256,1,5.260072708129883
4096,256,2,5.212211608886719
4096,256,4,5.103102684020996
8190,32,3,3.0900641025641025
8190,64,3,2.7026671245421245
8190,128,3,2.7001764728327227
8190,256,3,2.579572554181929
8192,32,1,3.7179412841796875
8192,32,2,2.6597633361816406
8192,32,4,3.63140869140625
8192,64,1,2.695789337158203
8192,64,2,2.6390457153320312
8192,64,4,2.729459762573242
8192,128,1,3.0957632064819336
8192,128,2,2.591404914855957
8192,128,4,3.578338623046875
8192,256,1,3.702333927154541
8192,256,2,3.585014820098877
8192,256,4,2.6017489433288574
16383,32,3,1.3931762345113838
16383,64,3,1.2018078953793567
16383,128,3,1.2633350882011842
16383,256,3,1.2601107569584324
16384,32,1,1.3644866943359375
16384,32,2,1.3289527893066406
16384,32,4,1.3309764862060547
16384,64,1,1.358637809753418
16384,64,2,1.34613037109375
16384,64,4,2.246771812438965
16384,128,1,1.290949821472168
16384,128,2,1.4077868461608887
16384,128,4,1.2791242599487305
16384,256,1,1.5640947818756104
16384,256,2,1.2888808250427246
16384,256,4,1.280001163482666
32766,32,3,0.6660419718610755
32766,64,3,0.6498561771348349
32766,128,3,0.9141960225538668
32766,256,3,0.8998758478682171
32768,32,1,0.6534976959228516
32768,32,2,0.6643896102905273
32768,32,4,0.6600809097290039
32768,64,1,0.9564695358276367
32768,64,2,0.6633005142211914
32768,64,4,0.7850618362426758
32768,128,1,0.6331369876861572
