Size,Repeat,Write per Kernel,Time (ns)
1023,32,3,25.97910557184751
1023,64,3,56.97146871945259
1023,128,3,24.72713526392962
1023,256,3,24.805787206744867
1024,32,1,25.996337890625
1024,32,2,25.71051025390625
1024,32,4,25.264129638671875
1024,64,1,25.718521118164062
1024,64,2,25.96160888671875
1024,64,4,25.411209106445312
1024,128,1,24.812637329101562
1024,128,2,25.332000732421875
1024,128,4,24.7530517578125
1024,256,1,25.695606231689453
1024,256,2,24.945419311523438
1024,256,4,24.960174560546875
2046,32,3,12.719422043010752
2046,64,3,12.835632025904204
2046,128,3,12.485646535923754
2046,256,3,12.409971056329423
2048,32,1,13.016769409179688
2048,32,2,12.998077392578125
2048,32,4,13.137710571289062
2048,64,1,12.838508605957031
2048,64,2,12.688728332519531
2048,64,4,13.076210021972656
2048,128,1,12.64980697631836
2048,128,2,12.590446472167969
2048,128,4,20.129894256591797
2048,256,1,12.635902404785156
2048,256,2,12.388893127441406
2048,256,4,12.417724609375
4095,32,3,6.463347069597069
4095,64,3,6.356932997557998
4095,128,3,6.43053456959707
4095,256,3,6.183660523504273
4096,32,1,10.15826416015625
4096,32,2,128.68881225585938
4096,32,4,6.419731140136719
4096,64,1,6.430934906005859
4096,64,2,6.353290557861328
4096,64,4,6.562740325927734
4096,128,1,6.292972564697266
4096,128,2,6.25206184387207
4096,128,4,6.284002304077148
4096,256,1,10.254581451416016
4096,256,2,6.170877456665039
4096,256,4,6.220341682434082
8190,32,3,3.26580815018315
8190,64,3,3.215037393162393
8190,128,3,3.1646338904151405
8190,256,3,3.1586614774114774
8192,32,1,3.278076171875
8192,32,2,3.2617263793945312
8192,32,4,3.904651641845703
8192,64,1,7.04524040222168
8192,64,2,3.2778282165527344
8192,64,4,3.249532699584961
8192,128,1,3.141362190246582
8192,128,2,3.1194324493408203
8192,128,4,3.1347436904907227
8192,256,1,3.1276087760925293
8192,256,2,3.0696706771850586
8192,256,4,3.0763444900512695
16383,32,3,1.7635945034486968
16383,64,3,1.614898065067448
16383,128,3,1.8842135330830738
16383,256,3,1.6027260536836965
16384,32,1,1.6546573638916016
16384,32,2,1.6008434295654297
16384,32,4,1.6364364624023438
16384,64,1,1.9516716003417969
16384,64,2,1.6311054229736328
16384,64,4,3.5626354217529297
16384,128,1,1.6107854843139648
16384,128,2,1.6989216804504395
16384,128,4,1.8976988792419434
16384,256,1,2.362963914871216
16384,256,2,1.6222009658813477
16384,256,4,1.6006965637207031
32766,32,3,0.8147307803821034
32766,64,3,0.8166473058963559
32766,128,3,0.7673114375419642
32766,256,3,0.8004215736205212
32768,32,1,1.1541023254394531
32768,32,2,0.8010673522949219
32768,32,4,0.9749336242675781
32768,64,1,0.772669792175293
32768,64,2,0.799628734588623
32768,64,4,0.8024387359619141
32768,128,1,0.7512631416320801
32768,128,2,0.8312199115753174
32768,128,4,0.7769901752471924
32768,256,1,0.761157751083374
32768,256,2,0.8048372268676758
32768,256,4,0.790311336517334
65535,32,3,0.4002365148393988
65535,64,3,0.3867270351720455
