Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.551856,7.29986,2.53658,0.159334,6.23675e-7,0.000976562,3.92908e-9,4.02512e-8
131072,4096,2,2,0,0.392928,5.30004,1.80613,0.152829,4.77303e-7,0.000976562,3.2438e-6,3.63268e-6
131072,4096,2,6,0,1.0598,13.2998,4.87085,0.1648,2.60344e-6,0.000976562,2.96877e-9,3.30058e-8
131072,4096,3,1,0,0.540122,3.33354,2.48239,0.115203,1.58298e-6,0.000976562,0.000613638,0.000622702
131072,4096,4,4,0,0.71037,9.30032,3.26499,0.145442,1.27265e-6,0.000976562,5.45033e-6,7.90495e-6
131072,4096,4,12,0,2.06473,25.2999,9.49104,0.167639,4.36864e-6,0.000976562,3.49267e-10,1.25736e-8
131072,4096,6,2,0,1.04083,5.41711,4.78402,0.138899,2.55629e-6,0.000976562,0.000975545,0.00212071
131072,4096,8,8,0,1.39263,17.3003,6.4012,0.163162,2.82656e-6,0.000976562,2.83518e-6,5.82077e-6
131072,4096,12,4,0,2.05411,9.52426,9.44093,0.158657,5.68887e-6,0.000976562,0.000975899,0.00367652
131072,8192,1,3,0,0.536153,7.27491,2.46449,0.141197,6.79905e-7,0.000488281,4.01639e-9,4.1037e-8
131072,8192,2,2,0,0.377894,5.27514,1.73708,0.139102,4.75731e-7,0.000488281,2.14257e-6,3.55596e-6
131072,8192,2,6,0,1.04431,13.2749,4.80029,0.149891,2.12599e-6,0.000488281,3.84194e-9,2.67189e-8
131072,8192,3,1,0,0.532851,3.30792,2.44927,0.110686,7.70099e-7,0.000488281,0.000485229,0.00060693
131072,8192,4,4,0,0.702086,9.27523,3.22738,0.143154,1.35403e-6,0.000488281,2.21119e-6,5.27722e-6
131072,8192,4,12,0,2.05574,25.275,9.44914,0.152304,6.66926e-6,0.000488281,3.49267e-10,1.25736e-8
131072,8192,6,2,0,1.03376,5.38353,4.75152,0.132,1.8609e-6,0.000488281,0.00048795,0.00178989
131072,8192,8,8,0,1.37825,17.2757,6.33521,0.148557,2.63844e-6,0.000488281,3.38978e-6,1.20299e-5
131072,8192,12,4,0,2.04479,9.48791,9.39757,0.151161,4.16187e-6,0.000488281,0.000487996,0.0029205
131072,16384,1,3,0,0.533709,7.26246,2.4496,0.139431,8.16637e-7,0.000244141,1.72879e-8,9.02815e-8
131072,16384,2,2,0,0.370235,5.2626,1.70179,0.132545,5.50062e-7,0.000244141,8.1968e-7,2.14129e-6
131072,16384,2,6,0,1.03572,13.2625,4.76063,0.143477,1.9428e-6,0.000244141,4.71511e-9,4.29599e-8
131072,16384,3,1,0,0.526813,3.29364,2.42122,0.101918,1.10643e-6,0.000244141,0.000243631,0.000558369
131072,16384,4,4,0,0.700778,9.26268,3.22099,0.139142,1.06264e-6,0.000244141,8.23289e-7,3.09816e-6
131072,16384,4,12,0,2.0457,25.2625,9.40191,0.146173,5.62495e-6,0.000244141,1.39707e-9,3.35297e-8
131072,16384,6,2,0,1.0316,5.36523,4.74126,0.125208,2.11621e-6,0.000244141,0.000244012,0.00142383
