Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.553594,3.48893,2.54289,0.171134,4.75593e-7,0.000976562,0.000963924,0.00117829
131072,4096,2,2,0,0.394116,5.42753,1.81023,0.167539,3.76371e-7,0.000976562,4.6552e-5,4.70069e-5
131072,4096,2,6,0,1.06185,5.54914,4.87623,0.171689,2.03955e-6,0.000976562,0.000974627,0.00223069
131072,4096,3,1,0,0.541907,7.42508,2.48904,0.157926,1.45926e-6,0.000976562,5.23877e-10,8.38203e-9
131072,4096,4,4,0,0.712615,9.42536,3.27317,0.155151,1.20664e-6,0.000976562,2.55066e-6,3.42401e-6
131072,4096,4,12,0,2.07208,9.65463,9.51826,0.176202,1.99152e-6,0.000976562,0.000975303,0.00373708
131072,4096,6,2,0,1.04359,13.4252,4.79398,0.161575,2.03605e-6,0.000976562,3.49267e-10,1.32722e-8
131072,4096,8,8,0,1.39711,17.4264,6.41784,0.169819,2.10619e-6,0.000976562,1.26923e-5,1.56485e-5
131072,4096,12,4,0,2.05865,25.4255,9.45634,0.16625,8.65589e-6,0.000976562,6.98535e-10,2.40994e-8
131072,8192,1,3,0,0.537202,3.46082,2.46744,0.150807,7.81013e-7,0.000488281,0.000486706,0.0010953
131072,8192,2,2,0,0.379062,5.40203,1.74108,0.154305,4.18862e-7,0.000488281,3.51172e-5,3.59272e-5
131072,8192,2,6,0,1.04749,5.51444,4.81156,0.157191,1.53765e-6,0.000488281,0.000487606,0.00186405
131072,8192,3,1,0,0.53452,7.40017,2.45544,0.155327,5.12701e-7,0.000488281,6.1119e-10,9.16785e-9
131072,8192,4,4,0,0.703766,9.40056,3.23282,0.153047,8.68924e-7,0.000488281,6.50634e-6,7.62602e-6
131072,8192,4,12,0,2.06315,9.61641,9.4753,0.15945,4.70463e-6,0.000488281,0.000487633,0.00292701
131072,8192,6,2,0,1.03659,13.4003,4.76144,0.153374,1.98733e-6,0.000488281,3.49267e-10,1.25736e-8
131072,8192,8,8,0,1.38327,17.401,6.35328,0.154549,2.70712e-6,0.000488281,4.14066e-6,6.09923e-6
131072,8192,12,4,0,2.04923,25.4006,9.41199,0.15996,5.95675e-6,0.000488281,1.0478e-9,3.17833e-8
131072,16384,1,3,0,0.533709,3.44329,2.44792,0.147618,8.17597e-7,0.000244141,0.000241212,0.00091362
131072,16384,2,2,0,0.371012,5.3894,1.70413,0.147762,7.41507e-7,0.000244141,3.06375e-5,3.3554e-5
131072,16384,2,6,0,1.03939,5.49544,4.77412,0.150122,1.62077e-6,0.000244141,0.000243827,0.00146133
131072,16384,3,1,0,0.527966,7.38763,2.4253,0.148207,9.55028e-7,0.000244141,1.04775e-9,1.03029e-8
131072,16384,4,4,0,0.702341,9.38829,3.22602,0.149639,1.16508e-6,0.000244141,7.42113e-6,1.04775e-5
131072,16384,4,12,0,2.05048,9.59167,9.41759,0.153508,4.13323e-6,0.000244141,0.000243909,0.0021233
131072,16384,6,2,0,1.03466,13.3879,4.75253,0.151482,1.74389e-6,0.000244141,3.49267e-10,1.27483e-8
131072,16384,8,8,0,1.37767,17.3888,6.32739,0.150786,2.85241e-6,0.000244141,9.69716e-6,1.42083e-5
131072,16384,12,4,0,2.04835,25.3883,9.40815,0.150064,6.4342e-6,0.000244141,6.98535e-10,2.44487e-8
262144,8192,1,3,0,0.535433,3.46017,2.45944,0.157254,1.23545e-6,0.000488281,0.00048685,0.00108437
262144,8192,2,2,0,0.37134,5.40061,1.7055,0.152258,5.59725e-7,0.000488281,9.28377e-6,1.08355e-5
262144,8192,2,6,0,1.03408,5.51265,4.74995,0.155059,1.55494e-6,0.000488281,0.000487593,0.00184168
262144,8192,3,1,0,0.534756,7.40007,2.45627,0.152251,1.18306e-6,0.000488281,1.74634e-10,6.11218e-9
