CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.109885,0.752816,0.505138,0.105489,3.49265e-7,6.10352e-5,6.46105e-9,5.9139e-8
0,2,0.107675,0.752818,0.494977,0.106075,4.79573e-7,6.10352e-5,9.9147e-9,7.7552e-8
0,3,0.109095,0.752824,0.501565,0.10836,4.6669e-7,6.10352e-5,1.29415e-8,8.80682e-8
1,0,0.112932,0.752822,0.518719,0.106558,4.53787e-7,6.10352e-5,5.85957e-9,4.19677e-8
1,2,0.108622,0.752811,0.499061,0.106359,2.71985e-7,6.10352e-5,1.39698e-9,1.00311e-8
1,3,0.108417,0.752812,0.498471,0.108866,4.17776e-7,6.10352e-5,5.23869e-9,3.53903e-8
2,0,0.114706,0.752811,0.526873,0.106622,4.12615e-7,6.10352e-5,6.79089e-10,5.91778e-9
2,1,0.113231,0.752815,0.52044,0.105714,4.47617e-7,6.10352e-5,5.82077e-10,6.48045e-9
2,3,0.111467,0.752815,0.51248,0.107853,4.22277e-7,6.10352e-5,4.30737e-9,2.73188e-8
3,0,0.113367,0.752812,0.520603,0.107214,4.80543e-7,6.10352e-5,1.61041e-9,4.96705e-9
3,1,0.110617,0.75281,0.508374,0.105833,5.06911e-7,6.10352e-5,4.67602e-9,1.47071e-8
3,2,0.109108,0.752816,0.501486,0.105474,4.81804e-7,6.10352e-5,1.72683e-9,9.0804e-9
