CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.110179,0.502967,0.506142,0.143564,2.65369e-7,6.10352e-5,3.88051e-11,9.70128e-10
0,2,0.107964,0.502968,0.495848,0.145391,2.39175e-7,6.10352e-5,1.35818e-10,2.48353e-9
0,3,0.109421,0.502977,0.502446,0.144796,3.78951e-7,6.10352e-5,3.88051e-11,1.33878e-9
1,0,0.113212,0.50297,0.520003,0.141107,3.04445e-7,6.10352e-5,6.79089e-10,9.02219e-9
1,2,0.10886,0.502971,0.500388,0.142848,2.56618e-7,6.10352e-5,1.16415e-10,3.29843e-9
1,3,0.108705,0.502967,0.499587,0.143354,2.48411e-7,6.10352e-5,3.88051e-11,1.18356e-9
2,0,0.114994,0.502968,0.528586,0.142504,2.16785e-7,6.10352e-5,5.82077e-10,7.14014e-9
2,1,0.113488,0.502969,0.521676,0.142088,2.58364e-7,6.10352e-5,1.35818e-10,2.09548e-9
2,3,0.111736,0.502967,0.513496,0.140778,2.94744e-7,6.10352e-5,1.74623e-10,1.45519e-9
3,0,0.113635,0.502968,0.522384,0.146557,2.93483e-7,6.10352e-5,6.40284e-10,8.03266e-9
3,1,0.110909,0.502967,0.509828,0.147041,3.38982e-7,6.10352e-5,7.76102e-11,1.31937e-9
3,2,0.109356,0.502969,0.502695,0.145635,3.92591e-7,6.10352e-5,1.35818e-10,2.48353e-9
