CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.111264,0.753325,0.507895,0.104293,7.24297e-8,6.48494e-5,9.62367e-9,7.67177e-8
0,2,0.10901,0.753352,0.500856,0.104954,5.25809e-7,6.48496e-5,9.97291e-9,7.93758e-8
0,3,0.110008,0.753349,0.505726,0.108084,5.85685e-7,6.48497e-5,1.51146e-8,9.44904e-8
1,0,0.113676,0.753332,0.522175,0.104883,6.01673e-7,6.48489e-5,7.31476e-9,4.91855e-8
1,2,0.109189,0.753333,0.50194,0.105006,4.88149e-7,6.48497e-5,2.52233e-9,1.981e-8
1,3,0.110176,0.753343,0.50622,0.107234,6.25034e-7,6.48497e-5,7.17894e-9,4.66631e-8
2,0,0.115285,0.753337,0.52927,0.105304,5.45154e-7,6.48492e-5,1.33878e-9,8.82816e-9
2,1,0.114085,0.753337,0.524396,0.104421,5.57086e-7,6.48497e-5,1.66862e-9,9.06099e-9
2,3,0.112329,0.753329,0.516446,0.106714,5.42709e-7,6.48499e-5,3.89991e-9,2.5495e-8
3,0,0.114205,0.753325,0.524494,0.105774,6.57417e-7,6.48489e-5,1.24176e-9,4.30737e-9
3,1,0.111529,0.753327,0.512577,0.104496,5.82465e-7,6.48497e-5,9.1192e-10,4.42378e-9
3,2,0.110475,0.753339,0.50737,0.103857,6.48103e-7,6.48495e-5,9.70128e-10,7.02372e-9
