CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.111264,0.504282,0.507534,0.142984,8.71175e-8,6.48516e-5,5.09313e-6,5.09315e-6
0,2,0.109409,0.50437,0.502463,0.144398,5.29321e-7,6.48511e-5,5.09315e-6,5.09726e-6
0,3,0.110415,0.504361,0.506965,0.144393,4.46841e-7,6.48521e-5,5.10101e-6,5.10291e-6
1,0,0.113963,0.50433,0.523704,0.140312,5.326e-7,6.48515e-5,5.09364e-6,5.10085e-6
1,2,0.109462,0.504334,0.503153,0.141994,4.73286e-7,6.48501e-5,5.0844e-6,5.08756e-6
1,3,0.110422,0.504345,0.507431,0.14227,6.68069e-7,6.48502e-5,5.08194e-6,5.08457e-6
2,0,0.115542,0.504325,0.530791,0.141563,5.40788e-7,6.48513e-5,4.99325e-6,5.00101e-6
2,1,0.114328,0.50433,0.525519,0.141481,5.98239e-7,6.4851e-5,5.05293e-6,5.05473e-6
2,3,0.112615,0.504333,0.517571,0.139845,4.13216e-7,6.48506e-5,5.09059e-6,5.09201e-6
3,0,0.114441,0.504324,0.52613,0.145368,6.90207e-7,6.48515e-5,5.0974e-6,5.10541e-6
3,1,0.111816,0.504332,0.514007,0.145962,3.92766e-7,6.48513e-5,5.0916e-6,5.09302e-6
3,2,0.110725,0.504349,0.50902,0.144634,5.92651e-7,6.48519e-5,5.10049e-6,5.10475e-6
