CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.161335,0.752831,0.577963,0.10605,2.61626e-6,6.10352e-5,8.63996e-8,2.34984e-7
0,2,0.158258,0.752833,0.566849,0.10466,2.58818e-6,6.10352e-5,1.21887e-7,2.73848e-7
0,3,0.157401,0.752833,0.564001,0.105722,2.29561e-6,6.10352e-5,1.47071e-7,3.29572e-7
0,4,0.154007,0.752826,0.551621,0.105938,2.6403e-6,6.10352e-5,9.98649e-8,2.30075e-7
0,5,0.152407,0.752818,0.545804,0.105837,2.46424e-6,6.10352e-5,3.67678e-8,1.10129e-7
0,6,0.156906,0.752834,0.561679,0.107049,2.61896e-6,6.10352e-5,1.63214e-7,3.55629e-7
0,7,0.159977,0.752823,0.573147,0.108074,2.32842e-6,6.10352e-5,4.63139e-8,1.43967e-7
1,0,0.163757,0.752847,0.586563,0.107088,2.73496e-6,6.10352e-5,3.43697e-7,6.28041e-7
1,2,0.160279,0.752831,0.574061,0.105706,2.26729e-6,6.10352e-5,2.54076e-7,4.06425e-7
1,3,0.153116,0.752821,0.548353,0.105887,2.85547e-6,6.10352e-5,8.75443e-8,1.52349e-7
1,4,0.151563,0.752834,0.542669,0.10574,2.5057e-6,6.10352e-5,2.53397e-7,4.34423e-7
1,5,0.151887,0.752813,0.544128,0.105748,2.33005e-6,6.10352e-5,4.56542e-8,8.79518e-8
1,6,0.155096,0.752813,0.555604,0.106749,2.45871e-6,6.10352e-5,4.38886e-8,8.89025e-8
1,7,0.158109,0.752814,0.566682,0.108071,2.47627e-6,6.10352e-5,4.28408e-8,9.5577e-8
2,0,0.160002,0.752816,0.572881,0.107011,2.49224e-6,6.10352e-5,5.39391e-8,1.15174e-7
2,1,0.161325,0.75282,0.577815,0.106547,2.38539e-6,6.10352e-5,4.63915e-8,9.94381e-8
2,3,0.151393,0.752825,0.542214,0.104917,2.32344e-6,6.10352e-5,1.3541e-7,2.26156e-7
2,4,0.149773,0.752828,0.535989,0.105692,2.15828e-6,6.10352e-5,1.26873e-7,3.14186e-7
2,5,0.149833,0.752819,0.536866,0.10518,1.97858e-6,6.10352e-5,8.86891e-8,1.55531e-7
2,6,0.152862,0.752821,0.547534,0.106786,2.3524e-6,6.10352e-5,1.32733e-7,2.46587e-7
2,7,0.15569,0.752832,0.557722,0.107875,2.51007e-6,6.10352e-5,2.19579e-7,3.82754e-7
3,0,0.162286,0.752847,0.580876,0.106556,2.81966e-6,6.10352e-5,2.96199e-7,6.20532e-7
3,1,0.156987,0.752832,0.56237,0.105907,2.43335e-6,6.10352e-5,1.46955e-7,3.20627e-7
3,2,0.153365,0.752828,0.549315,0.104645,2.62548e-6,6.10352e-5,1.33684e-7,2.69172e-7
3,4,0.150418,0.752822,0.538808,0.105534,2.35489e-6,6.10352e-5,1.34751e-7,2.5592e-7
