CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.162369,0.504268,0.579185,0.144379,3.53565e-6,6.48505e-5,4.86731e-6,4.86765e-6
0,2,0.159102,0.504314,0.569396,0.14381,4.52951e-6,6.48502e-5,4.76895e-6,4.77054e-6
0,3,0.158236,0.50432,0.566271,0.144114,4.30921e-6,6.48525e-5,4.98097e-6,4.99755e-6
0,4,0.154648,0.504322,0.553215,0.143961,4.00878e-6,6.48502e-5,5.06356e-6,5.065e-6
0,5,0.154337,0.504328,0.552491,0.143287,4.5902e-6,6.48512e-5,5.03921e-6,5.04104e-6
0,6,0.157771,0.50432,0.564427,0.144102,3.93548e-6,6.48526e-5,5.07311e-6,5.07447e-6
0,7,0.161045,0.504311,0.576358,0.144217,4.99426e-6,6.4851e-5,5.02192e-6,5.02328e-6
1,0,0.165043,0.504316,0.590695,0.142613,4.93706e-6,6.48501e-5,4.83042e-6,4.8329e-6
1,2,0.161254,0.504306,0.577305,0.142557,4.93465e-6,6.48501e-5,4.80093e-6,4.80236e-6
1,3,0.154974,0.504309,0.554591,0.142407,4.7045e-6,6.48513e-5,5.00964e-6,5.01106e-6
1,4,0.151988,0.504308,0.544553,0.142607,3.81252e-6,6.48525e-5,5.06694e-6,5.06832e-6
1,5,0.152745,0.504307,0.546764,0.14314,3.72871e-6,6.48529e-5,5.08066e-6,5.08145e-6
1,6,0.156458,0.504298,0.560059,0.143371,4.22654e-6,6.4853e-5,4.82462e-6,4.82607e-6
1,7,0.159266,0.504314,0.570167,0.143534,4.36305e-6,6.48528e-5,5.07125e-6,5.07518e-6
2,0,0.161123,0.504294,0.576933,0.141485,4.21782e-6,6.48505e-5,4.81224e-6,4.81482e-6
2,1,0.162193,0.504306,0.580718,0.141818,4.64856e-6,6.48504e-5,4.95409e-6,4.95566e-6
2,3,0.167574,0.504305,0.59739,0.137634,5.41816e-6,6.48552e-5,4.8791e-6,4.9014e-6
2,4,0.150016,0.504319,0.536801,0.140869,3.63109e-6,6.485e-5,5.04447e-6,5.04612e-6
2,5,0.150786,0.504311,0.539945,0.140968,4.27073e-6,6.4851e-5,5.06938e-6,5.07078e-6
