Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.275833,0.46104,1.26771,0.114339,1.72042e-7,0.015625,0.000153963,0.000154223
16384,512,0.126726,0.237691,0.582491,0.0317989,7.28566e-8,0.0078125,0.000217234,0.000217367
16384,1024,0.09552,0.12541,0.439026,0.0195882,6.69194e-8,0.00390625,0.000235505,0.000236914
16384,2048,0.082294,0.0691435,0.378192,0.0197353,6.45135e-8,0.00195312,0.00024414,0.000244342
16384,4096,0.0750777,0.0409767,0.345048,0.00692035,1.0815e-7,0.000976562,0.000244201,0.000246757
32768,512,0.141004,0.229558,0.648097,0.0645425,8.30429e-8,0.0078125,5.78528e-5,5.79114e-5
32768,1024,0.0674694,0.118517,0.310083,0.0181924,3.88633e-8,0.00390625,0.000101944,0.00010202
32768,2048,0.0484049,0.0627953,0.222499,0.00964898,3.20336e-8,0.00195312,0.000119229,0.000119863
32768,4096,0.0412568,0.0345895,0.189637,0.0093823,2.33219e-8,0.000976562,0.000122067,0.000122151
32768,8192,0.0382476,0.0204528,0.175745,0.00439533,8.57981e-8,0.000488281,0.000122073,0.00012254
65536,1024,0.0785007,0.114588,0.360755,0.0309421,1.13078e-7,0.00390625,2.43227e-5,2.43948e-5
65536,2048,0.0337379,0.0590874,0.155068,0.00964667,1.9519e-8,0.00195312,4.7169e-5,4.72031e-5
65536,4096,0.022862,0.0314685,0.105068,0.00430371,2.71248e-8,0.000976562,6.08679e-5,6.09695e-5
65536,8192,0.0207782,0.0173143,0.0954846,0.00490403,2.51263e-8,0.000488281,6.10353e-5,6.10778e-5
65536,16384,0.0194929,0.010237,0.089568,0.00224632,1.96354e-8,0.000244141,6.10364e-5,6.11299e-5
131072,2048,0.0358405,0.0574138,0.164731,0.0112203,5.196e-8,0.00195312,1.43617e-5,1.43826e-5
131072,4096,0.0160226,0.0297663,0.0736314,0.00406857,2.40592e-8,0.000976562,2.75769e-5,2.75914e-5
131072,8192,0.0121514,0.0157331,0.0558411,0.00245562,8.53712e-9,0.000488281,2.99838e-5,3.00805e-5
131072,16384,0.0107952,0.00867766,0.0495929,0.00275476,1.48041e-8,0.000244141,3.05175e-5,3.05595e-5
131072,32768,0.00983729,0.00515536,0.0451938,0.00111231,1.8122e-8,0.00012207,3.05176e-5,3.08744e-5
262144,4096,0.0197434,0.02856,0.0907454,0.0082067,1.67832e-8,0.000976562,3.92795e-6,3.94182e-6
262144,8192,0.00876811,0.0148365,0.0402843,0.00240285,1.31355e-8,0.000488281,1.26536e-5,1.26665e-5
262144,16384,0.00619864,0.0078867,0.0284787,0.00122704,1.3349e-8,0.000244141,1.49559e-5,1.50447e-5
262144,32768,0.00539218,0.00435807,0.0247764,0.00107921,1.38922e-8,0.00012207,1.52583e-5,1.52843e-5
262144,65536,0.00506667,0.00260339,0.0232792,0.000508219,1.11759e-8,6.10352e-5,1.52587e-5,1.55724e-5
524288,8192,0.00874389,0.0144474,0.0401858,0.00359348,9.23562e-9,0.000488281,4.86207e-6,4.86804e-6
524288,16384,0.00434592,0.00745699,0.0199693,0.00107845,7.6058e-9,0.000244141,6.63397e-6,6.64e-6
524288,32768,0.00326806,0.00396414,0.0150142,0.000617889,1.18938e-8,0.00012207,7.52751e-6,7.55293e-6
524288,65536,0.00285053,0.00219758,0.0130935,0.00056207,9.15801e-9,6.10352e-5,7.62938e-6,7.64168e-6
524288,131072,0.00268449,0.00131259,0.0123321,0.000295883,9.31323e-9,3.05176e-5,7.62951e-6,7.63974e-6
1048576,16384,0.00459473,0.00722478,0.0211135,0.00197385,1.65698e-8,0.000244141,2.09489e-6,2.09806e-6
1048576,32768,0.00230858,0.00375518,0.0106052,0.000567424,7.50879e-9,0.00012207,3.44772e-6,3.45133e-6
1048576,65536,0.00178183,0.00199787,0.00818865,0.000287429,4.96705e-9,6.10352e-5,3.72321e-6,3.73305e-6
1048576,131072,0.00158917,0.00111798,0.00729633,0.00031668,5.68495e-9,3.05176e-5,3.81485e-6,3.82046e-6
1048576,262144,0.00148429,0.000676078,0.00681466,0.000141078,5.78196e-9,1.52588e-5,3.8147e-6,3.82011e-6
2097152,32768,0.00241909,0.00363855,0.0111184,0.000880319,5.82077e-9,0.00012207,1.18307e-6,1.18633e-6
2097152,65536,0.00142213,0.00188591,0.00653348,0.000359335,8.07146e-9,6.10352e-5,1.52044e-6,1.52423e-6
2097152,131072,0.00104125,0.00102064,0.00478062,0.000148114,5.00586e-9,3.05176e-5,1.88701e-6,1.89355e-6
2097152,262144,0.00092029,0.00057759,0.00422777,0.000148629,2.58054e-9,1.52588e-5,1.90727e-6,1.91063e-6
2097152,524288,0.000922923,0.000361048,0.00423464,5.646e-5,1.5231e-8,7.62939e-6,1.90758e-6,1.98591e-6
4194304,65536,0.00129031,0.00183739,0.0059284,0.000396136,6.90731e-9,6.10352e-5,5.79108e-7,5.81533e-7
4194304,131072,0.00103201,0.0009839,0.00473721,0.000181038,5.91778e-9,3.05176e-5,7.74414e-7,7.76684e-7
4194304,262144,0.000655176,0.000528068,0.00300907,6.82798e-5,2.75516e-9,1.52588e-5,9.34737e-7,9.42421e-7
4194304,524288,0.000609661,0.000307362,0.00279706,7.27105e-5,3.16262e-9,7.62939e-6,9.53694e-7,9.55188e-7
4194304,1048576,0.000874685,0.00023258,0.00401369,3.71057e-5,7.6058e-9,3.8147e-6,9.53674e-7,9.56876e-7
