Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.178543,0.578759,0.820606,0.00836662,7.96863e-8,0.0159021,0.0004882,0.000488994
16384,512,0.161133,0.308577,0.740621,0.00728041,6.8491e-8,0.00812554,0.000484771,0.00048591
16384,1024,0.157254,0.175255,0.722747,0.00639191,9.39666e-8,0.00415479,0.000299406,0.000494928
16384,2048,0.152657,0.106496,0.701617,0.00604515,8.9892e-8,0.00221366,0.000351861,0.000499027
16384,4096,0.188921,0.0783868,0.867932,0.00461921,6.203e-8,0.00121916,0.000247932,0.000592101
32768,512,0.0874225,0.289976,0.401842,0.00394964,6.50762e-8,0.00797116,0.000239241,0.000239425
32768,1024,0.0802696,0.154575,0.368862,0.00368206,6.58135e-8,0.00407188,0.000242299,0.000242778
32768,2048,0.0797642,0.0877615,0.366638,0.00271547,3.24993e-8,0.00207292,0.000129336,0.00024908
32768,4096,0.0756258,0.0545234,0.347595,0.00356467,3.24023e-8,0.00114234,0.000210175,0.000250876
32768,8192,0.0936722,0.0391172,0.430541,0.00214268,6.01479e-8,0.00061041,0.000124375,0.000293987
65536,1024,0.0452033,0.144548,0.207771,0.00193023,4.22006e-8,0.00399088,0.000121295,0.000121392
65536,2048,0.0401929,0.0774818,0.18472,0.00172126,3.52738e-8,0.00203873,0.000120907,0.000121818
65536,4096,0.0377938,0.0433809,0.173707,0.00146847,4.72064e-8,0.00104615,0.000119343,0.000122349
65536,8192,0.0384894,0.0265803,0.176914,0.00152414,3.25575e-8,0.000553689,8.74879e-5,0.000124658
65536,16384,0.0361416,0.0179836,0.166079,0.00222029,3.67678e-8,0.00031453,0.000115303,0.000124265
131072,2048,0.0221587,0.0726963,0.101838,0.00114753,2.62128e-8,0.00199359,6.07838e-5,6.11353e-5
131072,4096,0.0198842,0.0388709,0.0914081,0.000908683,1.87623e-8,0.00101026,5.58801e-5,6.10821e-5
131072,8192,0.0185909,0.0217906,0.0854468,0.00116266,1.82578e-8,0.000523482,5.78515e-5,6.05219e-5
131072,16384,0.01901,0.013307,0.0873713,0.000782912,1.71519e-8,0.000279819,5.24914e-5,6.24428e-5
131072,32768,0.027442,0.010447,0.126126,0.000775566,2.38069e-8,0.000153359,3.19559e-5,8.34127e-5
262144,4096,0.0113889,0.0362704,0.0523421,0.000552848,1.41833e-8,0.00099721,3.03836e-5,3.04058e-5
262144,8192,0.0101425,0.0193544,0.0466103,0.000455514,1.82384e-8,0.000509342,3.03796e-5,3.04283e-5
262144,16384,0.009459,0.0109202,0.0434622,0.000457081,2.41562e-8,0.000262784,2.89981e-5,3.0549e-5
262144,32768,0.00911732,0.00665799,0.0418942,0.000451493,1.33684e-8,0.000139886,2.67492e-5,3.06494e-5
262144,65536,0.0121823,0.00495068,0.0559952,0.000413983,1.73847e-8,7.69937e-5,1.79611e-5,3.7025e-5
524288,8192,0.00573158,0.0181358,0.026339,0.000353373,1.39116e-8,0.000497132,1.50978e-5,1.51124e-5
524288,16384,0.00514037,0.00969488,0.0236271,0.000197536,1.75981e-8,0.000254443,1.51491e-5,1.52523e-5
524288,32768,0.00506399,0.00552933,0.0232766,0.000185365,9.15801e-9,0.000129712,7.95111e-6,1.54445e-5
524288,65536,0.00466046,0.00331179,0.0214171,0.000223912,1.48041e-8,6.92491e-5,1.35591e-5,1.53396e-5
524288,131072,0.00478141,0.00228299,0.0219745,0.000206384,1.26699e-8,3.87587e-5,1.28471e-5,1.60338e-5
1048576,16384,0.00291171,0.0091374,0.0133784,0.000149797,1.16803e-8,0.000248812,7.61736e-6,7.62191e-6
1048576,32768,0.00257028,0.00481754,0.0118081,0.000111489,1.03028e-8,0.000126824,7.5967e-6,7.60811e-6
1048576,65536,0.0024894,0.0027369,0.0114401,0.000126451,9.8759e-9,6.50271e-5,7.227e-6,7.57092e-6
1048576,131072,0.00249673,0.00168317,0.0114761,0.00012484,1.0555e-8,3.45863e-5,6.1646e-6,7.87332e-6
1048576,262144,0.00353461,0.00131842,0.0162454,9.24796e-5,1.04774e-8,1.93933e-5,4.15595e-6,1.03101e-5
2097152,32768,0.00147861,0.0046005,0.00679062,7.08363e-5,1.78309e-8,0.000124509,3.80455e-6,3.81068e-6
2097152,65536,0.00137884,0.00242409,0.00633141,6.35755e-5,1.24176e-8,6.3357e-5,3.76384e-6,3.79516e-6
2097152,131072,0.00137117,0.00138596,0.00630067,4.04007e-5,1.17385e-8,3.24255e-5,2.16697e-6,3.82434e-6
2097152,262144,0.00137324,0.000853927,0.00630593,6.35677e-5,9.83709e-9,1.72544e-5,3.33526e-6,3.99966e-6
2097152,524288,0.00187712,0.000677663,0.00862748,4.53414e-5,1.16997e-8,9.65306e-6,2.03828e-6,5.33844e-6
4194304,65536,0.000818967,0.00229893,0.00376096,3.77963e-5,9.06099e-9,6.23172e-5,1.90436e-6,1.90673e-6
4194304,131072,0.000776282,0.00121544,0.00356549,1.78375e-5,1.16027e-8,3.15696e-5,1.88133e-6,1.91356e-6
4194304,262144,0.000679704,0.000701075,0.00312192,2.10281e-5,1.24758e-8,1.63262e-5,1.829e-6,1.90954e-6
4194304,524288,0.000679047,0.00042713,0.0031197,2.13064e-5,1.21072e-8,8.58303e-6,1.85587e-6,1.91592e-6
4194304,1048576,0.000830498,0.000316966,0.00381254,2.08139e-5,1.37176e-8,4.78675e-6,1.28263e-6,2.17741e-6
8388608,131072,0.000509226,0.00117365,0.00233684,1.86746e-5,1.18744e-8,3.10581e-5,9.5088e-7,9.54955e-7
8388608,262144,0.000480829,0.000627972,0.00220743,1.50185e-5,1.3737e-8,1.58094e-5,8.11783e-7,9.56585e-7
8388608,524288,0.000455446,0.000363807,0.00207814,1.62136e-5,1.0361e-8,8.20321e-6,9.35106e-7,9.49716e-7
8388608,1048576,0.000383693,0.000218647,0.00176145,1.53474e-5,8.44011e-9,4.34912e-6,8.79498e-7,9.65587e-7
8388608,2097152,0.000504165,0.000171857,0.00231311,1.2355e-5,1.15251e-8,2.43192e-6,5.44203e-7,1.19262e-6
16777216,262144,0.000329371,0.00058815,0.00151038,9.55162e-6,9.41024e-9,1.55001e-5,4.75013e-7,4.76915e-7
16777216,524288,0.000233533,0.000309624,0.00107171,7.6793e-6,8.94458e-9,7.87006e-6,4.69348e-7,4.78448e-7
16777216,1048576,0.000270763,0.000187513,0.00124266,5.26556e-6,8.51772e-9,4.05438e-6,4.54175e-7,4.79088e-7
16777216,2097152,0.000238789,0.000114718,0.00109528,9.37811e-6,7.79983e-9,2.1725e-6,4.54796e-7,4.79204e-7
16777216,4194304,0.000317514,9.24091e-5,0.00145763,4.50725e-6,8.92517e-9,1.19516e-6,3.78195e-7,5.37121e-7
33554432,524288,0.000247868,0.000303009,0.0011366,5.78454e-6,7.5864e-9,7.7514e-6,2.35954e-7,2.38302e-7
33554432,1048576,0.000241998,0.000170531,0.00111061,4.16328e-6,7.35357e-9,3.93839e-6,2.32559e-7,2.36343e-7
33554432,2097152,0.00019925,0.000100339,0.000913066,3.41167e-6,8.49832e-9,2.02656e-6,2.35237e-7,2.4129e-7
33554432,4194304,0.000207484,6.81902e-5,0.000951705,1.84495e-6,8.96398e-9,1.07288e-6,2.09121e-7,2.54212e-7
33554432,8388608,0.00016554,4.68396e-5,0.000759753,4.58892e-6,1.0749e-8,5.9624e-7,2.25807e-7,2.43172e-7
67108864,1048576,0.000104878,0.000150434,0.000479555,1.51072e-6,9.25502e-9,3.87455e-6,1.18065e-7,1.20179e-7
67108864,2097152,0.00019842,9.53859e-5,0.000909405,2.12809e-6,1.00117e-8,1.9693e-6,1.09683e-7,1.20723e-7
67108864,4194304,0.000158128,5.71798e-5,0.000724544,2.0817e-6,8.75055e-9,1.01328e-6,1.15232e-7,1.1789e-7
67108864,8388608,0.000213,4.85214e-5,0.000975983,1.08253e-6,1.49788e-8,5.36713e-7,6.24956e-8,1.43094e-7
67108864,16777216,0.000358366,5.92155e-5,0.00164526,1.22989e-6,6.63567e-9,2.98062e-7,6.18359e-8,1.44239e-7
134217728,2097152,0.000117927,8.32313e-5,0.000540476,1.24363e-6,1.29221e-8,1.93715e-6,5.89644e-8,6.04778e-8
134217728,4194304,0.000148346,5.33868e-5,0.000679651,1.12713e-6,1.12535e-8,9.83477e-7,5.89644e-8,6.12151e-8
134217728,8388608,0.000141848,3.64193e-5,0.000650666,5.0402e-7,9.21621e-9,5.06678e-7,3.08889e-8,6.1021e-8
134217728,16777216,0.000147055,2.94773e-5,0.000673363,1.0125e-6,1.05162e-8,2.73479e-7,5.30854e-8,6.19524e-8
134217728,33554432,0.00014694,2.54289e-5,0.000674167,5.08017e-7,1.4843e-8,1.4907e-7,3.06754e-8,6.93641e-8
268435456,4194304,0.000112252,4.83902e-5,0.000514876,6.17001e-7,1.21072e-8,9.7168e-7,2.96859e-8,3.11411e-8
268435456,8388608,0.00010577,3.07743e-5,0.000484096,5.30466e-7,9.54606e-9,4.91738e-7,2.73964e-8,3.04814e-8
268435456,16777216,0.000136521,2.6739e-5,0.000625623,3.20414e-7,6.24762e-9,2.5332e-7,1.56579e-8,3.12963e-8
268435456,33554432,0.000105403,1.87992e-5,0.000482579,3.10596e-7,8.84756e-9,1.3411e-7,1.49788e-8,3.06948e-8
268435456,67108864,0.00010673,1.68642e-5,0.000489388,4.67427e-7,1.14087e-8,7.46222e-8,1.81414e-8,3.29843e-8
