Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.457232,1.55709,1.63434,0.0954426,7.27532e-6,0.015868,1.39991e-6,1.62176e-6
16384,512,0.473531,1.16052,1.69274,0.103248,8.71914e-6,0.00806871,1.95044e-6,2.20789e-6
16384,1024,0.447294,0.962744,1.59606,0.0927032,8.91838e-6,0.0041707,2.12503e-6,2.41149e-6
16384,2048,0.435071,0.864282,1.55375,0.0892939,7.65588e-6,0.00222711,7.89509e-7,1.03165e-6
16384,4096,0.445384,0.818257,1.58898,0.0948071,7.96741e-6,0.00131754,1.43247e-6,1.68719e-6
32768,512,0.444197,1.15558,1.58632,0.101883,7.88667e-6,0.0079347,7.38694e-7,1.00102e-6
32768,1024,0.424712,0.956201,1.51579,0.0948639,8.92909e-6,0.00402836,3.20744e-7,5.4298e-7
32768,2048,0.415109,0.856415,1.48192,0.09098,7.61129e-6,0.0020754,1.97479e-7,4.19735e-7
32768,4096,0.417466,0.806654,1.49192,0.0942581,8.65548e-6,0.00110139,5.05242e-8,2.62245e-7
32768,8192,0.41906,0.782985,1.49723,0.0931404,8.58532e-6,0.000636114,6.8491e-8,2.88632e-7
65536,1024,0.227027,0.952174,0.811198,0.0917438,5.5892e-6,0.00396763,2.54367e-8,1.33975e-7
65536,2048,0.221253,0.852741,0.790014,0.0875935,4.73512e-6,0.00201453,4.17931e-8,1.41871e-7
65536,4096,0.224599,0.803139,0.802611,0.0857518,4.98325e-6,0.00103866,1.55803e-8,1.40882e-7
65536,8192,0.223058,0.778353,0.794046,0.0847374,5.99312e-6,0.000550914,1.76951e-8,1.40067e-7
65536,16384,0.239413,0.768199,0.85464,0.086628,7.46399e-6,0.000355421,1.14999e-7,2.58326e-7
131072,2048,0.194207,0.850838,0.693756,0.0961686,2.84818e-6,0.00198368,1.12341e-8,1.01708e-7
131072,4096,0.196473,0.801417,0.70154,0.0986883,2.63894e-6,0.00100719,1.11371e-8,1.04192e-7
131072,8192,0.201896,0.77662,0.719716,0.0996517,3.69293e-6,0.000519293,1.56579e-8,1.31879e-7
131072,16384,0.195058,0.764183,0.696485,0.101295,3.19905e-6,0.000275401,2.36129e-8,1.06016e-7
131072,32768,0.191268,0.75848,0.683845,0.100999,4.45143e-6,0.000163614,3.12168e-7,4.49286e-7
262144,4096,0.180041,0.800491,0.642836,0.101971,1.81678e-6,0.000991822,1.01863e-8,7.5961e-8
262144,8192,0.180889,0.775713,0.645605,0.102667,3.43183e-6,0.000503561,1.41639e-8,7.98221e-8
262144,16384,0.177374,0.763304,0.633841,0.103182,2.50266e-6,0.000259403,1.49982e-8,7.53789e-8
262144,32768,0.175656,0.757105,0.626951,0.103603,3.69636e-6,0.000137425,2.63603e-7,3.58074e-7
262144,65536,0.172269,0.754037,0.61562,0.103459,2.16827e-6,7.6468e-5,1.79493e-7,4.28156e-7
524288,8192,0.172161,0.77512,0.615272,0.104071,2.23845e-6,0.00049591,9.33263e-9,7.65625e-8
524288,16384,0.170015,0.762796,0.607659,0.104203,3.06231e-6,0.000251771,1.66668e-8,7.79983e-8
524288,32768,0.168546,0.756674,0.601625,0.104866,3.71962e-6,0.000129785,5.55728e-7,6.92225e-7
