Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.457514,1.50473,1.63435,0.127343,6.20591e-6,0.0159002,0.0006683,0.000668403
16384,512,0.473893,1.0317,1.69308,0.135038,5.46977e-6,0.00809295,0.00064029,0.00064038
16384,1024,0.44753,0.800379,1.5957,0.128263,5.8743e-6,0.00422202,0.000681096,0.000681188
16384,2048,0.435355,0.68773,1.55396,0.12595,6.06487e-6,0.00229967,0.000729038,0.000729183
16384,4096,0.445384,0.638316,1.58795,0.13146,3.93695e-6,0.00143606,0.000769658,0.00077063
32768,512,0.444531,1.01658,1.58634,0.134562,5.32136e-6,0.00795061,0.000563105,0.000563176
32768,1024,0.424955,0.78931,1.51543,0.127858,6.06502e-6,0.00405866,0.000670913,0.000670975
32768,2048,0.415347,0.673107,1.48186,0.126301,4.88991e-6,0.00212532,0.00067292,0.000672997
32768,4096,0.417707,0.622445,1.4917,0.126496,5.29785e-6,0.00119657,0.000751031,0.000751267
32768,8192,0.419363,0.592082,1.4972,0.124711,5.0942e-6,0.000732324,0.000493715,0.000695958
65536,1024,0.227271,0.751293,0.81143,0.123778,3.0197e-6,0.00397107,0.000172934,0.000172944
65536,2048,0.221519,0.633502,0.790524,0.122846,2.21736e-6,0.0020213,0.000170974,0.000171006
65536,4096,0.224885,0.575388,0.80304,0.124232,2.27212e-6,0.00104839,0.000179972,0.000179993
65536,8192,0.22351,0.547343,0.794937,0.123214,3.92269e-6,0.000573598,0.000188768,0.000188791
65536,16384,0.239737,0.53845,0.855157,0.124528,3.00891e-6,0.000365809,0.000241724,0.000243685
131072,2048,0.19458,0.624598,0.694517,0.135111,2.34416e-6,0.00198449,6.80658e-5,6.80696e-5
131072,4096,0.196703,0.566736,0.702048,0.136275,1.68498e-6,0.00100914,8.59841e-5,8.59993e-5
131072,8192,0.202288,0.538424,0.720309,0.138093,2.26362e-6,0.000524619,0.0001002,0.000100206
131072,16384,0.195325,0.524351,0.696947,0.143498,1.56614e-6,0.000287677,0.000103707,0.000103872
131072,32768,0.191599,0.518711,0.684528,0.146899,2.18048e-6,0.000181185,0.000114366,0.000115367
262144,4096,0.180403,0.562451,0.643561,0.136466,2.03174e-6,0.000992255,3.60206e-5,3.60255e-5
262144,8192,0.181178,0.533354,0.64622,0.137771,1.75704e-6,0.000504642,4.2424e-5,4.24347e-5
262144,16384,0.177746,0.518505,0.63471,0.140684,1.38736e-6,0.000261174,3.98582e-5,3.98624e-5
262144,32768,0.17589,0.512021,0.627371,0.144508,2.3473e-6,0.000144489,4.82716e-5,4.87643e-5
262144,65536,0.17262,0.509637,0.616301,0.14838,2.59639e-6,9.06661e-5,6.06755e-5,6.13269e-5
524288,8192,0.17252,0.5309,0.616002,0.136909,1.74937e-6,0.000495911,1.09642e-5,1.09658e-5
524288,16384,0.170338,0.516089,0.608373,0.139207,1.73055e-6,0.000251803,1.13208e-5,1.13229e-5
524288,32768,0.168776,0.508744,0.60194,0.142168,2.25508e-6,0.00013043,1.19636e-5,1.19646e-5
524288,65536,0.164702,0.505146,0.58721,0.145394,2.09468e-6,7.02286e-5,1.26357e-5,1.26447e-5
524288,131072,0.161787,0.503665,0.576969,0.147662,2.36921e-6,4.28404e-5,1.53014e-5,1.53086e-5
