Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.328843,0.463024,1.17433,0.09872,6.27894e-6,0.015625,0.000193407,0.000193474
16384,512,0.179461,0.237943,0.64111,0.0385612,2.76735e-6,0.0078125,0.000222439,0.000222652
16384,1024,0.136729,0.125293,0.487872,0.0211117,2.81079e-6,0.00390625,0.000233331,0.000234684
16384,2048,0.111002,0.0691916,0.396209,0.0175744,2.30547e-6,0.00195312,0.000244203,0.000245402
16384,4096,0.108073,0.040928,0.385504,0.00927719,2.33228e-6,0.000976562,0.000244762,0.000246581
32768,512,0.177041,0.23102,0.631395,0.0475228,3.32961e-6,0.0078125,8.63849e-5,8.64268e-5
32768,1024,0.0895012,0.118948,0.319813,0.0191105,1.44446e-6,0.00390625,0.00011044,0.00011051
32768,2048,0.0624955,0.0629377,0.223801,0.00845617,9.37978e-7,0.00195312,0.000121133,0.000122751
32768,4096,0.0585266,0.0346216,0.208394,0.00808948,1.48173e-6,0.000976562,0.000122457,0.000122921
32768,8192,0.0538251,0.0204578,0.191967,0.00479494,1.25377e-6,0.000488281,0.000122085,0.000122696
65536,1024,0.0992767,0.114795,0.35461,0.0297197,2.10555e-6,0.00390625,2.90514e-5,2.90745e-5
65536,2048,0.0485534,0.0594349,0.173,0.0107353,1.16594e-6,0.00195312,5.39678e-5,5.40277e-5
65536,4096,0.0343659,0.0313474,0.122994,0.00521932,4.37683e-7,0.000976562,5.79423e-5,5.8376e-5
65536,8192,0.0294302,0.0173205,0.105272,0.0048711,5.40109e-7,0.000488281,6.10437e-5,6.12153e-5
65536,16384,0.0261648,0.0102636,0.0928169,0.00171513,8.56933e-7,0.000244141,6.10742e-5,6.16367e-5
131072,2048,0.050589,0.0574459,0.181015,0.0141731,8.9405e-7,0.00195312,1.51872e-5,1.51968e-5
131072,4096,0.0255722,0.0296007,0.0910886,0.00537489,5.5305e-7,0.000976562,2.434e-5,2.43591e-5
131072,8192,0.0173494,0.0156979,0.0617503,0.00287669,4.09666e-7,0.000488281,2.9089e-5,2.92922e-5
131072,16384,0.0146747,0.0086711,0.052416,0.0017832,2.85353e-7,0.000244141,3.05246e-5,3.05835e-5
