Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.241615,0.660818,0.861752,0.00911717,1.92312e-6,0.0158796,0.000489372,0.000489801
16384,512,0.21934,0.353919,0.781911,0.00665559,2.10861e-6,0.00808721,0.0004835,0.000490896
16384,1024,0.212968,0.199905,0.760064,0.00843936,1.73234e-6,0.00420535,0.00046659,0.000492665
16384,2048,0.219585,0.123681,0.782637,0.00632388,2.77629e-6,0.00222776,0.000363217,0.000505412
16384,4096,0.249466,0.0900843,0.886912,0.00404,2.10277e-6,0.0012264,0.000274126,0.000575975
32768,512,0.123746,0.331225,0.441956,0.00430676,1.65589e-6,0.00797275,0.000242877,0.000243062
32768,1024,0.109723,0.177234,0.39089,0.00324365,1.01413e-6,0.00404668,0.000239791,0.000245054
32768,2048,0.107787,0.0997162,0.384284,0.00384675,8.14189e-7,0.00209687,0.000227267,0.000245022
32768,4096,0.120222,0.0639644,0.429379,0.00195544,1.01435e-6,0.00110032,0.000137992,0.000279243
32768,8192,0.120087,0.0443982,0.428976,0.00298805,9.82099e-7,0.000624362,0.000162811,0.000276724
65536,1024,0.0616408,0.165419,0.220449,0.0017816,4.58133e-7,0.00398842,0.000120147,0.000120192
65536,2048,0.0575445,0.0887293,0.20494,0.00165667,6.66458e-7,0.00203799,0.000120045,0.000121985
65536,4096,0.0531606,0.0501627,0.188893,0.00151324,6.24879e-7,0.0010478,0.000109825,0.000123471
65536,8192,0.0654761,0.0325422,0.233041,0.000860882,4.38944e-7,0.000549247,6.28557e-5,0.000146166
65536,16384,0.067366,0.0232139,0.240631,0.000974371,3.0786e-7,0.000305004,6.11254e-5,0.000152074
131072,2048,0.0315023,0.082874,0.1117,0.00105041,2.82133e-7,0.00199659,6.07028e-5,6.07384e-5
131072,4096,0.0277988,0.0442703,0.098857,0.000966783,1.84305e-7,0.00101698,6.07088e-5,6.08926e-5
131072,8192,0.0266735,0.0250935,0.0946017,0.000869112,3.55765e-7,0.000524008,5.46869e-5,6.15705e-5
131072,16384,0.033242,0.0163559,0.118568,0.000446338,2.89117e-7,0.000274659,3.12144e-5,7.4158e-5
131072,32768,0.0301133,0.0111152,0.107491,0.000799694,3.22257e-7,0.000156259,4.29818e-5,6.91403e-5
262144,4096,0.0159226,0.0413566,0.0565838,0.000441953,3.47791e-7,0.000996646,3.00776e-5,3.00905e-5
