Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.543368,1.16367,2.14522,0.0735933,1.41639e-9,0.0158717,1.35528e-5,1.35623e-5
16384,512,0.490861,0.715826,1.93681,0.0691915,3.93872e-9,0.00806638,1.95328e-5,1.97218e-5
16384,1024,0.435962,0.493499,1.72622,0.0677561,2.73576e-9,0.00416586,3.78566e-5,4.41117e-5
16384,2048,0.443102,0.379973,1.7434,0.0664544,4.36557e-9,0.00223818,3.64399e-7,3.87585e-7
16384,4096,0.411116,0.326865,1.6227,0.0651283,5.51033e-9,0.00129325,1.45868e-5,1.4709e-5
32768,512,0.389592,0.707876,1.53537,0.0642015,1.14475e-9,0.00793501,2.11158e-7,1.11799e-6
32768,1024,0.383364,0.482786,1.51817,0.0641388,1.08654e-9,0.00402946,2.01728e-7,2.36129e-7
32768,2048,0.394946,0.370295,1.5619,0.0645903,5.04466e-10,0.00207576,9.1192e-10,6.8297e-9
32768,4096,0.38148,0.314149,1.50583,0.0636314,6.8297e-9,0.00110322,9.1192e-10,7.81923e-9
32768,8192,0.388846,0.287491,1.53059,0.0639817,4.36557e-9,0.00063806,1.38379e-7,1.12139e-6
65536,1024,0.269806,0.478479,1.06092,0.0631404,7.95505e-10,0.00396729,5.62674e-10,5.49092e-9
65536,2048,0.273674,0.366211,1.08055,0.0638666,1.95966e-9,0.00201417,5.62674e-10,4.90885e-9
65536,4096,0.270984,0.310053,1.05922,0.06365,8.92517e-10,0.00103764,4.85064e-10,4.71482e-9
65536,8192,0.250761,0.281975,0.989863,0.063788,2.36711e-9,0.00054952,5.62674e-10,5.12227e-9
65536,16384,0.253435,0.269777,0.999505,0.0636283,1.24176e-9,0.000339674,6.40284e-10,6.03419e-9
131072,2048,0.237403,0.363948,0.936941,0.0636855,8.3431e-10,0.00198365,5.37063e-8,2.82152e-7
131072,4096,0.2282,0.308012,0.898625,0.0628708,2.09548e-9,0.00100708,4.01827e-8,2.13021e-7
131072,8192,0.220966,0.280067,0.875193,0.0628539,1.57161e-9,0.000518839,4.66243e-8,2.68396e-7
131072,16384,0.228923,0.266204,0.897425,0.0633643,9.8953e-10,0.00027649,6.94029e-8,4.03185e-7
131072,32768,0.209902,0.259389,0.828305,0.0630552,1.24176e-9,0.000157839,5.95775e-7,6.0179e-7
262144,4096,0.218165,0.306968,0.861215,0.0630515,7.567e-10,0.000991821,2.72218e-8,1.44239e-7
262144,8192,0.214917,0.279081,0.851217,0.0627256,1.26117e-9,0.00050354,2.79979e-8,1.62322e-7
262144,16384,0.214534,0.26513,0.84847,0.0632718,1.70742e-9,0.000259399,2.33413e-8,1.28173e-7
262144,32768,0.206971,0.258192,0.817098,0.0632704,5.27749e-9,0.000137353,1.02036e-6,1.15791e-6
262144,65536,0.201534,0.254557,0.795569,0.0628525,7.37297e-10,7.70552e-5,1.86323e-7,3.20608e-7
524288,8192,0.212707,0.278597,0.839647,0.0627014,2.59994e-9,0.000495911,4.25498e-8,2.25943e-7
524288,16384,0.209414,0.264654,0.829283,0.0631028,1.494e-9,0.00025177,2.79785e-8,1.62768e-7
524288,32768,0.21065,0.257797,0.828352,0.0629726,3.39545e-9,0.0001297,1.93909e-6,2.15498e-6
524288,65536,0.202583,0.254013,0.799793,0.0626752,2.40592e-9,6.86646e-5,4.85064e-10,1.95966e-9
524288,131072,0.204357,0.252605,0.788682,0.0626711,4.32677e-9,3.81941e-5,2.82992e-6,5.53301e-6
1048576,16384,0.210486,0.26442,0.830674,0.0627272,6.94029e-8,0.000247955,2.32055e-8,1.26893e-7
1048576,32768,0.226886,0.258033,0.88238,0.0632925,1.56191e-8,0.000125885,9.14817e-6,1.06998e-5
1048576,65536,0.195144,0.253928,0.772674,0.0626168,2.94919e-8,6.48505e-5,1.81748e-6,2.4142e-6
1048576,131072,0.190364,0.25239,0.751028,0.062589,4.5565e-7,3.43346e-5,3.02845e-6,5.98817e-6
1048576,262144,0.191679,0.251668,0.75476,0.0625745,2.22858e-7,1.91001e-5,2.69292e-6,8.2669e-6
2097152,32768,0.204794,0.257358,0.80816,0.0630066,3.08772e-7,0.000123977,4.49771e-7,6.18127e-7
2097152,65536,0.196,0.253709,0.77617,0.0626929,6.0633e-8,6.29424e-5,6.5406e-7,8.32059e-7
2097152,131072,0.189804,0.251899,0.751644,0.0625637,6.09822e-8,3.2425e-5,1.92473e-8,4.20065e-8
2097152,262144,0.186166,0.251037,0.734788,0.0625435,1.49671e-7,1.71664e-5,7.75908e-8,2.50681e-7
2097152,524288,0.184051,0.250631,0.726428,0.0625302,7.00626e-8,9.53701e-6,1.39136e-7,6.16807e-7
4194304,65536,0.194936,0.25361,0.769303,0.0626808,1.62613e-7,6.19887e-5,3.12653e-7,3.93755e-7
4194304,131072,0.189106,0.251831,0.748864,0.0625532,1.14766e-7,3.14713e-5,3.88051e-11,1.18356e-9
4194304,262144,0.186939,0.25096,0.740283,0.062543,1.32539e-7,1.62125e-5,5.82077e-11,1.33878e-9
4194304,524288,0.185503,0.250516,0.732089,0.0625286,2.27573e-7,8.58307e-6,1.16415e-10,1.37758e-9
4194304,1048576,0.186609,0.251071,0.725801,0.0625514,1.9517e-7,4.76839e-6,3.45624e-6,1.1649e-5
8388608,131072,0.253498,0.25959,0.994923,0.0628771,5.00291e-6,3.09944e-5,2.61355e-5,0.000109756
8388608,262144,0.239817,0.2578,0.949392,0.0626763,3.22835e-6,1.57356e-5,1.37192e-5,8.21974e-5
8388608,524288,0.233776,0.256563,0.925254,0.0626547,6.60111e-5,8.10623e-6,6.27087e-6,5.48818e-5
8388608,1048576,0.230243,0.257094,0.897821,0.0627149,0.000200327,4.29152e-6,3.81419e-6,4.58448e-5
8388608,2097152,0.194976,0.254722,0.748177,0.0626951,0.000265859,2.38417e-6,1.9071e-6,2.56236e-5
16777216,262144,0.408101,0.259671,1.5881,0.0626935,3.01629e-5,1.54972e-5,1.42713e-5,9.70251e-5
16777216,524288,0.397237,0.25947,1.56685,0.0626744,0.000705368,7.86781e-6,7.58919e-6,7.38437e-5
16777216,1048576,0.259672,0.257805,1.02628,0.0626958,0.00711463,4.05312e-6,3.81423e-6,4.7363e-5
16777216,2097152,0.209303,0.255553,0.824218,0.0627067,0.0110206,2.14577e-6,1.90706e-6,2.71445e-5
16777216,4194304,0.208614,0.254681,0.814305,0.0626698,0.0120261,1.19209e-6,9.535e-7,1.5989e-5
33554432,524288,0.363155,0.252602,1.4301,0.0626993,0.00896135,7.7486e-6,1.58901e-6,1.59432e-5
33554432,1048576,0.346432,0.257913,1.36625,0.0626929,0.021065,3.93391e-6,3.79427e-6,4.64961e-5
33554432,2097152,0.277802,0.255863,1.0973,0.0627121,0.0343655,2.02656e-6,1.90688e-6,2.76167e-5
33554432,4194304,0.282744,0.255666,1.11692,0.0626714,0.0357118,1.07288e-6,9.535e-7,1.68638e-5
33554432,8388608,0.280771,0.25485,1.10515,0.062656,0.0369062,5.96046e-7,4.76643e-7,9.63434e-6
67108864,1048576,0.360891,0.258887,1.4212,0.0626959,0.0255748,3.87428e-6,3.77417e-6,4.80253e-5
67108864,2097152,0.32489,0.256398,1.28407,0.0627125,0.0475153,1.96693e-6,1.90494e-6,2.84469e-5
67108864,4194304,0.327656,0.255944,1.29486,0.0626707,0.0486512,1.01326e-6,9.52607e-7,1.70717e-5
67108864,8388608,0.328669,0.255579,1.29909,0.0626594,0.0494344,5.36422e-7,4.76333e-7,9.94557e-6
67108864,16777216,0.326854,0.254965,1.28287,0.0626456,0.050171,2.98004e-7,2.38166e-7,5.60544e-6
134217728,2097152,0.351183,0.256683,1.38463,0.0627044,0.054301,1.93713e-6,1.90644e-6,2.88566e-5
134217728,4194304,0.351099,0.25612,1.38426,0.0626651,0.0551008,9.83457e-7,9.53286e-7,1.72018e-5
134217728,8388608,0.350586,0.255819,1.38682,0.0626623,0.0556278,5.0662e-7,4.76663e-7,1.00365e-5
134217728,16777216,0.350088,0.255414,1.36587,0.0626483,0.0560744,2.68201e-7,2.38302e-7,5.70167e-6
134217728,33554432,0.349442,0.25513,1.37802,0.0626389,0.0564775,1.48992e-7,1.19132e-7,3.19847e-6
268435456,4194304,0.360272,0.256043,1.40688,0.0626672,0.0582474,9.68556e-7,9.53228e-7,1.71138e-5
268435456,8388608,0.360399,0.255726,1.41848,0.0626552,0.0587166,4.91719e-7,4.76643e-7,9.98698e-6
268435456,16777216,0.359991,0.255437,1.39711,0.0626431,0.0590623,2.533e-7,2.38322e-7,5.69915e-6
268435456,33554432,0.359422,0.255379,1.42038,0.0626404,0.0592083,1.34091e-7,1.1917e-7,3.22073e-6
268435456,67108864,0.360154,0.255129,1.41922,0.0626349,0.0595409,7.44864e-8,5.96046e-8,1.78511e-6
