Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.543642,1.13351,2.14647,0.0722716,6.98492e-10,0.0158922,0.000543231,0.000543239
16384,512,0.491134,0.718458,1.93802,0.0679733,4.94765e-9,0.00808877,0.000575841,0.000575848
16384,1024,0.436239,0.508258,1.72746,0.0673069,5.54913e-9,0.00419119,0.000541276,0.000541285
16384,2048,0.443375,0.432939,1.74461,0.0657071,4.88944e-9,0.00237083,0.000892072,0.000897586
16384,4096,0.411416,0.381879,1.62401,0.0650782,2.83277e-9,0.00143816,0.000826804,0.000870215
32768,512,0.389866,0.700073,1.53657,0.0637267,2.11488e-9,0.00794295,0.00042348,0.000423487
32768,1024,0.38364,0.495139,1.51937,0.0637634,2.32831e-9,0.00405102,0.000464565,0.000464571
32768,2048,0.395219,0.40944,1.56309,0.0644942,7.17894e-10,0.00213697,0.00072479,0.000725135
32768,4096,0.381756,0.36149,1.507,0.0635686,5.3551e-9,0.00120464,0.000732603,0.00074956
32768,8192,0.389123,0.33448,1.53176,0.0639911,4.13274e-9,0.000730712,0.000501271,0.000701759
65536,1024,0.270082,0.47112,1.06213,0.0627239,1.37758e-9,0.00396976,0.000142904,0.000142908
65536,2048,0.273945,0.367463,1.08174,0.0633993,2.38651e-9,0.00201912,0.00015227,0.000152274
65536,4096,0.271257,0.315861,1.0604,0.0632763,8.3431e-10,0.00104788,0.000156318,0.000156322
65536,8192,0.251032,0.291109,0.991043,0.0636037,2.2507e-9,0.000569933,0.000168466,0.00016847
65536,16384,0.253712,0.284785,1.00071,0.0635968,2.69695e-9,0.000366072,0.000241458,0.000241463
131072,2048,0.237678,0.359353,0.938161,0.0632775,2.63875e-9,0.00198371,4.44861e-5,4.44897e-5
131072,4096,0.228474,0.306914,0.899825,0.0626119,2.07607e-9,0.00100709,4.43003e-5,4.43039e-5
131072,8192,0.221248,0.280749,0.876418,0.0626851,1.31937e-9,0.000519019,4.49476e-5,4.49509e-5
131072,16384,0.229197,0.268203,0.89863,0.063153,1.31937e-9,0.000280696,4.91332e-5,4.91368e-5
131072,32768,0.210177,0.262935,0.829507,0.0629773,2.79397e-9,0.000167086,6.24911e-5,6.25087e-5
262144,4096,0.218439,0.304592,0.862427,0.0627775,1.31937e-9,0.000991821,1.81123e-5,1.81155e-5
262144,8192,0.215192,0.278306,0.852411,0.0625399,8.92517e-10,0.00050354,1.81578e-5,1.8161e-5
262144,16384,0.21481,0.2652,0.849689,0.0630193,1.04774e-9,0.0002594,1.88899e-5,1.88931e-5
262144,32768,0.207244,0.258968,0.818295,0.0630903,9.8953e-10,0.000138069,2.38069e-5,2.38459e-5
262144,65536,0.201808,0.260535,0.796752,0.0627975,6.79089e-10,9.09507e-5,5.92695e-5,8.6119e-5
524288,8192,0.212982,0.277309,0.840856,0.0625124,1.64922e-9,0.000495911,8.29822e-6,8.3009e-6
524288,16384,0.209688,0.264153,0.830477,0.0628238,4.92825e-9,0.00025177,8.48227e-6,8.48491e-6
