Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.315906,0.474215,1.34103,0.0371395,8.3431e-10,0.015625,0.000103077,0.000103093
16384,512,0.200395,0.245914,0.85067,0.0237809,1.5328e-9,0.0078125,0.000217549,0.000217557
16384,1024,0.146096,0.134084,0.619025,0.014142,8.14907e-10,0.00390625,0.000317461,0.000318637
16384,2048,0.146159,0.0731313,0.618963,0.0104046,6.59687e-10,0.00195312,0.000256482,0.000273224
16384,4096,0.108766,0.0449619,0.458605,0.0039274,7.567e-10,0.000976562,0.000261083,0.000293711
32768,512,0.142761,0.237035,0.605829,0.0171379,1.16415e-9,0.0078125,5.00669e-5,5.00718e-5
32768,1024,0.103665,0.122615,0.436294,0.013087,9.70128e-10,0.00390625,0.000102318,0.000102357
32768,2048,0.08397,0.0663818,0.356439,0.0085616,1.5522e-10,0.00195312,0.000145697,0.000146819
32768,4096,0.075119,0.0390369,0.318634,0.00424818,3.88051e-10,0.000976562,0.000168536,0.000182816
32768,8192,0.0742478,0.0252205,0.315203,0.00288006,9.70128e-11,0.000488281,0.000132787,0.00019581
65536,1024,0.0744835,0.118396,0.31617,0.0088001,4.85064e-10,0.00390625,2.27435e-5,2.27472e-5
65536,2048,0.0556662,0.0615062,0.227448,0.00600526,4.85064e-10,0.00195312,5.48126e-5,5.48311e-5
65536,4096,0.0309076,0.0330176,0.131193,0.00306713,2.91038e-10,0.000976562,7.00327e-5,7.01736e-5
65536,8192,0.0388046,0.0194074,0.158203,0.00248181,2.52233e-10,0.000488281,8.26375e-5,8.92654e-5
65536,16384,0.0292927,0.0117719,0.124339,0.00102752,1.35818e-10,0.000244141,6.38596e-5,8.27712e-5
131072,2048,0.0361008,0.0591907,0.153152,0.00424355,2.91038e-10,0.00195312,1.12106e-5,1.12123e-5
131072,4096,0.0285485,0.0310651,0.121196,0.00338603,3.88051e-11,0.000976562,3.32729e-5,3.32845e-5
131072,8192,0.0206846,0.0166882,0.0878103,0.00218515,7.76102e-11,0.000488281,3.80129e-5,3.84243e-5
131072,16384,0.0180174,0.00988571,0.076437,0.000773791,3.10441e-10,0.000244141,3.65381e-5,4.76404e-5
