Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.316218,0.466425,1.3423,0.0387623,6.59687e-10,0.015625,0.000250202,0.000250211
16384,512,0.200652,0.244245,0.851753,0.0240133,1.94026e-10,0.0078125,0.000332614,0.000332893
16384,1024,0.146376,0.131181,0.620202,0.0143158,7.17894e-10,0.00390625,0.000335847,0.000336951
16384,2048,0.146441,0.0758419,0.620102,0.0103873,4.46259e-10,0.00195312,0.000332794,0.000360027
16384,4096,0.109018,0.0440528,0.459664,0.00392095,5.04466e-10,0.000976562,0.000260366,0.000294345
32768,512,0.143033,0.231142,0.606969,0.0177093,5.04466e-10,0.0078125,8.56531e-5,8.56577e-5
32768,1024,0.103968,0.121224,0.437584,0.0131609,9.50725e-10,0.00390625,0.000148133,0.000149081
32768,2048,0.0842632,0.0665574,0.35769,0.00848442,2.32831e-10,0.00195312,0.000184512,0.000186289
32768,4096,0.0753744,0.0379956,0.31972,0.00426475,4.07454e-10,0.000976562,0.000166242,0.000180996
32768,8192,0.0745242,0.0246505,0.316394,0.00285333,2.52233e-10,0.000488281,0.000131486,0.000193696
65536,1024,0.0747766,0.115354,0.317431,0.00917818,2.71636e-10,0.00390625,3.83829e-5,3.8386e-5
65536,2048,0.0559299,0.061032,0.228566,0.00603923,4.07454e-10,0.00195312,8.17628e-5,8.21261e-5
65536,4096,0.0312172,0.0322008,0.132512,0.00307738,1.74623e-10,0.000976562,7.23648e-5,7.2498e-5
65536,8192,0.0390674,0.0189136,0.159323,0.00248544,2.13428e-10,0.000488281,8.18791e-5,8.85697e-5
65536,16384,0.0295772,0.0115564,0.12555,0.0010368,9.70128e-11,0.000244141,6.38563e-5,8.26823e-5
131072,2048,0.0363986,0.058129,0.154413,0.00438363,1.94026e-10,0.00195312,2.73625e-5,2.73647e-5
131072,4096,0.0288355,0.0308913,0.122415,0.00339828,1.74623e-10,0.000976562,4.76652e-5,4.77826e-5
131072,8192,0.0209244,0.0165435,0.0888253,0.0021759,1.35818e-10,0.000488281,4.39203e-5,4.43719e-5
131072,16384,0.018309,0.00968399,0.0776726,0.000786088,2.13428e-10,0.000244141,3.67197e-5,4.77931e-5
131072,32768,0.0111751,0.00525112,0.0474102,0.000348615,1.74623e-10,0.00012207,3.11342e-5,3.15495e-5
262144,4096,0.0180537,0.0290508,0.0766347,0.00218945,1.16415e-10,0.000976562,1.32141e-5,1.32156e-5
262144,8192,0.0124151,0.0151931,0.0526997,0.00151422,1.74623e-10,0.000488281,1.88997e-5,1.89179e-5
262144,16384,0.00950411,0.00823083,0.0403375,0.00093409,5.82077e-11,0.000244141,2.10521e-5,2.11407e-5
262144,32768,0.00845488,0.00471925,0.0358973,0.000389841,1.94026e-10,0.00012207,1.95823e-5,2.1572e-5
262144,65536,0.00717962,0.00286629,0.0304767,0.000190341,5.82077e-11,6.10352e-5,1.59694e-5,1.9895e-5
524288,8192,0.00935594,0.0145062,0.0397099,0.00116473,3.88051e-11,0.000488281,5.80183e-6,5.8035e-6
524288,16384,0.00784495,0.0078049,0.0332973,0.000958394,3.68649e-10,0.000244141,1.2933e-5,1.29677e-5
524288,32768,0.00486741,0.00410436,0.0206603,0.00045767,5.82077e-11,0.00012207,9.90182e-6,9.94004e-6
524288,65536,0.00458322,0.0024,0.0194447,0.000203889,1.35818e-10,6.10352e-5,9.99796e-6,1.11159e-5
524288,131072,0.0035076,0.00140541,0.0148462,9.45112e-5,1.5522e-10,3.05176e-5,8.00218e-6,8.86369e-6
1048576,16384,0.00495462,0.00727528,0.0210376,0.000574787,7.76102e-11,0.000244141,2.78952e-6,2.79121e-6
