Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.210165,0.576395,0.89201,0.00218243,1.86265e-9,0.0158913,0.000489846,0.000490166
16384,512,0.19105,0.308086,0.807376,0.00213555,9.8953e-10,0.0080975,0.000475682,0.000490192
16384,1024,0.202436,0.176945,0.852935,0.00180811,3.8223e-9,0.00414446,0.00027244,0.000527747
16384,2048,0.205615,0.11001,0.862966,0.00322303,1.74623e-9,0.0022042,0.000307915,0.00055178
16384,4096,0.165831,0.0743695,0.683392,0.00196593,1.494e-9,0.00132694,0.000471554,0.000496404
32768,512,0.10644,0.288427,0.451686,0.00123758,1.33878e-9,0.00795981,0.000243829,0.00024388
32768,1024,0.096553,0.154147,0.40978,0.00248139,1.18356e-9,0.00404345,0.000232296,0.000239509
32768,2048,0.0908188,0.0872818,0.385395,0.00103579,9.31323e-10,0.00207844,0.00016338,0.000245044
32768,4096,0.0887609,0.0531629,0.376708,0.00100164,1.35818e-9,0.0011189,0.000198292,0.000245016
32768,8192,0.104883,0.0386237,0.445205,0.00130371,5.43272e-10,0.000617509,0.000139901,0.000283631
65536,1024,0.0529454,0.144608,0.224732,0.00054491,6.79089e-10,0.00398576,0.000122145,0.000122171
65536,2048,0.0475427,0.0772689,0.201742,0.00052184,6.20882e-10,0.00203333,0.000120419,0.00012219
65536,4096,0.0462551,0.0437678,0.196359,0.000580834,2.32831e-10,0.00103928,7.82695e-5,0.000124285
65536,8192,0.0443616,0.0266696,0.188215,0.000551146,2.71636e-10,0.000559438,0.000100052,0.000123923
65536,16384,0.046978,0.01853,0.199424,0.000492827,1.74623e-10,0.000311414,7.77805e-5,0.000129967
131072,2048,0.0260882,0.072365,0.110735,0.000270735,3.88051e-10,0.00199318,6.10487e-5,6.10535e-5
131072,4096,0.0240027,0.038658,0.101898,0.000271942,1.5522e-10,0.00101582,6.07942e-5,6.10055e-5
131072,8192,0.0234298,0.0218752,0.0994594,0.000451461,1.74623e-10,0.000523156,4.7422e-5,6.16283e-5
131072,16384,0.0274134,0.0142043,0.116333,0.000184076,1.16415e-10,0.000274652,3.06779e-5,7.50281e-5
131072,32768,0.024082,0.00935792,0.102155,0.000279755,8.14907e-10,0.000156113,3.83461e-5,6.59822e-5
262144,4096,0.0131068,0.0362018,0.0555979,0.000138339,1.5522e-10,0.000997758,3.04653e-5,3.05249e-5
262144,8192,0.0113247,0.0191578,0.0480604,0.000173698,2.91038e-10,0.000504351,2.66164e-5,2.83458e-5
262144,16384,0.01147,0.0108849,0.0486938,0.000133936,1.35818e-10,0.000262219,2.54549e-5,3.05878e-5
262144,32768,0.0122434,0.00683175,0.0519235,0.000126972,1.74623e-10,0.000139668,2.14552e-5,3.29723e-5
262144,65536,0.0142644,0.00504866,0.0605553,0.000139565,2.13428e-10,7.63143e-5,1.53661e-5,3.85879e-5
524288,8192,0.00616888,0.0179879,0.0261797,9.20189e-5,1.5522e-10,0.000496538,1.40444e-5,1.40476e-5
524288,16384,0.00608808,0.00968124,0.0258476,6.30692e-5,9.70128e-11,0.000254323,1.5154e-5,1.52586e-5
524288,32768,0.005769,0.00544956,0.0244744,6.22824e-5,1.5522e-10,0.000132022,1.50984e-5,1.51691e-5
524288,65536,0.00671871,0.00354338,0.0285203,4.79371e-5,5.82077e-11,6.87318e-5,7.76665e-6,1.78967e-5
524288,131072,0.00563352,0.00229783,0.0238932,6.31286e-5,4.85064e-10,3.87551e-5,1.06076e-5,1.58746e-5
1048576,16384,0.00321254,0.00903643,0.0136169,5.21165e-5,7.76102e-11,0.000248625,7.55923e-6,7.5622e-6
1048576,32768,0.00312275,0.00486146,0.01325,8.74825e-5,2.52233e-10,0.000126705,7.47126e-6,7.59488e-6
1048576,65536,0.00294827,0.00272612,0.0125034,4.39598e-5,9.70128e-11,6.57259e-5,7.03925e-6,7.62392e-6
1048576,131072,0.00351672,0.00178977,0.0149297,2.42168e-5,2.13428e-10,3.43661e-5,3.89656e-6,9.15876e-6
1048576,262144,0.00351545,0.00126794,0.0148592,2.28895e-5,1.74623e-10,1.90729e-5,3.81503e-6,9.694e-6
2097152,32768,0.00169896,0.00453292,0.00720453,2.63478e-5,7.76102e-11,0.00012457,3.81254e-6,3.81441e-6
2097152,65536,0.00159148,0.00242984,0.00674485,1.88911e-5,9.70128e-11,6.30904e-5,2.91805e-6,3.72579e-6
2097152,131072,0.0015034,0.0013696,0.00637822,1.59061e-5,1.94026e-11,3.29369e-5,3.80645e-6,3.81528e-6
2097152,262144,0.00141626,0.00084281,0.00598867,1.62354e-5,3.88051e-11,1.77728e-5,3.57426e-6,3.81029e-6
2097152,524288,0.00142807,0.000575142,0.00603146,1.53461e-5,1.35818e-10,9.75859e-6,3.39735e-6,3.93975e-6
4194304,65536,0.000946011,0.00227953,0.00400692,1.34342e-5,5.82077e-11,6.23311e-5,1.85032e-6,1.85211e-6
