Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.210471,0.595266,0.893323,0.00218245,9.8953e-10,0.0158913,0.000489875,0.000490192
16384,512,0.191319,0.319185,0.808522,0.00213556,3.10441e-10,0.0080975,0.000475691,0.000490198
16384,1024,0.202717,0.187767,0.854138,0.0012892,2.01787e-9,0.00414447,0.00031061,0.00057421
16384,2048,0.205875,0.117492,0.864076,0.00283198,2.89098e-9,0.00220458,0.000317282,0.000572369
16384,4096,0.165831,0.0787778,0.683386,0.00196593,9.50725e-10,0.00132719,0.000471775,0.000497041
32768,512,0.106714,0.297916,0.452857,0.00120388,9.1192e-10,0.00795991,0.000244277,0.000244301
32768,1024,0.0968259,0.160192,0.410941,0.00220279,9.8953e-10,0.00404351,0.000240686,0.000247901
32768,2048,0.0910938,0.092171,0.386562,0.000721518,4.46259e-10,0.00207845,0.000181307,0.000263619
32768,4096,0.0890371,0.0558797,0.377884,0.00100164,1.00893e-9,0.0011189,0.00019832,0.000245042
32768,8192,0.105156,0.0415396,0.446375,0.00127225,3.68649e-10,0.000617554,0.000140986,0.000287432
65536,1024,0.0532198,0.149361,0.225897,0.000544911,3.68649e-10,0.00398577,0.000122163,0.000122188
65536,2048,0.0478181,0.0800716,0.202913,0.00052184,4.07454e-10,0.00203333,0.000120422,0.000122192
65536,4096,0.046529,0.0460314,0.197531,0.000446158,5.82077e-11,0.00103928,8.35508e-5,0.000129977
65536,8192,0.0446347,0.0280522,0.189372,0.000519545,6.40284e-10,0.000559463,0.000100213,0.00012394
65536,16384,0.0472541,0.0198842,0.200603,0.000492822,3.49246e-10,0.00031143,7.80255e-5,0.000131652
131072,2048,0.0263637,0.0747578,0.111911,0.000270731,7.76102e-11,0.00199319,6.10579e-5,6.10614e-5
131072,4096,0.0242779,0.0400764,0.103068,0.00026504,1.5522e-10,0.00101583,6.08524e-5,6.10634e-5
131072,8192,0.0237069,0.0230214,0.100638,0.000379017,1.35818e-10,0.000523157,5.03396e-5,6.47245e-5
131072,16384,0.0276889,0.0152134,0.117506,0.000123158,1.5522e-10,0.000274653,3.08135e-5,7.71725e-5
131072,32768,0.024356,0.0100657,0.103318,0.000282508,2.32831e-10,0.000156119,3.85053e-5,6.68991e-5
262144,4096,0.0133804,0.0374153,0.0567595,0.000138334,5.04466e-10,0.000997758,3.04667e-5,3.05263e-5
262144,8192,0.0116009,0.0200541,0.0492298,0.000120822,2.32831e-10,0.000504351,2.96499e-5,3.13796e-5
262144,16384,0.0117478,0.0113742,0.0498718,0.000124943,1.16415e-10,0.000262219,2.54613e-5,3.05943e-5
262144,32768,0.0125207,0.00722546,0.0530998,0.000126968,1.5522e-10,0.000139669,2.14665e-5,3.29809e-5
262144,65536,0.0145403,0.005498,0.0617257,0.000115304,1.74623e-10,7.63145e-5,1.53787e-5,3.94021e-5
524288,8192,0.00644435,0.0186902,0.0273525,6.51872e-5,3.88051e-11,0.000496538,1.53704e-5,1.5374e-5
524288,16384,0.00636335,0.0100601,0.0270168,6.30643e-5,5.82077e-11,0.000254323,1.51574e-5,1.52621e-5
524288,32768,0.00604442,0.00571092,0.0256404,6.22762e-5,1.16415e-10,0.000132022,1.51922e-5,1.52631e-5
524288,65536,0.00699488,0.00384115,0.0296922,3.21161e-5,9.70128e-11,6.8732e-5,8.0994e-6,1.88595e-5
524288,131072,0.00590757,0.00247754,0.0250557,5.87465e-5,3.29843e-10,3.87557e-5,1.0611e-5,1.59123e-5
1048576,16384,0.00344895,0.00936369,0.0146169,4.1811e-5,3.88051e-11,0.000248625,7.63392e-6,7.63677e-6
1048576,32768,0.00340236,0.00507509,0.0144321,8.0681e-5,2.32831e-10,0.000126706,7.54668e-6,7.66061e-6
1048576,65536,0.00318407,0.00286727,0.0135021,4.8389e-5,3.88051e-11,6.57262e-5,7.05151e-6,7.63529e-6
1048576,131072,0.00378471,0.00195388,0.0160631,1.78037e-5,1.16415e-10,3.43665e-5,3.97671e-6,9.60093e-6
1048576,262144,0.00376896,0.00139166,0.0159275,1.5263e-5,2.71636e-10,1.90729e-5,3.81505e-6,9.75892e-6
2097152,32768,0.00199665,0.00471576,0.00846808,2.11425e-5,0,0.00012457,3.81468e-6,3.81672e-6
2097152,65536,0.00185268,0.00255629,0.00784979,1.39425e-5,5.82077e-11,6.30904e-5,3.04211e-6,3.85017e-6
2097152,131072,0.00181379,0.00146216,0.00769387,1.5902e-5,9.70128e-11,3.2937e-5,3.80756e-6,3.8164e-6
2097152,262144,0.00166016,0.000912963,0.00701525,1.5815e-5,5.82077e-11,1.77729e-5,3.58185e-6,3.81794e-6
2097152,524288,0.00166785,0.000639329,0.00704259,1.53407e-5,1.16415e-10,9.75914e-6,3.40592e-6,3.96148e-6
4194304,65536,0.00121402,0.00238901,0.00514014,1.14769e-5,0,6.23312e-5,1.91497e-6,1.91705e-6
4194304,131072,0.00113392,0.0013043,0.0048093,8.39027e-6,9.70128e-11,3.15136e-5,1.65465e-6,1.99406e-6
4194304,262144,0.00110074,0.00077596,0.00465586,4.65679e-6,9.70128e-11,1.62269e-5,1.17861e-6,2.21538e-6
4194304,524288,0.00124237,0.000523579,0.00526458,3.882e-6,3.88051e-11,8.58676e-6,9.71505e-7,2.39788e-6
4194304,1048576,0.00127196,0.000391011,0.00537973,3.86928e-6,9.70128e-11,4.76831e-6,9.53674e-7,2.61954e-6
8388608,131072,0.000705028,0.00120422,0.00298212,4.13375e-6,5.82077e-11,3.10217e-5,9.73756e-7,9.75657e-7
8388608,262144,0.000811025,0.000670414,0.00343384,7.73894e-6,9.70128e-11,1.57498e-5,9.50609e-7,9.54334e-7
8388608,524288,0.000788958,0.000411249,0.0033333,2.93e-6,5.82077e-11,8.11502e-6,5.84172e-7,1.04634e-6
8388608,1048576,0.000763849,0.000264302,0.00323281,3.81924e-6,1.74623e-10,4.32159e-6,9.50939e-7,9.55537e-7
8388608,2097152,0.000801278,0.000210125,0.00338563,3.90104e-6,7.76102e-11,2.51779e-6,8.15295e-7,1.05373e-6
16777216,262144,0.000605424,0.000625771,0.00255624,4.42184e-6,1.35818e-10,1.54986e-5,4.76274e-7,4.78118e-7
16777216,524288,0.000513474,0.000354628,0.00216763,1.75758e-6,1.94026e-11,7.87876e-6,4.22956e-7,5.07396e-7
16777216,1048576,0.000587292,0.000228733,0.00248258,1.41782e-6,1.16415e-10,4.06435e-6,3.52079e-7,5.19794e-7
16777216,2097152,0.000622802,0.000167892,0.00263777,1.00404e-6,9.70128e-11,2.14794e-6,2.50972e-7,6.01402e-7
16777216,4194304,0.000569397,0.000126993,0.00240068,9.68614e-7,7.76102e-11,1.19361e-6,2.42144e-7,6.26004e-7
33554432,524288,0.000506137,0.000335979,0.00214094,9.60485e-7,9.70128e-11,7.74864e-6,2.38205e-7,2.40184e-7
33554432,1048576,0.000523802,0.000208296,0.0022144,1.01578e-6,9.70128e-11,3.94322e-6,2.13021e-7,2.55473e-7
33554432,2097152,0.000430522,0.000126374,0.00180878,9.90074e-7,9.70128e-11,2.02656e-6,1.55803e-7,2.40262e-7
33554432,4194304,0.000428987,9.69211e-5,0.00180615,9.82041e-7,1.16415e-10,1.07447e-6,1.27785e-7,2.91388e-7
33554432,8388608,0.000405025,7.8144e-5,0.00170704,2.31222e-6,7.76102e-11,6.97987e-7,2.21946e-7,2.45442e-7
67108864,1048576,0.000459972,0.000191814,0.00194978,5.2872e-7,3.88051e-11,3.8743e-6,6.59881e-8,1.20975e-7
67108864,2097152,0.000449108,0.000124099,0.00190054,5.13935e-7,9.70128e-11,1.96695e-6,5.97599e-8,1.20664e-7
67108864,4194304,0.00048045,9.691e-5,0.00203078,3.12304e-7,5.82077e-11,1.01468e-6,7.7455e-8,1.37351e-7
67108864,8388608,0.000468371,7.72857e-5,0.00197786,4.75615e-7,2.13428e-10,5.40361e-7,1.08615e-7,1.21926e-7
67108864,16777216,0.000395699,6.15358e-5,0.00166965,2.40747e-7,5.82077e-11,2.98101e-7,5.97405e-8,1.53649e-7
134217728,2097152,0.000355997,0.00011123,0.00149698,4.63081e-7,1.94026e-11,1.93715e-6,5.56271e-8,6.10792e-8
134217728,4194304,0.000468684,9.07495e-5,0.00198063,2.8025e-7,1.94026e-11,9.83477e-7,2.98023e-8,6.17971e-8
134217728,8388608,0.000352049,6.08381e-5,0.00147919,3.08617e-7,9.70128e-11,5.07377e-7,3.345e-8,6.41448e-8
134217728,16777216,0.000359533,5.40993e-5,0.00151552,1.22799e-7,5.82077e-11,2.68318e-7,3.01904e-8,7.66013e-8
134217728,33554432,0.000436717,5.85433e-5,0.00183983,1.91309e-7,7.76102e-11,1.49012e-7,3.11411e-8,7.6058e-8
268435456,4194304,0.00043316,8.55872e-5,0.00183501,1.41619e-7,7.76102e-11,9.68575e-7,2.96859e-8,3.17232e-8
268435456,8388608,0.000444625,7.0416e-5,0.00187889,3.51419e-7,1.16415e-10,4.91738e-7,2.81725e-8,3.17814e-8
268435456,16777216,0.000446181,6.24968e-5,0.00187941,6.87627e-8,3.88051e-11,2.53533e-7,1.67056e-8,3.64574e-8
268435456,33554432,0.00034894,4.63121e-5,0.00146779,1.21518e-7,1.16415e-10,1.3411e-7,2.94725e-8,3.15291e-8
268435456,67108864,0.000413636,5.23753e-5,0.00174757,6.16031e-8,3.88051e-11,7.45058e-8,1.49012e-8,3.96394e-8
