Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.0300295,0.503906,0.136701,1.44631e-7,2.67173e-8
1,16384,0.0284247,0.501953,0.130613,5.16782e-7,4.26953e-8
1,32768,0.0278591,0.500977,0.128018,5.96367e-7,2.14772e-7
1,65536,0.0409755,0.500488,0.188288,1.47881e-5,1.45534e-7
1,131072,0.0413486,0.500244,0.189954,0.000152533,1.76733e-6
1,262144,0.0631193,0.500122,0.27775,0.0620362,1.72935e-7
1,524288,0.0759103,0.500061,0.317467,0.103174,8.16799e-8
1,1048576,0.0784264,0.500031,0.327286,0.113936,2.52767e-8
1,2097152,0.078723,0.500015,0.327975,0.113959,1.05717e-6
1,3145728,0.0789157,0.50001,0.327757,0.113983,2.87225e-6
1,4194304,0.0871849,0.500008,0.362271,0.114314,0.00422335
1,5242880,0.0806239,0.500006,0.334204,0.114054,0.000818525
1,6291456,0.0938337,0.500005,0.389338,0.114783,0.00615344
1,7340032,0.105544,0.500004,0.438231,0.115412,0.0110738
1,8388608,0.12768,0.500004,0.529321,0.116603,0.0211686
1,10485760,0.162722,0.500003,0.677204,0.11829,0.0371378
1,12582912,0.201469,0.500003,0.84077,0.12,0.0560558
1,16777216,0.243966,0.500002,1.01952,0.121593,0.0757349
1,33554432,0.298241,0.500001,1.24937,0.123574,0.102367
1,67108864,0.321568,0.500001,1.34866,0.124409,0.114976
1,134217728,0.331559,0.5,1.39029,0.124783,0.120803
2,8192,0.0298228,0.503906,0.137044,2.11672e-7,3.31638e-8
2,16384,0.0284266,0.501953,0.130633,5.18179e-7,1.835e-8
2,32768,0.0278365,0.500977,0.127916,4.0642e-7,1.60901e-7
2,65536,0.0409732,0.500488,0.188278,1.44803e-5,1.78348e-7
2,131072,0.0455,0.500244,0.209074,0.010092,3.50163e-7
2,262144,0.0579999,0.500122,0.266439,0.0527197,2.18963e-7
2,524288,0.0727695,0.500061,0.334335,0.104876,1.31695e-8
2,1048576,0.0742702,0.500031,0.341222,0.11367,3.83443e-8
2,2097152,0.0745834,0.500015,0.342625,0.113698,0.00017596
2,3145728,0.0871568,0.50001,0.399921,0.114447,0.00580441
2,4194304,0.149815,0.500008,0.6874,0.117553,0.033537
2,5242880,0.24898,0.500006,1.14183,0.12086,0.0705417
2,6291456,0.356335,0.500005,1.63372,0.122968,0.09732
2,7340032,0.439565,0.500005,2.01402,0.124046,0.112382
2,8388608,0.475573,0.500004,2.18025,0.124295,0.116035
2,10485760,0.505949,0.500003,2.31966,0.124353,0.115717
2,12582912,0.502579,0.500003,2.30469,0.124231,0.112499
