Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.117876,0.629883,0.500727,1.23386e-7,4.38304e-8
1,16384,0.12145,0.627441,0.506113,1.98852e-7,3.2669e-8
1,32768,0.121521,0.626221,0.505747,2.82918e-7,3.5463e-8
1,65536,0.122462,0.62561,0.508803,1.48895e-7,3.34112e-8
1,131072,0.123305,0.625305,0.512447,1.93177e-7,3.2247e-8
1,262144,0.123902,0.625153,0.513927,2.12574e-7,3.60014e-8
1,524288,0.123102,0.625076,0.511108,2.74114e-7,4.71045e-8
1,1048576,0.123752,0.625038,0.513525,3.57933e-7,5.50644e-8
1,2097152,0.123213,0.625019,0.511324,4.40763e-7,8.00646e-8
1,3145728,0.123361,0.625013,0.511712,1.52553e-6,1.19079e-7
1,4194304,0.123193,0.62501,0.511077,1.05363e-6,1.37123e-7
1,5242880,0.123246,0.625008,0.511004,2.11277e-6,9.2537e-8
1,6291456,0.123169,0.625006,0.511233,2.68958e-6,2.68618e-7
1,7340032,0.123089,0.625006,0.511062,3.60429e-6,3.00265e-7
1,8388608,0.123079,0.625005,0.510376,6.17756e-6,1.3868e-7
1,10485760,0.123094,0.625004,0.510765,5.73127e-6,2.10235e-7
1,12582912,0.123087,0.625003,0.510626,4.06207e-6,4.40595e-7
1,16777216,0.123083,0.625002,0.51084,9.34787e-6,3.58734e-7
1,33554432,0.12298,0.625001,0.510244,2.02066e-5,1.2634e-6
1,67108864,0.12278,0.625001,0.509016,7.50118e-5,1.92704e-6
1,134217728,0.123067,0.625,0.510134,0.000191097,3.62666e-6
2,8192,0.242707,0.629883,1.11468,5.3551e-7,5.3391e-8
2,16384,0.249854,0.627442,1.14764,6.05491e-7,4.13129e-8
2,32768,0.251006,0.626221,1.15294,3.92363e-7,4.25352e-8
2,65536,0.248037,0.62561,1.13925,5.06392e-7,4.58531e-8
2,131072,0.248393,0.625305,1.14102,3.7835e-7,3.54485e-8
2,262144,0.250449,0.625153,1.15032,6.8768e-7,4.29573e-8
2,524288,0.24972,0.625076,1.14716,5.07178e-7,4.51109e-8
2,1048576,0.249785,0.625038,1.14742,7.16798e-7,6.30826e-8
2,2097152,0.249755,0.625019,1.14723,1.71614e-6,9.70613e-8
2,3145728,0.250302,0.625013,1.14965,4.53693e-6,2.59811e-7
2,4194304,0.24983,0.62501,1.14757,4.69953e-6,2.31812e-7
2,5242880,0.250241,0.625008,1.14942,5.41011e-6,2.25514e-7
2,6291456,0.250003,0.625006,1.14826,8.1151e-6,3.24876e-7
2,7340032,0.249696,0.625006,1.14686,5.95618e-6,2.52753e-7
2,8388608,0.249994,0.625005,1.14823,7.79114e-6,3.66985e-7
2,10485760,0.249962,0.625004,1.14801,8.6287e-6,4.19844e-7
2,12582912,0.250381,0.625003,1.14992,1.03673e-5,1.09886e-6
2,16777216,0.249641,0.625003,1.14661,1.57292e-5,7.09522e-7
2,33554432,0.24826,0.625001,1.14031,3.27063e-5,1.96435e-6
2,67108864,0.247995,0.625001,1.13889,6.64105e-5,6.47333e-6
2,134217728,0.247757,0.625,1.13781,0.000205785,8.99895e-6
3,8192,0.364001,0.629883,1.67152,7.69316e-7,4.31755e-8
3,16384,0.374335,0.627442,1.71842,1.02806e-6,6.23113e-8
3,32768,0.372743,0.626221,1.71141,9.91888e-7,6.37956e-8
3,65536,0.372472,0.625611,1.71019,9.27917e-7,6.02013e-8
3,131072,0.380346,0.625305,1.73914,3.59307e-6,2.90529e-7
3,262144,0.372615,0.625153,1.71093,8.27538e-7,5.76692e-8
3,524288,0.373786,0.625076,1.7163,9.81265e-7,6.7972e-8
3,1048576,0.373987,0.625038,1.71721,1.52846e-6,1.29818e-7
3,2097152,0.373756,0.625019,1.71615,2.38714e-6,1.42885e-7
3,3145728,0.373816,0.625013,1.71629,5.3865e-6,2.07089e-7
3,4194304,0.374379,0.62501,1.71887,8.84234e-6,1.37923e-7
3,5242880,0.373958,0.625008,1.71703,9.66779e-6,1.9529e-7
3,6291456,0.373509,0.625007,1.71468,1.13587e-5,3.25968e-7
3,7340032,0.373902,0.625006,1.71668,1.30218e-5,3.60336e-7
3,8388608,0.373909,0.625005,1.71658,2.21929e-5,4.8762e-7
3,10485760,0.373534,0.625004,1.71468,1.64106e-5,4.95806e-7
3,12582912,0.374283,0.625003,1.71797,2.08526e-5,7.42217e-7
3,16777216,0.37351,0.625003,1.71469,2.23964e-5,1.10075e-6
3,33554432,0.371944,0.625001,1.70749,4.87945e-5,2.95891e-6
3,67108864,0.371749,0.625001,1.70649,8.98566e-5,6.48621e-6
3,134217728,0.370876,0.625,1.70249,0.000220157,1.21597e-5
4,8192,0.486708,0.629883,2.23515,1.18696e-6,6.01285e-8
4,16384,0.500189,0.627442,2.29691,1.27143e-6,7.52916e-8
4,32768,0.492872,0.626221,2.26348,1.35363e-6,7.03294e-8
4,65536,0.496033,0.625611,2.27799,1.22291e-6,7.90606e-8
4,131072,0.497884,0.625305,2.28529,1.4562e-6,7.4433e-8
4,262144,0.497673,0.625153,2.28537,1.85185e-6,8.20728e-8
4,524288,0.498152,0.625076,2.28753,1.92122e-6,9.96079e-8
4,1048576,0.498116,0.625038,2.28712,2.63026e-6,1.40921e-7
4,2097152,0.498109,0.625019,2.28732,4.20881e-6,1.50816e-7
4,3145728,0.498589,0.625013,2.28943,7.11775e-6,1.67071e-7
4,4194304,0.498533,0.62501,2.28902,1.10397e-5,2.45884e-7
4,5242880,0.495836,0.625008,2.27678,2.09859e-5,1.73971e-7
4,6291456,0.498007,0.625007,2.28655,2.94997e-5,2.94579e-7
