Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.0386243,0.503906,0.137064,1.60275e-6,1.38364e-6
1,16384,0.0366445,0.501953,0.130921,2.19153e-6,2.03092e-6
1,32768,0.0359834,0.500977,0.128609,5.03573e-6,4.21077e-6
1,65536,0.0616775,0.500488,0.220285,2.886e-5,2.25626e-5
1,131072,0.0603582,0.500244,0.215624,6.92568e-5,3.73625e-5
1,524288,0.111595,0.500061,0.398212,0.133452,1.33012e-5
1,1048576,0.116996,0.500031,0.416791,0.14562,3.17031e-6
1,2097152,0.118385,0.500015,0.420873,0.145572,9.62433e-5
1,3145728,0.118957,0.50001,0.423294,0.145799,0.000198601
1,4194304,0.120685,0.500008,0.429097,0.14588,0.000494603
1,5242880,0.123088,0.500006,0.437075,0.146043,0.00103714
1,6291456,0.128127,0.500005,0.455003,0.143131,0.00172479
1,7340032,0.132923,0.500004,0.472232,0.139395,0.00216986
1,8388608,0.133931,0.500004,0.47527,0.140241,0.00288642
1,10485760,0.136806,0.500003,0.485911,0.140228,0.0042898
1,12582912,0.145928,0.500003,0.514056,0.139973,0.00826906
1,14680064,0.161974,0.500002,0.568694,0.140157,0.0177187
1,16777216,0.18056,0.500002,0.630361,0.141274,0.0294306
1,33554432,0.228259,0.500001,0.79636,0.14306,0.0646374
1,67108864,0.256798,0.500001,0.895115,0.144916,0.0854618
1,134217728,0.26711,0.5,0.935249,0.145682,0.0935046
2,8192,0.0382012,0.503906,0.136816,8.92687e-7,5.50921e-7
2,16384,0.0365216,0.501953,0.131005,2.63001e-6,1.06014e-6
2,32768,0.0358883,0.500977,0.128557,3.85685e-6,2.44066e-6
2,65536,0.0606948,0.500488,0.217304,3.11932e-5,1.12129e-5
2,131072,0.0638609,0.500244,0.228811,0.0131808,1.91275e-5
2,524288,0.111883,0.500061,0.40055,0.134415,7.54406e-6
2,1048576,0.117169,0.500031,0.41896,0.145866,3.31223e-6
