Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.100346,0.629883,0.353882,3.83036e-7,1.13025e-7
1,16384,0.0991822,0.627441,0.351195,1.41401e-7,7.64994e-8
1,32768,0.101342,0.626221,0.358519,1.15164e-7,8.17236e-8
1,65536,0.103096,0.62561,0.364466,1.61453e-7,7.95117e-8
1,131072,0.106637,0.625305,0.374472,1.14844e-7,7.58446e-8
1,524288,0.102868,0.625076,0.362068,4.42902e-7,8.76025e-8
1,1048576,0.102899,0.625038,0.364008,1.70505e-7,7.32252e-8
1,2097152,0.101972,0.625019,0.360016,2.18613e-7,9.28994e-8
1,3145728,0.102229,0.625013,0.36188,1.12673e-6,1.64088e-7
1,4194304,0.10257,0.62501,0.361311,1.35294e-6,3.03349e-7
1,5242880,0.102593,0.625008,0.361529,3.4037e-6,4.51786e-7
1,6291456,0.104343,0.625006,0.36327,4.58208e-6,1.49318e-6
1,7340032,0.104478,0.625006,0.369273,6.65361e-6,2.63088e-6
1,8388608,0.104484,0.625005,0.369339,4.3825e-6,3.03918e-6
1,10485760,0.104531,0.625004,0.36911,5.95487e-6,3.80666e-6
1,12582912,0.10484,0.625003,0.370226,9.62243e-6,5.11193e-6
1,14680064,0.104508,0.625003,0.36873,1.0898e-5,4.85084e-6
1,16777216,0.106678,0.625002,0.372932,1.83367e-5,7.78087e-6
1,33554432,0.104145,0.625001,0.368109,1.48527e-5,8.6259e-6
1,67108864,0.107622,0.625001,0.375711,7.29597e-5,1.7586e-5
1,134217728,0.107184,0.625,0.37471,0.000207932,1.98669e-5
2,8192,0.187267,0.629883,0.659597,4.44779e-7,1.24142e-7
2,16384,0.19521,0.627441,0.684992,2.87298e-7,1.08368e-7
2,32768,0.21223,0.626221,0.744596,2.0054e-7,1.10784e-7
2,65536,0.211516,0.62561,0.741553,2.65674e-7,1.1982e-7
2,131072,0.212956,0.625305,0.748705,2.25948e-7,1.24957e-7
2,524288,0.212781,0.625076,0.746784,2.87648e-7,1.1627e-7
2,1048576,0.212203,0.625038,0.744532,3.27418e-7,1.17958e-7
2,2097152,0.211727,0.625019,0.741431,3.05998e-7,1.55909e-7
2,3145728,0.21223,0.625013,0.744854,1.49687e-6,3.50906e-7
2,4194304,0.212433,0.62501,0.74375,3.137e-6,5.32207e-7
2,5242880,0.212442,0.625008,0.742858,3.72718e-6,7.9315e-7
2,6291456,0.216544,0.625006,0.748843,1.20017e-5,4.80404e-6
2,7340032,0.211381,0.625006,0.746439,8.31037e-6,4.69678e-6
2,8388608,0.214261,0.625005,0.751554,1.97039e-5,6.03688e-6
2,10485760,0.212289,0.625004,0.748486,1.2173e-5,6.44059e-6
2,12582912,0.211793,0.625003,0.74645,1.50328e-5,7.24481e-6
2,14680064,0.212035,0.625003,0.746362,1.76625e-5,7.792e-6
2,16777216,0.213319,0.625002,0.746249,2.39286e-5,9.88443e-6
2,33554432,0.212085,0.625001,0.745007,3.84354e-5,1.13604e-5
2,67108864,0.219879,0.625001,0.762875,8.9101e-5,2.96568e-5
2,134217728,0.216052,0.625,0.756143,0.0002062,2.9994e-5
3,8192,0.289915,0.629883,1.02117,5.90808e-7,1.56433e-7
3,16384,0.302506,0.627442,1.06831,5.30446e-7,1.43846e-7
3,32768,0.324774,0.626221,1.14567,4.47355e-7,1.53348e-7
3,65536,0.321479,0.62561,1.13707,4.85525e-7,1.4159e-7
3,131072,0.326657,0.625305,1.14674,4.36397e-7,1.37283e-7
3,524288,0.322394,0.625076,1.13983,4.64221e-7,1.49928e-7
3,1048576,0.325606,0.625038,1.14696,7.94651e-7,2.50817e-7
3,2097152,0.323038,0.625019,1.14238,7.53789e-7,2.52941e-7
3,3145728,0.325811,0.625013,1.14862,3.07694e-6,5.89049e-7
3,4194304,0.323709,0.62501,1.14524,5.50439e-6,9.89705e-7
3,5242880,0.324191,0.625008,1.14511,7.5267e-6,1.5101e-6
3,6291456,0.324799,0.625006,1.14076,1.48988e-5,5.0757e-6
3,7340032,0.323499,0.625006,1.14564,1.45275e-5,6.57733e-6
3,8388608,0.324246,0.625005,1.14798,1.94534e-5,7.15932e-6
3,10485760,0.323164,0.625004,1.14497,1.89811e-5,9.18727e-6
3,12582912,0.32406,0.625003,1.14976,2.01389e-5,9.98437e-6
3,14680064,0.322872,0.625003,1.14206,2.07455e-5,1.02539e-5
3,16777216,0.32569,0.625003,1.14886,3.29794e-5,1.2878e-5
3,33554432,0.322082,0.625001,1.137,4.99779e-5,1.38107e-5
3,67108864,0.331721,0.625001,1.16307,0.000139754,2.90757e-5
3,134217728,0.321195,0.625,1.13052,0.00021454,3.01349e-5
4,8192,0.395047,0.629883,1.40034,1.14774e-6,1.74448e-7
4,16384,0.421798,0.627442,1.49341,9.09538e-7,1.96684e-7
4,32768,0.435524,0.626221,1.54527,8.79576e-7,2.09548e-7
4,65536,0.432617,0.625611,1.53529,8.22169e-7,1.98241e-7
4,131072,0.433482,0.625305,1.53516,8.01636e-7,1.99812e-7
4,524288,0.436994,0.625076,1.5474,6.64426e-7,1.84664e-7
4,1048576,0.438076,0.625038,1.55131,1.28573e-6,2.45331e-7
4,2097152,0.436564,0.625019,1.54858,1.63529e-6,3.96569e-7
4,3145728,0.437412,0.625013,1.54857,4.65197e-6,9.8981e-7
4,4194304,0.436519,0.62501,1.5477,8.37687e-6,1.47047e-6
4,5242880,0.437211,0.625008,1.54723,1.27532e-5,2.79123e-6
4,6291456,0.436056,0.625007,1.53591,1.67193e-5,5.85748e-6
4,7340032,0.436032,0.625006,1.54501,2.36803e-5,8.69114e-6
4,8388608,0.437013,0.625005,1.55072,2.78836e-5,9.06375e-6
4,10485760,0.436535,0.625004,1.55146,3.40928e-5,1.04288e-5
4,12582912,0.435768,0.625003,1.54969,3.08229e-5,1.08838e-5
4,14680064,0.436453,0.625003,1.54208,4.35637e-5,1.20471e-5
4,16777216,0.436383,0.625003,1.54403,4.41488e-5,1.26537e-5
4,33554432,0.435066,0.625001,1.53568,7.90391e-5,1.4709e-5
4,67108864,0.449955,0.625001,1.58148,0.000153449,3.23601e-5
4,134217728,0.42937,0.625,1.51822,0.000243295,2.93463e-5
5,8192,0.517983,0.629883,1.83827,1.47586e-6,2.12807e-7
5,16384,0.54445,0.627442,1.93331,1.67001e-6,1.98575e-7
5,32768,0.539257,0.626221,1.91536,1.26848e-6,2.17668e-7
5,65536,0.545202,0.625611,1.93753,1.11658e-6,2.06594e-7
5,131072,0.552075,0.625305,1.961,1.22166e-6,2.04498e-7
5,524288,0.555951,0.625076,1.9699,1.31439e-6,2.44487e-7
5,1048576,0.554825,0.625038,1.96857,2.08683e-6,3.69575e-7
5,2097152,0.55649,0.625019,1.97707,3.56513e-6,6.65081e-7
5,3145728,0.556185,0.625013,1.97506,6.99877e-6,1.29876e-6
5,4194304,0.555069,0.62501,1.96964,1.51466e-5,2.24363e-6
5,5242880,0.554544,0.625008,1.9693,2.19184e-5,4.02992e-6
5,6291456,0.553408,0.625007,1.96425,2.94899e-5,8.24066e-6
5,7340032,0.553363,0.625006,1.9603,4.53554e-5,9.87625e-6
5,8388608,0.551333,0.625005,1.96053,3.12659e-5,1.01481e-5
5,10485760,0.551326,0.625004,1.96066,4.117e-5,1.18603e-5
5,12582912,0.55046,0.625003,1.95774,4.3501e-5,1.31532e-5
5,14680064,0.57499,0.625003,2.02497,7.37198e-5,2.17437e-5
5,16777216,0.549456,0.625003,1.94766,7.78605e-5,1.3337e-5
5,33554432,0.550215,0.625001,1.93411,0.000135587,1.67854e-5
5,67108864,0.571221,0.625001,2.01104,0.000196916,3.58461e-5
5,134217728,0.545543,0.625,1.92762,0.000269167,3.86356e-5
6,8192,0.608719,0.629883,2.15757,2.53275e-6,2.36105e-7
