Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.172447,0.254883,0.678405,3.92902e-9,1.79716e-9
1,16384,0.171938,0.252441,0.676066,4.21278e-9,1.73895e-9
1,32768,0.171449,0.251221,0.684294,1.5425e-9,4.43833e-10
1,65536,0.171203,0.25061,0.682616,3.70346e-9,1.22236e-9
1,131072,0.171844,0.250305,0.679486,3.70346e-9,2.03727e-9
1,262144,0.171376,0.250153,0.681945,3.95812e-9,1.78261e-9
1,524288,0.171352,0.250076,0.683906,4.41651e-9,1.8772e-9
1,1048576,0.171401,0.250038,0.683648,4.06726e-9,7.42148e-10
1,2097152,0.171313,0.250019,0.683863,7.21047e-9,2.94676e-9
1,3145728,0.171505,0.250013,0.683667,5.71165e-9,1.39699e-9
1,4194304,0.171607,0.25001,0.680749,8.64384e-9,2.71393e-9
1,5242880,0.171286,0.250008,0.683715,4.04546e-9,1.60072e-9
1,6291456,0.171443,0.250006,0.68407,3.73986e-9,1.17871e-9
1,7340032,0.17784,0.250006,0.710253,5.52247e-9,1.90631e-9
1,8388608,0.177681,0.250005,0.70936,3.93629e-9,1.20053e-9
1,9437184,0.177429,0.250004,0.707236,5.68254e-9,7.27599e-10
1,10485760,0.177529,0.250004,0.709473,4.78765e-9,3.7108e-10
1,11534336,0.177811,0.250004,0.710377,2.9759e-9,2.32833e-10
1,12582912,0.177718,0.250003,0.709336,3.57983e-9,1.89178e-10
1,13631488,0.177346,0.250003,0.708485,3.86361e-9,3.71082e-10
1,14680064,0.178606,0.250003,0.702766,6.06817e-9,1.29513e-9
1,15728640,0.177737,0.250003,0.710034,4.01639e-9,2.83767e-10
1,16777216,0.177633,0.250002,0.709553,6.91216e-9,5.67525e-10
1,33554432,0.178402,0.250001,0.705093,1.27402e-8,1.97178e-9
1,67108864,0.177651,0.250001,0.709713,1.27693e-8,5.45697e-10
1,134217728,0.178565,0.25,0.702364,1.13054e-7,3.37604e-9
1,268435456,0.177632,0.25,0.709608,2.1197e-7,3.14321e-9
2,8192,0.175555,0.254883,0.683366,3.87809e-9,1.25874e-9
2,16384,0.176487,0.252441,0.679396,4.68572e-9,1.64437e-9
2,32768,0.175701,0.251221,0.683197,2.40834e-9,4.72937e-10
2,65536,0.175947,0.25061,0.685411,3.7835e-9,1.18598e-9
2,131072,0.175751,0.250305,0.687281,3.92174e-9,1.12777e-9
2,262144,0.17573,0.250153,0.683438,1.65164e-9,8.80391e-10
2,524288,0.175823,0.250076,0.68344,1.9063e-9,7.63976e-10
2,1048576,0.175994,0.250038,0.686582,4.61296e-9,8.94943e-10
2,2097152,0.176176,0.250019,0.679631,2.97587e-9,6.91216e-10
