Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.709231,7.29983,2.54057,0.15968,7.18977e-6,0.000976562,6.98503e-10,8.99322e-9
131072,4096,2,2,0,0.502055,5.29983,1.80026,0.155834,4.19986e-6,0.000976562,1.46858e-7,1.56113e-7
131072,4096,2,6,0,1.35626,13.2998,4.85573,0.163684,2.25153e-5,0.000976562,3.49267e-10,6.63608e-9
131072,4096,3,1,0,0.686305,3.32779,2.4614,0.119924,4.79714e-6,0.000976562,0.000517141,0.000517837
131072,4096,4,4,0,0.921036,9.29999,3.30225,0.158313,9.49542e-6,0.000976562,2.14076e-6,2.33715e-6
131072,4096,4,12,0,2.64966,25.2999,9.49444,0.171513,8.08271e-5,0.000976562,2.0956e-9,5.16916e-8
131072,4096,6,2,0,1.3375,5.40733,4.79679,0.132288,7.54557e-6,0.000976562,0.000976396,0.00195478
131072,4096,8,8,0,1.773,17.2999,6.35507,0.163234,4.52527e-5,0.000976562,3.75323e-7,5.24567e-7
131072,4096,12,4,0,2.62864,9.50795,9.41975,0.164629,1.79967e-5,0.000976562,0.000976473,0.00346388
131072,8192,1,3,0,0.686395,7.27491,2.46107,0.149563,5.92234e-6,0.000488281,4.36564e-10,5.4134e-9
131072,8192,2,2,0,0.478547,5.27504,1.71484,0.140949,3.89689e-6,0.000488281,1.93698e-6,2.34687e-6
131072,8192,2,6,0,1.3334,13.2749,4.77584,0.152981,2.09997e-5,0.000488281,8.73168e-10,1.71141e-8
131072,8192,3,1,0,0.682124,3.30341,2.44591,0.110591,5.8249e-6,0.000488281,0.000464972,0.000526086
131072,8192,4,4,0,0.902609,9.27515,3.23768,0.148891,9.74175e-6,0.000488281,2.22074e-6,4.03228e-6
131072,8192,4,12,0,2.61614,25.275,9.38001,0.158857,9.62409e-5,0.000488281,6.98535e-10,2.02575e-8
131072,8192,6,2,0,1.3316,5.375,4.77751,0.120452,1.00687e-5,0.000488281,0.000488237,0.00167782
131072,8192,8,8,0,1.76482,17.2756,6.32836,0.151077,3.62257e-5,0.000488281,4.85848e-6,1.16033e-5
131072,8192,12,4,0,2.61404,9.47353,9.37495,0.14699,1.83896e-5,0.000488281,0.000488256,0.00278436
131072,16384,1,3,0,0.684424,7.26245,2.45126,0.140106,5.89536e-6,0.000244141,6.98503e-10,5.50071e-9
131072,16384,2,2,0,0.475488,5.26256,1.70581,0.13616,3.76685e-6,0.000244141,8.07107e-7,1.69477e-6
131072,16384,2,6,0,1.32425,13.2625,4.74357,0.148606,2.04583e-5,0.000244141,1.0478e-9,1.50185e-8
131072,16384,3,1,0,0.669426,3.28899,2.398,0.103934,4.87433e-6,0.000244141,0.000243772,0.000485181
131072,16384,4,4,0,0.896234,9.2625,3.21317,0.142045,1.10108e-5,0.000244141,1.91038e-7,3.94764e-7
131072,16384,4,12,0,2.61302,25.2626,9.37328,0.150695,8.1665e-5,0.000244141,6.98535e-10,1.74634e-8
131072,16384,6,2,0,1.31436,5.35569,4.71099,0.112161,8.14474e-6,0.000244141,0.000244129,0.00133359
131072,16384,8,8,0,1.76345,17.2632,6.32024,0.149104,3.61109e-5,0.000244141,8.35932e-6,1.26453e-5
131072,16384,12,4,0,2.61248,9.44975,9.3523,0.145043,2.14143e-5,0.000244141,0.000244131,0.00203453
262144,8192,1,3,0,0.681146,7.27493,2.44021,0.149156,1.83695e-5,0.000488281,1.74634e-10,4.36584e-9
262144,8192,2,2,0,0.470459,5.27494,1.68385,0.141786,8.67009e-6,0.000488281,3.59083e-7,6.92555e-7
262144,8192,2,6,0,1.32859,13.2749,4.75443,0.156476,7.59092e-5,0.000488281,1.74634e-10,5.23901e-9
262144,8192,3,1,0,0.672441,3.30282,2.40714,0.110864,5.0408e-6,0.000488281,0.000458866,0.000515423
262144,8192,4,4,0,0.905361,9.27508,3.23806,0.149308,3.51667e-5,0.000488281,1.44111e-6,2.90212e-6
262144,8192,4,12,0,2.62711,25.275,9.3987,0.156657,0.000410029,0.000488281,3.49331e-10,1.25759e-8
262144,8192,6,2,0,1.33004,5.37491,4.76163,0.124764,9.47929e-6,0.000488281,0.000488239,0.00167778
262144,8192,8,8,0,1.7604,17.2752,6.30294,0.150422,0.000142189,0.000488281,5.6678e-6,6.12019e-6
262144,8192,12,4,0,2.62121,9.47307,9.3841,0.152161,1.90089e-5,0.000488281,0.000488255,0.00278161
262144,16384,1,3,0,0.676274,7.26246,2.42439,0.143324,1.88233e-5,0.000244141,1.74634e-10,3.84194e-9
262144,16384,2,2,0,0.467755,5.26259,1.67679,0.137395,9.6109e-6,0.000244141,1.06037e-6,2.26928e-6
262144,16384,2,6,0,1.32145,13.2625,4.73631,0.148492,6.55795e-5,0.000244141,3.49267e-10,7.15998e-9
262144,16384,3,1,0,0.668538,3.2889,2.39706,0.102857,4.90005e-6,0.000244141,0.000243912,0.000483707
262144,16384,4,4,0,0.892463,9.26269,3.20082,0.142347,2.83031e-5,0.000244141,1.57102e-6,3.90969e-6
262144,16384,4,12,0,2.61427,25.2625,9.36543,0.151202,0.000403701,0.000244141,3.49331e-10,1.08293e-8
262144,16384,6,2,0,1.32059,5.35663,4.73274,0.119494,9.62162e-6,0.000244141,0.000244122,0.00134237
262144,16384,8,8,0,1.75839,17.2634,6.30055,0.148917,0.000143719,0.000244141,1.06865e-5,1.58313e-5
262144,16384,12,4,0,2.61299,9.45037,9.3621,0.140547,2.45709e-5,0.000244141,0.000244126,0.0020376
262144,32768,1,3,0,0.669744,7.25623,2.39717,0.141791,1.55661e-5,0.00012207,1.74634e-10,2.35755e-9
262144,32768,2,2,0,0.462067,5.25625,1.65463,0.136897,1.06465e-5,0.00012207,5.75674e-8,2.13739e-7
262144,32768,2,6,0,1.31743,13.2562,4.71447,0.145715,7.22397e-5,0.00012207,3.49267e-10,9.77948e-9
262144,32768,3,1,0,0.667216,3.28613,2.38745,0.106016,1.07296e-5,0.00012207,0.000122053,0.000484461
262144,32768,4,4,0,0.889835,9.25633,3.18585,0.142523,3.26786e-5,0.00012207,1.43924e-6,1.65566e-6
262144,32768,4,12,0,2.6134,25.2563,9.34643,0.147929,0.000352456,0.00012207,3.49331e-10,1.11786e-8
262144,32768,6,2,0,1.31581,5.34586,4.71114,0.119372,1.86371e-5,0.00012207,0.000122061,0.000993623
262144,32768,8,8,0,1.75367,17.2568,6.27812,0.147263,0.00016064,0.00012207,8.53534e-6,8.88086e-6
262144,32768,12,4,0,2.60801,9.43321,9.33743,0.141452,4.22195e-5,0.00012207,0.000122063,0.00137128
