Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.710488,3.48475,2.54446,0.169317,4.8518e-6,0.000976562,0.00092389,0.00110422
131072,4096,2,2,0,0.502878,5.42609,1.80283,0.169332,4.11953e-6,0.000976562,2.2065e-5,2.21489e-5
131072,4096,2,6,0,1.3586,5.54036,4.86496,0.172267,8.82738e-6,0.000976562,0.000975958,0.00208986
131072,4096,3,1,0,0.687349,7.42492,2.46471,0.16391,6.90033e-6,0.000976562,1.74626e-10,6.02458e-9
131072,4096,4,4,0,0.922707,9.42509,3.3073,0.168408,7.32869e-6,0.000976562,1.66311e-6,1.75706e-6
131072,4096,4,12,0,2.65385,9.64014,9.50822,0.177352,2.27883e-5,0.000976562,0.00097631,0.00355467
131072,4096,6,2,0,1.33952,13.425,4.80366,0.165363,2.56587e-5,0.000976562,3.49267e-10,1.17005e-8
131072,4096,8,8,0,1.77625,17.4257,6.36549,0.167911,1.93843e-5,0.000976562,8.3039e-6,8.96933e-6
131072,4096,12,4,0,2.63284,25.4252,9.43356,0.176379,9.58086e-5,0.000976562,6.98535e-10,2.37502e-8
131072,8192,1,3,0,0.687471,3.4572,2.46439,0.159475,4.50822e-6,0.000488281,0.000488154,0.00103671
131072,8192,2,2,0,0.479267,5.40057,1.71703,0.155063,4.60987e-6,0.000488281,1.07648e-5,1.09397e-5
131072,8192,2,6,0,1.33568,5.50657,4.78244,0.158958,1.46154e-5,0.000488281,0.000488108,0.00176384
131072,8192,3,1,0,0.683203,7.40001,2.44923,0.157784,5.52463e-6,0.000488281,5.23877e-10,1.03029e-8
131072,8192,4,4,0,0.903962,9.40018,3.24165,0.157819,8.14069e-6,0.000488281,1.72551e-6,2.34076e-6
131072,8192,4,12,0,2.62029,9.60066,9.39606,0.161907,2.17995e-5,0.000488281,0.000488145,0.00280036
131072,8192,6,2,0,1.33407,13.4002,4.78533,0.160236,2.25972e-5,0.000488281,3.49267e-10,1.20497e-8
131072,8192,8,8,0,1.76787,17.4004,6.33722,0.155454,2.58442e-5,0.000488281,3.14834e-6,3.37837e-6
131072,8192,12,4,0,2.6214,25.4006,9.39953,0.157276,8.89182e-5,0.000488281,6.98535e-10,2.02575e-8
131072,16384,1,3,0,0.684427,3.44138,2.45124,0.149724,4.73821e-6,0.000244141,0.000244117,0.000891276
131072,16384,2,2,0,0.476161,5.38955,1.70803,0.151166,3.33699e-6,0.000244141,3.54674e-5,3.72988e-5
131072,16384,2,6,0,1.32662,5.48797,4.75146,0.154379,7.85991e-6,0.000244141,0.000244113,0.00140214
131072,16384,3,1,0,0.670434,7.38758,2.40215,0.151287,6.99044e-6,0.000244141,2.88132e-9,4.31325e-8
131072,16384,4,4,0,0.897642,9.38826,3.21752,0.151669,7.62497e-6,0.000244141,1.10322e-5,1.19484e-5
131072,16384,4,12,0,2.61792,9.57742,9.38871,0.153278,2.37334e-5,0.000244141,0.000244109,0.00204663
131072,16384,6,2,0,1.31648,13.3877,4.71782,0.152226,2.42116e-5,0.000244141,3.49267e-10,1.11766e-8
131072,16384,8,8,0,1.76624,17.389,6.32936,0.153579,2.45809e-5,0.000244141,1.56085e-5,2.08537e-5
131072,16384,12,4,0,2.61701,25.3879,9.36689,0.156124,7.88607e-5,0.000244141,3.49267e-10,1.46692e-8
262144,8192,1,3,0,0.682389,3.45576,2.444,0.158281,5.40395e-6,0.000488281,0.000487986,0.00100877
262144,8192,2,2,0,0.471216,5.40026,1.68615,0.154731,3.46184e-6,0.000488281,4.65434e-6,5.33048e-6
262144,8192,2,6,0,1.3309,5.5062,4.76143,0.162232,1.13821e-5,0.000488281,0.000488205,0.00175916
262144,8192,3,1,0,0.67342,7.40001,2.41037,0.156773,1.87759e-5,0.000488281,1.74634e-10,5.85023e-9
262144,8192,4,4,0,0.906787,9.40031,3.24269,0.15846,9.50182e-6,0.000488281,3.93915e-6,4.7636e-6
262144,8192,4,12,0,2.63204,9.60196,9.41341,0.161983,2.26489e-5,0.000488281,0.000488182,0.00281352
262144,8192,6,2,0,1.3324,13.4001,4.76936,0.161029,7.50713e-5,0.000488281,3.49267e-10,8.55705e-9
262144,8192,8,8,0,1.76349,17.4005,6.31278,0.155336,6.09939e-5,0.000488281,3.71248e-6,4.74765e-6
262144,8192,12,4,0,2.62607,25.4003,9.4002,0.162618,0.000379371,0.000488281,3.49331e-10,1.46719e-8
262144,16384,1,3,0,0.677417,3.44052,2.4276,0.152039,5.59744e-6,0.000244141,0.000244036,0.000877953
