Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.366247,3.54787,1.44507,0.0703369,1.87723e-9,0.000976562,4.36564e-11,1.57163e-9
131072,4096,2,2,0,0.285522,2.54786,1.12689,0.0706005,1.10595e-9,0.000976562,1.4843e-9,6.8103e-9
131072,4096,2,6,0,0.675245,6.54787,2.6646,0.071226,4.54047e-9,0.000976562,8.73168e-11,3.05609e-9
131072,4096,3,1,0,0.373782,1.5479,1.47531,0.0685115,1.17872e-9,0.000976562,7.20331e-8,4.3914e-7
131072,4096,4,4,0,0.482248,4.54789,1.85821,0.0693297,3.0268e-9,0.000976562,4.81959e-8,2.76719e-7
131072,4096,4,12,0,1.30304,12.5479,5.1418,0.072193,8.03315e-9,0.000976562,1.74634e-10,6.28681e-9
131072,4096,6,2,0,0.666241,2.58498,2.62888,0.0721312,5.67559e-9,0.000976562,0.000673576,0.000674157
131072,4096,8,8,0,0.886749,8.54792,3.49926,0.0705185,6.17001e-9,0.000976562,2.04425e-7,4.58211e-7
131072,4096,12,4,0,1.32005,4.67046,5.18995,0.0806741,1.22244e-8,0.000976562,0.000976488,0.00217395
131072,8192,1,3,0,0.348856,3.52394,1.37644,0.0664784,1.87723e-9,0.000488281,6.1119e-10,3.84176e-9
131072,8192,2,2,0,0.265988,2.52393,1.0498,0.0672792,6.98492e-10,0.000488281,5.82077e-11,1.10595e-9
131072,8192,2,6,0,0.665659,6.52395,2.58806,0.0676032,2.70682e-9,0.000488281,8.73168e-11,3.14341e-9
131072,8192,3,1,0,0.347844,1.52394,1.37291,0.0654259,1.57163e-8,0.000488281,6.54846e-10,4.58392e-9
131072,8192,4,4,0,0.449236,4.52395,1.77304,0.0662606,5.76256e-9,0.000488281,6.14673e-8,6.68806e-8
131072,8192,4,12,0,1.28912,12.524,5.08796,0.0704821,5.23901e-9,0.000488281,1.74634e-10,6.28681e-9
131072,8192,6,2,0,0.659456,2.5639,2.60294,0.0686211,2.96877e-9,0.000488281,0.000488261,0.000722101
131072,8192,8,8,0,0.866562,8.52402,3.41913,0.0666028,6.51926e-9,0.000488281,1.08697e-6,1.09687e-6
131072,8192,12,4,0,1.28304,4.64672,5.06218,0.0673959,1.27483e-8,0.000488281,0.000488255,0.00194966
131072,16384,1,3,0,0.358206,3.51196,1.34319,0.06471,6.8104e-9,0.000244141,2.05185e-9,8.86225e-9
131072,16384,2,2,0,0.257873,2.51197,0.993892,0.0646841,2.32831e-9,0.000244141,2.99769e-9,5.58794e-9
131072,16384,2,6,0,0.656321,6.51199,2.5515,0.0652213,4.27852e-9,0.000244141,8.73168e-11,3.14341e-9
131072,16384,3,1,0,0.332955,1.51201,1.31394,0.0639361,1.48432e-9,0.000244141,6.74928e-8,3.90114e-7
131072,16384,4,4,0,0.440432,4.51202,1.73324,0.0649016,5.84987e-8,0.000244141,1.57976e-7,5.10423e-7
131072,16384,4,12,0,1.27744,12.512,5.02401,0.0661157,6.60115e-8,0.000244141,1.74634e-10,6.11218e-9
131072,16384,6,2,0,0.650873,2.55092,2.56893,0.0660873,7.85851e-9,0.000244141,0.000244115,0.000672943
131072,16384,8,8,0,0.882041,8.51235,3.37755,0.0649096,1.46683e-8,0.000244141,6.41006e-6,6.42776e-6
131072,16384,12,4,0,1.27619,4.62749,5.03674,0.0661714,1.64156e-8,0.000244141,0.000244131,0.00152347
262144,8192,1,3,0,0.352992,3.52394,1.39291,0.0664701,2.13926e-9,0.000488281,4.36584e-11,1.52804e-9
262144,8192,2,2,0,0.271372,2.52394,1.07109,0.067892,1.77533e-9,0.000488281,2.91038e-11,1.04774e-9
262144,8192,2,6,0,0.653509,6.52395,2.57918,0.0672399,6.02486e-9,0.000488281,8.73168e-11,3.05609e-9
262144,8192,3,1,0,0.348667,1.52398,1.37611,0.0655601,2.05195e-9,0.000488281,9.07222e-8,5.1971e-7
262144,8192,4,4,0,0.453903,4.52403,1.77787,0.0663091,2.85218e-9,0.000488281,4.94241e-7,1.16829e-6
262144,8192,4,12,0,1.28577,12.524,5.07263,0.0700668,1.85146e-8,0.000488281,1.74666e-10,6.28796e-9
262144,8192,6,2,0,0.656039,2.56447,2.58871,0.0670918,7.07266e-9,0.000488281,0.000488177,0.000731802
262144,8192,8,8,0,0.864936,8.524,3.41321,0.0665712,1.29221e-8,0.000488281,4.28059e-7,5.96745e-7
262144,8192,12,4,0,1.28443,4.64576,5.06837,0.0692063,1.55452e-8,0.000488281,0.000488248,0.00194027
262144,16384,1,3,0,0.342631,3.51198,1.35229,0.0653772,1.52804e-9,0.000244141,8.73168e-11,2.35755e-9
262144,16384,2,2,0,0.256011,2.51197,1.01035,0.0648849,1.05356e-8,0.000244141,6.40284e-10,4.04543e-9
262144,16384,2,6,0,0.652867,6.51199,2.53828,0.0650848,7.59656e-9,0.000244141,8.73168e-11,3.14341e-9
262144,16384,3,1,0,0.331964,1.51203,1.3102,0.0640833,2.13926e-9,0.000244141,8.82336e-8,5.73235e-7
262144,16384,4,4,0,0.440615,4.512,1.73827,0.0647593,5.93718e-9,0.000244141,3.13972e-7,3.20841e-7
262144,16384,4,12,0,1.27362,12.512,5.02508,0.0658652,1.24013e-8,0.000244141,1.74666e-10,6.1133e-9
262144,16384,6,2,0,0.65057,2.5512,2.56694,0.0661118,7.7712e-9,0.000244141,0.000244111,0.000677248
262144,16384,8,8,0,0.871311,8.51229,3.37994,0.0649458,7.91624e-9,0.000244141,5.08281e-6,5.23531e-6
262144,16384,12,4,0,1.27788,4.62788,5.04275,0.0662975,1.86892e-8,0.000244141,0.000244127,0.0015268
262144,32768,1,3,0,0.339294,3.506,1.33051,0.0644416,5.28267e-9,0.00012207,4.36584e-11,1.5717e-9
262144,32768,2,2,0,0.252326,2.50599,0.995363,0.0641694,1.7375e-8,0.00012207,3.7835e-10,2.73576e-9
262144,32768,2,6,0,0.639556,6.50601,2.52369,0.0647178,8.55705e-9,0.00012207,8.73168e-11,3.14341e-9
262144,32768,3,1,0,0.330683,1.5075,1.30497,0.0640618,3.44901e-9,0.00012207,2.61881e-5,2.68581e-5
262144,32768,4,4,0,0.43814,4.50647,1.71602,0.0641915,4.88944e-9,0.00012207,7.75675e-6,8.22946e-6
262144,32768,4,12,0,1.26753,12.506,5.00295,0.0647559,1.01306e-8,0.00012207,1.74666e-10,6.1133e-9
262144,32768,6,2,0,0.644405,2.54721,2.54353,0.0645819,6.54876e-9,0.00012207,0.000122048,0.000607593
262144,32768,8,8,0,0.852925,8.50659,3.36574,0.0646162,1.11759e-8,0.00012207,1.03685e-5,1.03783e-5
262144,32768,12,4,0,1.26947,4.61417,5.00944,0.064649,2.27065e-8,0.00012207,0.000122065,0.00109203
524288,16384,1,3,0,0.337867,3.51198,1.33329,0.0647387,7.7712e-9,0.000244141,4.36584e-11,1.5717e-9
524288,16384,2,2,0,0.258844,2.51197,1.01888,0.0651432,6.40284e-9,0.000244141,2.91038e-11,1.01863e-9
524288,16384,2,6,0,0.644162,6.51199,2.54233,0.065696,2.70732e-9,0.000244141,8.73328e-11,3.14398e-9
524288,16384,3,1,0,0.33298,1.512,1.31415,0.0641997,2.2877e-8,0.000244141,4.85918e-8,2.74349e-7
524288,16384,4,4,0,0.439105,4.51207,1.73308,0.0649675,3.3644e-8,0.000244141,1.00106e-6,1.35851e-6
524288,16384,4,12,0,1.29156,12.512,5.02448,0.0663351,2.42785e-8,0.000244141,1.74666e-10,6.1133e-9
524288,16384,6,2,0,0.648789,2.55117,2.56076,0.0661023,1.35366e-8,0.000244141,0.000244104,0.000676645
524288,16384,8,8,0,0.857593,8.51224,3.38473,0.0647071,2.82889e-8,0.000244141,4.0119e-6,4.18397e-6
524288,16384,12,4,0,1.27606,4.62784,5.03667,0.0663778,2.20079e-8,0.000244141,0.00024412,0.00152647
524288,32768,1,3,0,0.338032,3.506,1.33367,0.0644333,7.81486e-9,0.00012207,4.36584e-11,1.5717e-9
524288,32768,2,2,0,0.252466,2.50599,0.996415,0.0639381,3.17232e-9,0.00012207,2.91038e-11,1.04774e-9
524288,32768,2,6,0,0.638591,6.50601,2.51975,0.0641976,1.89512e-8,0.00012207,8.73328e-11,3.14398e-9
524288,32768,3,1,0,0.330872,1.50636,1.30533,0.0641022,1.45383e-8,0.00012207,5.46376e-6,6.1988e-6
524288,32768,4,4,0,0.434439,4.50637,1.71448,0.0642164,8.90577e-9,0.00012207,5.59853e-6,6.19615e-6
524288,32768,4,12,0,1.26848,12.506,5.00626,0.0646885,2.16585e-8,0.00012207,1.74666e-10,6.28796e-9
524288,32768,6,2,0,0.641662,2.54695,2.53275,0.0646886,1.04799e-8,0.00012207,0.000122064,0.000605003
524288,32768,8,8,0,0.853918,8.5065,3.37003,0.0643906,5.51809e-8,0.00012207,7.99913e-6,8.43836e-6
524288,32768,12,4,0,1.27155,4.61451,5.01727,0.0648391,6.1657e-8,0.00012207,0.000122061,0.00109383
524288,65536,1,3,0,0.333362,3.50301,1.31567,0.0635453,7.50925e-9,6.10352e-5,8.73168e-11,2.22658e-9
524288,65536,1,3,32768,0.332611,3.5038,1.31276,0.0638103,6.15584e-9,6.10352e-5,4.36584e-11,1.52804e-9
524288,65536,2,2,0,0.249557,2.503,0.984564,0.0635764,7.68341e-9,6.10352e-5,2.91038e-11,1.01863e-9
524288,65536,2,2,32768,0.254273,2.50379,0.99796,0.0634593,1.71422e-8,6.10352e-5,2.91038e-11,1.04774e-9
524288,65536,2,6,0,0.636963,6.50302,2.51287,0.0636558,1.83399e-8,6.10352e-5,1.74666e-10,4.62864e-9
524288,65536,2,6,32768,0.637837,6.50381,2.5167,0.0638901,1.59819e-8,6.10352e-5,8.73328e-11,3.14398e-9
524288,65536,3,1,0,0.335202,1.5224,1.29646,0.0634987,1.72451e-8,6.10352e-5,6.10307e-5,0.00028991
