Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
131072,4096,1,3,0,0.366866,1.70826,1.44774,0.0695845,3.57983e-9,0.000976562,0.000624345,0.000624455
131072,4096,2,2,0,0.285936,2.67545,1.12862,0.0703531,8.73115e-10,0.000976562,2.84626e-5,2.84673e-5
131072,4096,2,6,0,0.676493,2.73856,2.66999,0.0724228,4.19121e-9,0.000976562,0.000967501,0.0011702
131072,4096,3,1,0,0.374402,3.67392,1.47785,0.0685498,1.04775e-9,0.000976562,2.61938e-10,5.89362e-9
131072,4096,4,4,0,0.483081,4.67394,1.86172,0.0693297,2.61934e-9,0.000976562,3.14321e-9,1.2049e-8
131072,4096,4,12,0,1.30551,4.80251,5.15241,0.0735192,1.44946e-8,0.000976562,0.000976532,0.00226458
131072,4096,6,2,0,0.667472,6.674,2.63392,0.0711528,4.27852e-9,0.000976562,5.23901e-10,1.13512e-8
131072,4096,8,8,0,0.888406,8.67406,3.50622,0.0704993,6.0536e-9,0.000976562,4.19095e-9,1.90921e-8
131072,4096,12,4,0,1.32253,12.6742,5.20005,0.0786853,1.25736e-8,0.000976562,8.73168e-10,1.44946e-8
131072,8192,1,3,0,0.349474,1.68137,1.37914,0.0665009,3.66714e-9,0.000488281,0.000453071,0.000577149
131072,8192,2,2,0,0.266402,2.65212,1.05153,0.0671443,1.01863e-9,0.000488281,4.82302e-5,4.82348e-5
131072,8192,2,6,0,0.666892,2.71277,2.59331,0.0680152,1.39707e-9,0.000488281,0.000488268,0.00111688
131072,8192,3,1,0,0.348459,3.6495,1.3754,0.0653226,1.13507e-9,0.000488281,4.36564e-10,6.46115e-9
131072,8192,4,4,0,0.450059,4.64953,1.7765,0.0662055,1.68802e-9,0.000488281,1.28057e-9,8.09086e-9
131072,8192,4,12,0,1.29157,4.7712,5.09852,0.0709344,4.01657e-9,0.000488281,0.000488271,0.00193672
131072,8192,6,2,0,0.660692,6.64959,2.60797,0.0683505,2.00829e-9,0.000488281,5.23901e-10,1.10019e-8
131072,8192,8,8,0,0.868214,8.64968,3.42609,0.0665539,3.45754e-8,0.000488281,5.88712e-7,6.04079e-7
131072,8192,12,4,0,1.28549,12.6498,5.0721,0.06675,2.95131e-8,0.000488281,8.73168e-10,1.67648e-8
131072,16384,1,3,0,0.358206,1.66742,1.34322,0.0647175,2.16099e-8,0.000244141,0.00024313,0.000535282
131072,16384,2,2,0,0.258282,2.64007,0.99558,0.0647028,6.19912e-9,0.000244141,5.0956e-5,5.09662e-5
131072,16384,2,6,0,0.657546,2.69782,2.55669,0.0654502,3.84194e-9,0.000244141,0.000243815,0.000965022
131072,16384,3,1,0,0.33358,3.63729,1.31649,0.0638075,2.22648e-9,0.000244141,5.23877e-10,6.28652e-9
131072,16384,4,4,0,0.441255,4.63732,1.73669,0.0648381,4.42378e-9,0.000244141,1.17579e-8,1.9616e-8
131072,16384,4,12,0,1.27994,4.75218,5.03477,0.0662659,9.13334e-8,0.000244141,0.000244135,0.00151656
131072,16384,6,2,0,0.65212,6.63738,2.57405,0.0659369,1.00414e-8,0.000244141,6.98535e-10,1.11766e-8
