CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.161619,0.502965,0.578683,0.144372,4.50688e-6,6.10352e-5,4.07454e-10,9.25502e-9
0,2,0.158543,0.502961,0.567391,0.144169,4.75888e-6,6.10352e-5,3.88051e-11,1.35818e-9
0,3,0.157639,0.502954,0.564437,0.14447,3.75092e-6,6.10352e-5,3.88051e-11,1.16415e-9
0,4,0.154265,0.502954,0.552119,0.144068,3.75319e-6,6.10352e-5,2.52233e-10,1.29997e-9
0,5,0.152672,0.502954,0.546351,0.144341,3.0254e-6,6.10352e-5,1.94026e-11,8.14907e-10
0,6,0.157298,0.502967,0.562622,0.144629,3.76462e-6,6.10352e-5,3.88051e-11,1.26117e-9
0,7,0.160275,0.50296,0.573781,0.144365,3.96763e-6,6.10352e-5,3.88051e-11,1.26117e-9
1,0,0.164045,0.50296,0.587863,0.142941,4.70366e-6,6.10352e-5,1.74623e-10,2.11488e-9
1,2,0.160531,0.502954,0.574843,0.142866,4.41612e-6,6.10352e-5,3.88051e-11,1.16415e-9
1,3,0.153406,0.50296,0.54932,0.143088,3.72907e-6,6.10352e-5,5.82077e-11,1.41639e-9
1,4,0.151858,0.50296,0.54369,0.142784,3.45932e-6,6.10352e-5,1.94026e-11,8.3431e-10
1,5,0.152177,0.502954,0.545057,0.143114,3.23468e-6,6.10352e-5,3.88051e-11,1.04774e-9
1,6,0.155509,0.502967,0.557037,0.14375,3.73414e-6,6.10352e-5,1.94026e-11,8.53712e-10
1,7,0.158374,0.502954,0.56755,0.144166,3.94914e-6,6.10352e-5,1.94026e-11,8.14907e-10
2,0,0.160252,0.502954,0.574093,0.141837,3.81252e-6,6.10352e-5,3.68649e-10,3.60887e-9
2,1,0.161596,0.502966,0.578988,0.142098,3.89095e-6,6.10352e-5,4.85064e-10,1.00505e-8
2,3,0.151679,0.50296,0.543165,0.140762,3.72609e-6,6.10352e-5,5.82077e-11,1.5328e-9
2,4,0.150014,0.502954,0.536821,0.141315,3.4586e-6,6.10352e-5,3.88051e-11,1.28057e-9
2,5,0.150073,0.502954,0.537701,0.141185,3.33419e-6,6.10352e-5,3.88051e-11,1.22236e-9
2,6,0.153128,0.502954,0.548459,0.141412,3.4689e-6,6.10352e-5,3.88051e-10,3.22082e-9
2,7,0.155982,0.50296,0.558738,0.141766,3.76666e-6,6.10352e-5,3.88051e-11,1.31937e-9
3,0,0.162569,0.502961,0.582226,0.142913,4.4888e-6,6.10352e-5,2.32831e-10,2.98799e-9
3,1,0.157257,0.502965,0.563512,0.142835,4.44623e-6,6.10352e-5,4.26856e-10,9.46845e-9
3,2,0.153648,0.50296,0.550297,0.14253,3.99755e-6,6.10352e-5,5.82077e-11,1.494e-9
3,4,0.150682,0.502954,0.539659,0.142823,3.46407e-6,6.10352e-5,1.94026e-11,8.14907e-10
3,5,0.149789,0.502961,0.536276,0.142574,3.89442e-6,6.10352e-5,3.88051e-11,1.39698e-9
3,6,0.151916,0.50296,0.544375,0.143097,3.89405e-6,6.10352e-5,3.88051e-11,1.33878e-9
3,7,0.15691,0.50296,0.561557,0.142116,4.47087e-6,6.10352e-5,3.88051e-11,1.29997e-9
4,0,0.161072,0.502961,0.576509,0.14337,4.50108e-6,6.10352e-5,5.04466e-10,5.00586e-9
4,1,0.156916,0.502967,0.561898,0.143034,4.28517e-6,6.10352e-5,5.82077e-11,1.494e-9
4,2,0.154456,0.502954,0.552083,0.14257,3.87785e-6,6.10352e-5,1.74623e-10,1.5328e-9
4,3,0.152424,0.502977,0.546068,0.142661,3.74729e-6,6.10352e-5,2.91038e-10,3.08501e-9
4,5,0.149818,0.502954,0.536881,0.142617,3.23856e-6,6.10352e-5,1.94026e-11,8.14907e-10
4,6,0.154094,0.50296,0.551964,0.142356,4.04336e-6,6.10352e-5,1.94026e-11,8.3431e-10
4,7,0.159286,0.502954,0.570485,0.142642,4.1587e-6,6.10352e-5,1.94026e-11,8.14907e-10
5,0,0.1605,0.502954,0.575046,0.142444,4.49771e-6,6.10352e-5,2.32831e-10,2.32831e-9
5,1,0.157399,0.50296,0.563824,0.142222,4.51135e-6,6.10352e-5,2.71636e-10,2.32831e-9
5,2,0.154136,0.502954,0.552456,0.141665,3.33412e-6,6.10352e-5,2.91038e-10,2.2507e-9
5,3,0.153603,0.50296,0.549183,0.14118,4.34462e-6,6.10352e-5,1.94026e-11,8.3431e-10
5,4,0.149694,0.502954,0.536337,0.141113,3.3378e-6,6.10352e-5,3.88051e-11,1.24176e-9
5,6,0.159059,0.50296,0.569327,0.141875,4.4181e-6,6.10352e-5,5.62674e-10,2.89098e-9
5,7,0.157335,0.50296,0.563796,0.141571,4.24708e-6,6.10352e-5,3.88051e-11,1.31937e-9
6,0,0.163485,0.50296,0.585802,0.142958,4.56331e-6,6.10352e-5,1.94026e-10,2.19249e-9
6,1,0.160075,0.50296,0.573524,0.143494,4.90698e-6,6.10352e-5,3.88051e-11,1.22236e-9
6,2,0.157099,0.502954,0.562552,0.142918,4.0154e-6,6.10352e-5,5.82077e-11,1.10595e-9
6,3,0.154021,0.50296,0.551645,0.142579,4.20921e-6,6.10352e-5,7.76102e-11,1.20296e-9
6,4,0.152258,0.50296,0.545562,0.14212,3.53223e-6,6.10352e-5,3.88051e-11,1.31937e-9
6,5,0.157371,0.502954,0.563739,0.143065,3.87615e-6,6.10352e-5,1.94026e-11,8.14907e-10
6,7,0.160628,0.50296,0.575475,0.14222,4.34474e-6,6.10352e-5,3.88051e-11,1.24176e-9
7,0,0.165033,0.50296,0.590561,0.144758,4.60531e-6,6.10352e-5,1.5522e-10,1.80444e-9
7,1,0.161694,0.502961,0.579264,0.144266,4.78114e-6,6.10352e-5,5.82077e-11,1.59101e-9
7,2,0.15767,0.502954,0.564892,0.143982,3.96443e-6,6.10352e-5,1.94026e-11,8.14907e-10
7,3,0.156221,0.502954,0.559921,0.144431,3.9289e-6,6.10352e-5,5.82077e-11,1.494e-9
7,4,0.15593,0.502954,0.558671,0.14442,3.95469e-6,6.10352e-5,1.94026e-11,8.14907e-10
7,5,0.153776,0.502961,0.551003,0.144517,3.55416e-6,6.10352e-5,3.88051e-11,1.39698e-9
7,6,0.157851,0.502954,0.564852,0.144691,4.29324e-6,6.10352e-5,1.94026e-11,8.14907e-10
