CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.162369,0.753347,0.579671,0.10507,2.30594e-6,6.48494e-5,1.24273e-7,3.19191e-7
0,2,0.158748,0.75337,0.56857,0.103377,2.5377e-6,6.48498e-5,1.48721e-7,3.25866e-7
0,3,0.157889,0.753349,0.565488,0.104455,2.60281e-6,6.48498e-5,1.51786e-7,3.05202e-7
0,4,0.154314,0.753341,0.552472,0.104787,2.49579e-6,6.48497e-5,7.86968e-8,1.94937e-7
0,5,0.153983,0.753358,0.551643,0.103883,2.92862e-6,6.48497e-5,1.52892e-7,2.96723e-7
0,6,0.157476,0.753348,0.563821,0.106187,2.57565e-6,6.48497e-5,1.2536e-7,2.73886e-7
0,7,0.160805,0.753339,0.575919,0.107096,2.32978e-6,6.48498e-5,4.75751e-8,1.51883e-7
1,0,0.164631,0.753382,0.589024,0.106222,3.05231e-6,6.48489e-5,4.17349e-7,7.51946e-7
1,2,0.16098,0.753375,0.576592,0.10448,2.40648e-6,6.48494e-5,3.11586e-7,5.28409e-7
1,3,0.154734,0.753369,0.553781,0.104121,2.38942e-6,6.48496e-5,2.87604e-7,5.79186e-7
1,4,0.151754,0.753331,0.543775,0.105083,2.62478e-6,6.48498e-5,4.79437e-8,1.03532e-7
1,5,0.152528,0.753324,0.545958,0.104733,1.99156e-6,6.48497e-5,3.03262e-8,6.27673e-8
1,6,0.156228,0.753341,0.559262,0.105895,2.16649e-6,6.48493e-5,6.36792e-8,1.30715e-7
1,7,0.159028,0.753332,0.569391,0.107085,3.01347e-6,6.48496e-5,3.5235e-8,8.33146e-8
2,0,0.160853,0.75335,0.575671,0.105484,2.55714e-6,6.48489e-5,1.7571e-7,3.45559e-7
2,1,0.161932,0.753333,0.579814,0.105452,2.88514e-6,6.48497e-5,6.48821e-8,1.24526e-7
2,3,0.16735,0.754547,0.596669,0.102965,3.11409e-6,6.48497e-5,9.13214e-6,2.03213e-5
2,4,0.149737,0.753336,0.535877,0.104519,2.40993e-6,6.48498e-5,2.38457e-8,5.80912e-8
2,5,0.150514,0.753329,0.538972,0.104434,2.5435e-6,6.48498e-5,6.6997e-8,1.3444e-7
2,6,0.153915,0.753353,0.551029,0.105628,2.69207e-6,6.48495e-5,1.34887e-7,2.67445e-7
2,7,0.156931,0.753348,0.561431,0.106522,2.45213e-6,6.48495e-5,2.42668e-7,4.15933e-7
3,0,0.163085,0.753368,0.583527,0.106291,2.82975e-6,6.4849e-5,2.65291e-7,5.6572e-7
3,1,0.157598,0.753372,0.564161,0.104309,2.57879e-6,6.48494e-5,3.15893e-7,5.76101e-7
3,2,0.153899,0.753353,0.551184,0.103252,2.05834e-6,6.48498e-5,1.16163e-7,2.61896e-7
3,4,0.150943,0.753341,0.540398,0.104475,2.27167e-6,6.48496e-5,1.36788e-7,2.62167e-7
3,5,0.149899,0.753336,0.536756,0.104249,2.57976e-6,6.48498e-5,8.96786e-8,2.11934e-7
3,6,0.153448,0.753348,0.549388,0.104807,2.85924e-6,6.48493e-5,1.49167e-7,3.0334e-7
3,7,0.157604,0.75335,0.563941,0.10657,2.98784e-6,6.48497e-5,1.5165e-7,3.03301e-7
