CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.195899,0.253248,0.775716,0.0627532,4.90885e-7,6.10352e-5,2.77418e-6,3.62038e-6
0,2,0.188952,0.253279,0.745627,0.0627152,8.11609e-8,6.10352e-5,3.14207e-6,4.27733e-6
0,3,0.191026,0.253294,0.756495,0.0627331,1.53862e-8,6.10352e-5,3.44504e-6,4.49262e-6
0,4,0.20036,0.253376,0.787661,0.0628017,1.37564e-8,6.10352e-5,4.48789e-6,6.03813e-6
0,5,0.193701,0.25361,0.75574,0.0627826,3.36207e-7,6.10352e-5,5.2077e-6,9.981e-6
0,6,0.191812,0.253683,0.754835,0.0627706,1.3446e-8,6.10352e-5,6.1257e-6,1.13038e-5
0,7,0.199213,0.253576,0.781696,0.0628065,2.13816e-8,6.10352e-5,6.28385e-6,9.59716e-6
0,8,0.201635,0.254989,0.774247,0.0627912,4.95968e-7,6.10352e-5,1.56379e-5,3.40654e-5
0,9,0.192955,0.253227,0.761397,0.0627411,1.68996e-8,6.10352e-5,2.57629e-6,3.31363e-6
1,0,0.186521,0.253208,0.736109,0.062734,1.21654e-8,6.10352e-5,1.93993e-6,2.85396e-6
1,2,0.190621,0.254543,0.743269,0.0628388,9.68964e-8,6.10352e-5,1.65829e-5,2.74468e-5
1,3,0.186159,0.253964,0.737055,0.062844,6.15468e-7,6.10352e-5,1.16513e-5,1.71828e-5
1,4,0.191144,0.253672,0.74825,0.0627607,1.22042e-7,6.10352e-5,7.02993e-6,1.14015e-5
1,5,0.187149,0.253789,0.735675,0.0627764,5.21541e-7,6.10352e-5,8.30282e-6,1.34943e-5
1,6,0.184582,0.253651,0.728403,0.0627939,3.08481e-7,6.10352e-5,7.59622e-6,1.11575e-5
1,7,0.185083,0.25332,0.73048,0.0627452,1.15484e-7,6.10352e-5,3.39486e-6,4.91189e-6
1,8,0.192456,0.254782,0.746247,0.0628187,2.3415e-7,6.10352e-5,1.79682e-5,3.13997e-5
