CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.196182,0.252846,0.776986,0.0626422,5.58056e-7,6.10352e-5,1.16415e-10,2.19249e-9
0,2,0.189255,0.252845,0.746958,0.0625871,4.11334e-9,6.10352e-5,1.94026e-11,8.53712e-10
0,3,0.19132,0.252845,0.757794,0.0625921,4.40438e-9,6.10352e-5,3.88051e-11,1.00893e-9
0,4,0.200604,0.252838,0.788702,0.062658,1.39698e-8,6.10352e-5,3.88051e-11,1.22236e-9
0,5,0.193956,0.252838,0.756829,0.062677,4.24062e-7,6.10352e-5,1.94026e-11,8.3431e-10
0,6,0.192079,0.252838,0.755927,0.062644,1.0652e-8,6.10352e-5,1.94026e-11,8.3431e-10
0,7,0.199493,0.252845,0.782884,0.0626696,9.56546e-9,6.10352e-5,3.88051e-11,1.26117e-9
0,8,0.201934,0.252845,0.775468,0.062668,1.99652e-8,6.10352e-5,1.94026e-11,8.53712e-10
0,9,0.193203,0.252838,0.762462,0.0625895,6.46105e-9,6.10352e-5,5.82077e-11,1.22236e-9
1,0,0.186763,0.252838,0.737203,0.0626531,8.14907e-10,6.10352e-5,3.88051e-11,1.26117e-9
1,2,0.190885,0.252846,0.744377,0.062747,4.42378e-9,6.10352e-5,3.88051e-11,1.41639e-9
1,3,0.186413,0.252838,0.738128,0.062768,5.27555e-7,6.10352e-5,1.94026e-11,8.3431e-10
1,4,0.191444,0.252846,0.749511,0.0626711,2.66009e-8,6.10352e-5,3.88051e-11,1.33878e-9
1,5,0.187424,0.252846,0.736866,0.0626912,4.05513e-9,6.10352e-5,3.88051e-11,1.37758e-9
1,6,0.184865,0.252846,0.72959,0.0627176,1.6531e-8,6.10352e-5,7.76102e-11,1.39698e-9
1,7,0.185348,0.252846,0.731607,0.0626628,7.31476e-9,6.10352e-5,3.88051e-11,1.41639e-9
1,8,0.192722,0.252846,0.74735,0.0627467,1.4843e-8,6.10352e-5,3.88051e-11,1.41639e-9
1,9,0.185268,0.252845,0.731372,0.0627159,1.12535e-9,6.10352e-5,3.88051e-11,1.26117e-9
2,0,0.182909,0.252845,0.721905,0.0627246,1.2146e-8,6.10352e-5,7.567e-10,2.23129e-9
2,1,0.20443,0.252838,0.775371,0.0627069,7.78042e-9,6.10352e-5,9.70128e-11,1.95966e-9
2,3,0.182879,0.252845,0.724046,0.0627117,2.61934e-8,6.10352e-5,1.94026e-11,8.53712e-10
2,4,0.190078,0.252845,0.740305,0.0627232,6.38014e-7,6.10352e-5,3.88051e-11,1.08654e-9
2,5,0.184357,0.252845,0.725205,0.062684,5.31572e-7,6.10352e-5,3.88051e-11,1.16415e-9
2,6,0.182795,0.252838,0.721532,0.0627143,8.55653e-9,6.10352e-5,1.94026e-11,8.3431e-10
2,7,0.185547,0.252838,0.730496,0.0627678,4.15215e-8,6.10352e-5,3.88051e-11,1.18356e-9
2,8,0.182704,0.252838,0.721085,0.0626261,3.7641e-9,6.10352e-5,1.94026e-11,8.3431e-10
