CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.201811,0.254976,0.788604,0.0627964,9.0804e-9,6.48503e-5,1.09396e-5,1.99955e-5
0,2,0.188831,0.254119,0.745297,0.0627552,3.61858e-8,6.48496e-5,4.15789e-6,5.6905e-6
0,3,0.190702,0.254239,0.754518,0.0627708,1.32849e-7,6.48503e-5,5.61935e-6,7.63293e-6
0,4,0.198979,0.254031,0.782495,0.0626315,1.32713e-8,6.48505e-5,3.07907e-6,4.14142e-6
0,5,0.198967,0.255328,0.76703,0.0627693,1.60574e-6,6.48499e-5,1.47682e-5,2.57058e-5
0,6,0.198101,0.255451,0.763169,0.0627183,7.8658e-8,6.48497e-5,1.8133e-5,2.83523e-5
0,7,0.198165,0.254359,0.766834,0.0626618,5.3551e-8,6.48506e-5,6.72976e-6,9.63573e-6
0,8,0.190697,0.254184,0.752473,0.0627412,7.80953e-8,6.48506e-5,4.98518e-6,6.78614e-6
0,9,0.193153,0.254029,0.762269,0.0628463,4.45871e-8,6.48504e-5,3.13557e-6,4.21932e-6
1,0,0.18734,0.254023,0.734159,0.0626254,7.39819e-8,6.48512e-5,2.91263e-6,4.11939e-6
1,2,0.183747,0.254471,0.725159,0.0626981,2.90068e-8,6.48492e-5,8.1539e-6,1.17166e-5
1,3,0.184998,0.254565,0.732466,0.0627523,2.176e-7,6.4848e-5,9.21113e-6,1.31454e-5
1,4,0.18767,0.2541,0.737894,0.0626316,5.60928e-8,6.48506e-5,3.7073e-6,5.34379e-6
1,5,0.183581,0.254247,0.724609,0.0626394,3.37216e-8,6.485e-5,5.56933e-6,7.92387e-6
1,6,0.184349,0.254487,0.727626,0.0626981,4.3714e-8,6.48483e-5,8.39058e-6,1.19545e-5
1,7,0.193058,0.254978,0.748105,0.0626551,2.51088e-7,6.48503e-5,1.3082e-5,2.02807e-5
1,8,0.184365,0.25451,0.727615,0.0627851,1.38961e-7,6.48474e-5,8.39378e-6,1.22981e-5
1,9,0.184575,0.254315,0.72848,0.0626833,9.5771e-8,6.48485e-5,6.31675e-6,8.99663e-6
2,0,0.181482,0.254042,0.716367,0.0627199,7.74162e-9,6.4851e-5,3.13889e-6,4.50157e-6
2,1,0.193631,0.255714,0.74867,0.0628037,2.24224e-6,6.485e-5,1.65905e-5,3.19025e-5
2,3,0.183161,0.254508,0.725174,0.0627014,1.59237e-7,6.48487e-5,8.45563e-6,1.21914e-5
2,4,0.185594,0.254433,0.723535,0.0626534,1.27029e-7,6.48504e-5,7.4773e-6,1.08796e-5
2,5,0.182708,0.253837,0.721188,0.0626203,3.75439e-8,6.48515e-5,7.05826e-7,1.03196e-6
2,6,0.18874,0.254866,0.723587,0.0626978,7.10211e-7,6.48506e-5,8.11079e-6,1.75636e-5
2,7,0.184312,0.254613,0.721222,0.0626779,4.76139e-8,6.48501e-5,9.41309e-6,1.41155e-5
