CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
0,1,0.201811,0.253883,0.788651,0.0627325,3.45365e-9,6.5018e-5,6.20758e-6,6.20816e-6
0,2,0.189106,0.254023,0.746516,0.0626184,4.03573e-9,6.51424e-5,7.66317e-6,7.66451e-6
0,3,0.190975,0.253962,0.755671,0.062734,7.1772e-7,6.50469e-5,6.65746e-6,6.65898e-6
0,4,0.199257,0.253933,0.783668,0.0625293,2.01787e-9,6.50126e-5,6.28732e-6,6.28858e-6
0,5,0.199245,0.25394,0.768197,0.0627217,2.5233e-6,6.50274e-5,6.32921e-6,6.33061e-6
0,6,0.198376,0.253978,0.764285,0.062659,2.33607e-8,6.50707e-5,6.92524e-6,6.92656e-6
0,7,0.198441,0.253987,0.767972,0.0626809,6.07513e-7,6.50847e-5,7.08112e-6,7.08246e-6
0,8,0.190969,0.254011,0.753617,0.0626141,5.7645e-8,6.51219e-5,7.49321e-6,7.49443e-6
0,9,0.193428,0.253974,0.763488,0.0627548,2.41562e-8,6.50769e-5,6.91534e-6,6.9173e-6
1,0,0.187613,0.254039,0.735356,0.0626957,1.96858e-7,6.51771e-5,7.94112e-6,7.9424e-6
1,2,0.184024,0.254026,0.726344,0.0626551,1.39504e-8,6.51365e-5,7.71021e-6,7.71156e-6
1,3,0.185271,0.254086,0.733593,0.0627702,6.98686e-8,6.52002e-5,8.53899e-6,8.54048e-6
1,4,0.187943,0.254008,0.739058,0.0625814,4.98646e-9,6.51255e-5,7.38523e-6,7.38675e-6
1,5,0.183858,0.254072,0.725784,0.0625977,8.07146e-9,6.52058e-5,8.42517e-6,8.42655e-6
1,6,0.184622,0.254113,0.72878,0.0627526,2.76131e-6,6.52352e-5,9.03903e-6,9.04031e-6
1,7,0.193332,0.254024,0.749246,0.0626285,1.29997e-8,6.51468e-5,7.64695e-6,7.64825e-6
1,8,0.184636,0.254053,0.728766,0.0627073,6.22822e-9,6.51602e-5,8.12761e-6,8.12878e-6
1,9,0.184849,0.254186,0.729676,0.0626394,1.07219e-7,6.53281e-5,1.01393e-5,1.01417e-5
2,0,0.181759,0.254006,0.717596,0.0627821,1.5522e-9,6.51403e-5,7.42427e-6,7.42563e-6
