Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.275598,0.474474,1.26662,0.114848,1.90455e-7,0.015625,0.000111702,0.000111904
16384,512,0.126486,0.245583,0.581417,0.03184,7.22163e-8,0.0078125,0.00021929,0.000219528
16384,1024,0.0952845,0.129637,0.437982,0.0192295,6.06524e-8,0.00390625,0.00024215,0.00024377
16384,2048,0.0820586,0.0710688,0.377149,0.0196,5.62674e-8,0.00195312,0.000244153,0.000244379
16384,4096,0.0746346,0.0418908,0.343019,0.0070292,9.27054e-8,0.000976562,0.000244196,0.000246654
32768,512,0.140769,0.236772,0.647053,0.0648635,1.00214e-7,0.0078125,4.6691e-5,4.67749e-5
32768,1024,0.0672357,0.122519,0.309036,0.018654,2.48159e-8,0.00390625,0.000104347,0.000104477
32768,2048,0.0481704,0.0648332,0.221424,0.00946903,2.46606e-8,0.00195312,0.000121426,0.000122113
32768,4096,0.0410197,0.0355358,0.188556,0.00906576,2.90844e-8,0.000976562,0.000122072,0.000122152
32768,8192,0.0380074,0.0209093,0.174659,0.00443117,8.49638e-8,0.000488281,0.000122072,0.000122531
65536,1024,0.0780997,0.11849,0.358899,0.0319728,1.143e-7,0.00390625,2.52752e-5,2.5336e-5
65536,2048,0.0335009,0.0610977,0.153981,0.00971242,1.47653e-8,0.00195312,4.88795e-5,4.89239e-5
65536,4096,0.0226267,0.0324237,0.104003,0.00414632,1.77339e-8,0.000976562,6.10262e-5,6.11366e-5
65536,8192,0.0205396,0.0177727,0.0944022,0.00465567,1.61429e-8,0.000488281,6.10377e-5,6.10886e-5
65536,16384,0.0192552,0.0104503,0.0884814,0.00231559,1.24564e-8,0.000244141,6.10361e-5,6.11217e-5
131072,2048,0.035602,0.0592409,0.163621,0.0120111,3.86693e-8,0.00195312,1.24971e-5,1.25188e-5
131072,4096,0.015786,0.030714,0.0725502,0.0040022,1.63564e-8,0.000976562,2.75981e-5,2.76195e-5
131072,8192,0.0119137,0.0162145,0.0547617,0.0023846,5.08347e-9,0.000488281,3.0427e-5,3.05372e-5
131072,16384,0.0105562,0.00889166,0.0485116,0.00267374,1.15639e-8,0.000244141,3.05188e-5,3.05603e-5
131072,32768,0.00959244,0.005247,0.044088,0.00110541,1.16803e-8,0.00012207,3.0518e-5,3.08831e-5
262144,4096,0.0195066,0.0295765,0.089655,0.00853166,1.07684e-8,0.000976562,5.31318e-6,5.32146e-6
262144,8192,0.00853399,0.0153117,0.0392121,0.00245064,1.04968e-8,0.000488281,1.29746e-5,1.29947e-5
262144,16384,0.00595739,0.00811974,0.0273731,0.0012093,1.20878e-8,0.000244141,1.53348e-5,1.54302e-5
262144,32768,0.00514322,0.00444802,0.0236319,0.00119378,1.10789e-8,0.00012207,1.52589e-5,1.52797e-5
262144,65536,0.00481971,0.00263311,0.0221477,0.000499277,9.27442e-9,6.10352e-5,1.52589e-5,1.55757e-5
524288,8192,0.00849239,0.0148469,0.0390235,0.00364011,9.0804e-9,0.000488281,3.75806e-6,3.76268e-6
524288,16384,0.0040751,0.00767297,0.0187174,0.00107791,5.21929e-9,0.000244141,6.7646e-6,6.77137e-6
524288,32768,0.00302673,0.00405936,0.0139068,0.000604744,6.42225e-9,0.00012207,7.60004e-6,7.63007e-6
