Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.0809261,0.0692078,0.371985,0.0180699,9.59456e-8,0.00195312,0.000244138,0.000245521
32768,0.0411012,0.0345914,0.188933,0.0101807,3.82036e-8,0.000976562,0.000122075,0.000122186
65536,0.0206208,0.0173146,0.0947819,0.00490831,3.19948e-8,0.000488281,6.10354e-5,6.10931e-5
131072,0.0108362,0.00872042,0.049797,0.00253921,1.64728e-8,0.000244141,3.05185e-5,3.07032e-5
262144,0.00543028,0.00435761,0.0249519,0.0011392,8.61473e-9,0.00012207,1.52583e-5,1.5269e-5
524288,0.00285232,0.00219781,0.0131058,0.000601616,9.54606e-9,6.10352e-5,7.6287e-6,7.64344e-6
1048576,0.00160334,0.00111949,0.00736369,0.000259218,1.77921e-8,3.05176e-5,3.80837e-6,3.84632e-6
2097152,0.000936238,0.000577661,0.00429796,0.000142234,2.85218e-9,1.52588e-5,1.90731e-6,1.91214e-6
4194304,0.000623243,0.000308271,0.0028613,7.93055e-5,3.33724e-9,7.62939e-6,9.53597e-7,9.56197e-7
8388608,0.000455751,0.000173507,0.00209203,3.57101e-5,2.17309e-9,3.8147e-6,4.76779e-7,4.90807e-7
16777216,0.000379892,0.000105794,0.00174279,1.88369e-5,5.06407e-9,1.90735e-6,2.38322e-7,2.40533e-7
33554432,0.000334134,7.13421e-5,0.00153248,9.6773e-6,2.92979e-9,9.53674e-7,1.1919e-7,1.20393e-7
67108864,0.000313673,5.43717e-5,0.00143903,5.27321e-6,2.65815e-9,4.76837e-7,5.95852e-8,6.07688e-8
134217728,0.000307171,4.64217e-5,0.00140866,2.15174e-6,3.18202e-9,2.38419e-7,2.97829e-8,3.12575e-8
268435456,0.000376041,5.16805e-5,0.00172522,1.14867e-6,4.44318e-9,1.19209e-7,1.48818e-8,1.62981e-8
