Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.156427,0.115221,0.718601,0.00560072,9.29382e-8,0.00226607,0.000414219,0.00051293
32768,0.0782405,0.0571281,0.359613,0.00318802,5.37645e-8,0.00110834,0.000181074,0.000255187
65536,0.0372263,0.0465737,0.171093,0.00188813,2.02563e-8,0.00104577,0.000119245,0.000120572
131072,0.0203457,0.0420264,0.0935016,0.000680379,2.97635e-8,0.0010207,6.03991e-5,6.05578e-5
262144,0.0115674,0.0390824,0.0531649,0.0005744,1.98488e-8,0.000996825,2.73803e-5,2.74099e-5
524288,0.00720114,0.038079,0.0330867,0.000291951,1.0361e-8,0.00098693,1.44175e-5,1.44323e-5
1048576,0.00497495,0.0367945,0.0228578,0.000429604,2.42338e-8,0.000980431,9.56274e-7,9.69429e-7
2097152,0.00350603,0.0365185,0.0161054,0.000119188,1.23012e-8,0.00097847,1.07834e-6,1.0854e-6
4194304,0.00336979,0.0368417,0.0154862,0.000156205,8.3625e-9,0.000977515,1.88205e-9,3.74469e-9
8388608,0.00316417,0.0362883,0.0145329,6.71524e-5,1.38728e-8,0.000977039,2.7377e-8,3.33336e-8
16777216,0.00284274,0.0364966,0.0130637,3.207e-5,5.3163e-9,0.000976801,1.39698e-9,2.56114e-9
33554432,0.00282041,0.0364117,0.0129574,1.64492e-5,7.76102e-9,0.000976682,1.43579e-9,3.74469e-9
67108864,0.00281577,0.036206,0.0129283,2.11176e-5,1.48818e-8,0.000976622,5.72375e-9,8.63414e-9
134217728,0.00282507,0.0362304,0.0129816,3.40469e-5,6.01479e-9,0.000976592,5.62674e-10,3.31784e-9
268435456,0.00287305,0.0364078,0.0131963,3.0793e-5,5.41331e-9,0.000976577,9.50725e-10,3.10441e-9
