Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.178805,0.660466,0.821834,0.00695868,7.07805e-8,0.0159021,0.000489571,0.000489959
16384,512,0.16142,0.3531,0.742003,0.00795164,6.02449e-8,0.00812558,0.00048545,0.000486206
16384,1024,0.157515,0.200271,0.723918,0.00620188,1.07645e-7,0.00415526,0.000301832,0.000495126
16384,2048,0.152935,0.123276,0.702877,0.00510872,1.16765e-7,0.00221376,0.000360626,0.000508001
16384,4096,0.188921,0.0915967,0.867955,0.00382722,9.43158e-8,0.00121918,0.000248122,0.000595523
32768,512,0.0876697,0.33109,0.40297,0.00329042,5.23481e-8,0.00797116,0.000244309,0.000244447
32768,1024,0.0805083,0.176895,0.369995,0.00394306,5.7936e-8,0.0040719,0.000242579,0.000242872
32768,2048,0.0800014,0.100286,0.367732,0.00274037,4.45289e-8,0.00207302,0.000130123,0.000248827
32768,4096,0.0758717,0.0627846,0.348674,0.00292524,4.29379e-8,0.00114237,0.000211053,0.000251783
32768,8192,0.0939162,0.0458426,0.431589,0.0017845,6.34658e-8,0.000610414,0.000124633,0.000297198
65536,1024,0.045437,0.165247,0.208848,0.00209168,3.0559e-8,0.00399088,0.000121422,0.000121486
65536,2048,0.0404296,0.0886616,0.185811,0.00169613,2.53203e-8,0.00203874,0.000121353,0.000121975
65536,4096,0.0380458,0.0497311,0.174839,0.00154913,2.33995e-8,0.00104619,0.000119684,0.000122345
65536,8192,0.0387379,0.0308877,0.178038,0.00124003,3.50992e-8,0.000553706,9.05234e-5,0.000127878
65536,16384,0.0363663,0.0209472,0.167134,0.00210534,3.82618e-8,0.000314557,0.000115514,0.000124609
131072,2048,0.0223955,0.082888,0.102928,0.000962201,2.04309e-8,0.00199359,6.07905e-5,6.08412e-5
131072,4096,0.0201343,0.0443208,0.0925254,0.000747989,2.05861e-8,0.00101026,5.59293e-5,6.10736e-5
131072,8192,0.0188189,0.0249863,0.0864769,0.00108208,2.2507e-8,0.000523492,5.86987e-5,6.1298e-5
131072,16384,0.0192494,0.0154017,0.0884613,0.000733904,2.21383e-8,0.000279865,5.27985e-5,6.26349e-5
131072,32768,0.0276709,0.0122157,0.127164,0.00077443,2.26816e-8,0.000153377,3.2052e-5,8.32732e-5
262144,4096,0.0116359,0.0414225,0.0534636,0.000525237,1.71519e-8,0.000997211,3.03982e-5,3.04159e-5
262144,8192,0.0103922,0.0221721,0.0477341,0.000466163,1.99264e-8,0.000509343,3.03886e-5,3.04149e-5
262144,16384,0.00968602,0.012527,0.0445011,0.000442076,3.06366e-8,0.000262787,2.90469e-5,3.05512e-5
262144,32768,0.00941039,0.00770008,0.0432485,0.000372287,1.57937e-8,0.000139897,2.68413e-5,3.06896e-5
262144,65536,0.012647,0.00583182,0.0581183,0.000410697,1.77145e-8,7.69964e-5,1.79985e-5,3.71758e-5
524288,8192,0.00595865,0.0207151,0.0273714,0.000347261,1.62593e-8,0.000497133,1.51119e-5,1.51212e-5
524288,16384,0.00538272,0.011115,0.0247266,0.000218901,1.31549e-8,0.000254444,1.51567e-5,1.52547e-5
524288,32768,0.00529979,0.00633151,0.0243479,0.000181088,1.91115e-8,0.000129714,7.98304e-6,1.54372e-5
524288,65536,0.00491087,0.00384578,0.0225576,0.000177257,1.44549e-8,6.92531e-5,1.36495e-5,1.53955e-5
524288,131072,0.00501211,0.002684,0.0230275,0.000167742,1.58519e-8,3.87601e-5,1.28625e-5,1.60676e-5
1048576,16384,0.00315145,0.0104237,0.0144769,0.000141009,1.87623e-8,0.000248812,7.62837e-6,7.63343e-6
1048576,32768,0.00279129,0.00554293,0.0128141,0.00010766,1.60653e-8,0.000126824,7.59957e-6,7.6092e-6
1048576,65536,0.002785,0.00316702,0.0127888,0.000104401,1.53668e-8,6.50276e-5,7.32751e-6,7.66416e-6
1048576,131072,0.00278057,0.00197145,0.012777,0.000115202,1.55803e-8,3.45865e-5,6.18714e-6,7.89278e-6
1048576,262144,0.00377913,0.00156953,0.0173615,9.33237e-5,1.53474e-8,1.93939e-5,4.15966e-6,1.03061e-5
2097152,32768,0.00184332,0.00527044,0.00846503,6.05928e-5,1.06908e-8,0.000124509,3.81155e-6,3.81677e-6
2097152,65536,0.00162501,0.00280294,0.00746018,6.3218e-5,1.55803e-8,6.33575e-5,3.78703e-6,3.816e-6
2097152,131072,0.00161416,0.0016117,0.00740727,3.37424e-5,1.08266e-8,3.24255e-5,2.16752e-6,3.82372e-6
2097152,262144,0.00161046,0.00101105,0.0073895,6.031e-5,1.64728e-8,1.72554e-5,3.34721e-6,4.00096e-6
2097152,524288,0.00212538,0.00082078,0.00976414,4.53288e-5,9.77889e-9,9.65322e-6,2.03865e-6,5.33607e-6
4194304,65536,0.00108306,0.00264833,0.00497319,3.2909e-5,1.20296e-8,6.23172e-5,1.90547e-6,1.90845e-6
4194304,131072,0.00101688,0.00142077,0.00466287,1.78556e-5,1.26117e-8,3.15696e-5,1.88286e-6,1.91344e-6
4194304,262144,0.000964207,0.000832812,0.00442629,2.32017e-5,8.57593e-9,1.63263e-5,1.82933e-6,1.91024e-6
4194304,524288,0.00101763,0.000530945,0.0046695,2.3182e-5,9.0804e-9,8.58303e-6,1.85636e-6,1.91653e-6
4194304,1048576,0.00107792,0.000397776,0.00494264,1.76079e-5,1.57549e-8,4.78677e-6,1.28334e-6,2.19134e-6
8388608,131072,0.000748048,0.00135618,0.00342541,1.58219e-5,8.96398e-9,3.10581e-5,9.51501e-7,9.5608e-7
8388608,262144,0.000722657,0.000743999,0.00331408,1.4597e-5,8.3625e-9,1.58094e-5,8.12482e-7,9.56682e-7
8388608,524288,0.000700406,0.00044382,0.00321279,1.52581e-5,1.2534e-8,8.20321e-6,9.40927e-7,9.55847e-7
8388608,1048576,0.000662021,0.000285934,0.00303644,1.47936e-5,1.21848e-8,4.34918e-6,8.81827e-7,9.67993e-7
8388608,2097152,0.000752075,0.000228919,0.00344297,1.21709e-5,1.81414e-8,2.43263e-6,5.46162e-7,1.18685e-6
16777216,262144,0.000565903,0.000696971,0.00259039,8.3652e-6,1.65504e-8,1.55001e-5,4.76566e-7,4.78816e-7
16777216,524288,0.00045953,0.000381614,0.00210673,6.075e-6,1.01475e-8,7.87008e-6,4.69969e-7,4.78583e-7
16777216,1048576,0.000531941,0.000244399,0.0024378,4.86674e-6,8.73115e-9,4.0544e-6,4.54291e-7,4.78991e-7
16777216,2097152,0.000510413,0.000165396,0.00234146,8.86338e-6,1.10207e-8,2.1725e-6,4.56717e-7,4.81125e-7
16777216,4194304,0.000759676,0.000161022,0.00348408,4.29823e-6,1.41639e-8,1.19518e-6,3.78505e-7,5.38033e-7
33554432,524288,0.000489309,0.00037361,0.00224118,5.80583e-6,1.44937e-8,7.7514e-6,2.36013e-7,2.38671e-7
33554432,1048576,0.000485408,0.000223248,0.0022274,4.11821e-6,9.27442e-9,3.93866e-6,2.33083e-7,2.36828e-7
33554432,2097152,0.000457453,0.00014555,0.00209566,3.1494e-6,1.35042e-8,2.02656e-6,2.35935e-7,2.41717e-7
33554432,4194304,0.00047703,0.000110727,0.00218555,1.77968e-6,1.67056e-8,1.0729e-6,2.09218e-7,2.54659e-7
33554432,8388608,0.000437448,8.70243e-5,0.00200173,4.29611e-6,9.93411e-9,5.9624e-7,2.25846e-7,2.43735e-7
