Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.328575,0.476122,1.17422,0.100396,3.7341e-6,0.015625,0.0001439,0.000144103
16384,512,0.179209,0.245725,0.640535,0.0388521,2.1617e-6,0.0078125,0.000222113,0.000222357
16384,1024,0.136321,0.129443,0.486751,0.0189884,2.93458e-6,0.00390625,0.000238634,0.00024007
16384,2048,0.110683,0.0711381,0.395447,0.0174447,1.77194e-6,0.00195312,0.000244406,0.000245701
16384,4096,0.107831,0.0418737,0.384933,0.0088236,2.03484e-6,0.000976562,0.000244719,0.000246322
32768,512,0.176619,0.237933,0.63035,0.0488235,1.74448e-6,0.0078125,6.92623e-5,6.93799e-5
32768,1024,0.0892052,0.122702,0.319006,0.0194317,9.7785e-7,0.00390625,0.000107852,0.000107953
32768,2048,0.0621962,0.0649351,0.222858,0.0084157,6.25519e-7,0.00195312,0.000122432,0.00012411
32768,4096,0.0582426,0.0355815,0.207549,0.00757448,1.6732e-6,0.000976562,0.000122572,0.000123043
32768,8192,0.0534396,0.0209124,0.190702,0.0048711,1.2269e-6,0.000488281,0.000122085,0.000122689
65536,1024,0.099009,0.11891,0.353926,0.0304272,1.15785e-6,0.00390625,3.34647e-5,3.35326e-5
65536,2048,0.0481934,0.0614334,0.171929,0.0110127,7.10677e-7,0.00195312,5.53838e-5,5.5482e-5
65536,4096,0.0339522,0.0323475,0.121591,0.00475723,5.55418e-7,0.000976562,5.91015e-5,5.95557e-5
65536,8192,0.0290335,0.017777,0.103935,0.00483418,4.592e-7,0.000488281,6.1088e-5,6.1275e-5
65536,16384,0.0257774,0.0104737,0.0915036,0.00169544,7.17778e-7,0.000244141,6.10718e-5,6.16394e-5
131072,2048,0.0502774,0.0595354,0.180038,0.0145432,4.41796e-7,0.00195312,1.83495e-5,1.83811e-5
131072,4096,0.0251862,0.0305759,0.0897914,0.00561264,3.78971e-7,0.000976562,2.49643e-5,2.49929e-5
