Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.114174,0.0691626,0.409192,0.015408,1.25926e-6,0.00195312,0.000244182,0.00024491
32768,0.0562167,0.0345992,0.201477,0.00885127,7.69607e-7,0.000976562,0.000122182,0.00012252
65536,0.0288402,0.0173112,0.103359,0.00432525,3.91607e-7,0.000488281,6.10662e-5,6.12174e-5
131072,0.0145577,0.00868019,0.0521238,0.00223112,3.19851e-7,0.000244141,3.05602e-5,3.09842e-5
262144,0.00733211,0.00434043,0.026199,0.00112284,1.74943e-7,0.00012207,1.52887e-5,1.53332e-5
524288,0.00394477,0.00218974,0.0140619,0.000572836,7.583e-8,6.10352e-5,7.63874e-6,7.66908e-6
1048576,0.00195654,0.00110222,0.00698353,0.000257104,5.04515e-8,3.05176e-5,3.81627e-6,3.90045e-6
2097152,0.00129491,0.000577126,0.00455106,0.000131344,5.40604e-8,1.52588e-5,1.90813e-6,1.92654e-6
4194304,0.000741673,0.00029831,0.00265648,7.59691e-5,2.31666e-8,7.62939e-6,9.54504e-7,9.60601e-7
8388608,0.000473197,0.000158263,0.00169502,3.2481e-5,6.95582e-9,3.8147e-6,4.78685e-7,4.81901e-7
16777216,0.000413957,9.57658e-5,0.00148267,1.67305e-5,8.11997e-9,1.90735e-6,2.38346e-7,2.40267e-7
33554432,0.000360792,6.18991e-5,0.00129184,9.16119e-6,2.663e-9,9.53674e-7,1.19224e-7,1.20184e-7
67108864,0.00033218,4.49605e-5,0.00118899,4.46658e-6,4.03088e-9,4.76837e-7,5.95901e-8,6.03904e-8
134217728,0.000264155,3.14359e-5,0.000946112,1.96467e-6,1.99361e-9,2.38419e-7,3.00206e-8,3.12575e-8
268435456,0.000314835,3.25569e-5,0.00112738,1.12935e-6,3.18687e-9,1.19209e-7,1.48721e-8,1.59343e-8
