Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.241227,0.579866,0.86116,0.00969577,1.34685e-6,0.0158796,0.000485982,0.000486681
16384,512,0.218995,0.309888,0.781335,0.00820088,1.7077e-6,0.00808718,0.000471891,0.000479873
16384,1024,0.212629,0.174266,0.759417,0.00901348,1.13928e-6,0.00420512,0.00046168,0.000488841
16384,2048,0.219247,0.107388,0.782212,0.00582171,2.1154e-6,0.00222765,0.000362141,0.000505152
16384,4096,0.249466,0.0766482,0.887378,0.00505719,1.43191e-6,0.00122632,0.000270229,0.000564389
32768,512,0.123428,0.290443,0.441092,0.00372597,7.27363e-7,0.00797275,0.000242459,0.000242776
32768,1024,0.109326,0.155299,0.389822,0.0040923,9.52627e-7,0.00404667,0.000235682,0.000241301
32768,2048,0.107446,0.0870213,0.383309,0.00398088,4.3648e-7,0.00209678,0.00022677,0.000244828
32768,4096,0.119944,0.0551305,0.428773,0.0023363,6.8947e-7,0.00110027,0.000133324,0.000271706
32768,8192,0.119778,0.0381415,0.428157,0.00321257,1.2106e-6,0.000624208,0.000162113,0.000276829
65536,1024,0.0613004,0.144861,0.219416,0.00186759,4.74063e-7,0.00398836,0.000120168,0.000120284
65536,2048,0.0571341,0.0776057,0.203765,0.00175543,7.04041e-7,0.00203797,0.000119968,0.000122033
65536,4096,0.0529407,0.0438348,0.188274,0.0018789,4.82425e-7,0.00104777,0.000108618,0.000122453
65536,8192,0.0650522,0.0281207,0.231746,0.00110509,3.11081e-7,0.000549242,6.24196e-5,0.000144698
65536,16384,0.0670659,0.0197939,0.239755,0.00121059,1.74798e-7,0.000305004,6.11216e-5,0.000150487
131072,2048,0.0311832,0.0726048,0.110694,0.00108611,2.41154e-7,0.00199659,6.07209e-5,6.0807e-5
131072,4096,0.0274211,0.0386825,0.0976442,0.00104564,1.4323e-7,0.00101694,6.05483e-5,6.08113e-5
131072,8192,0.0264369,0.0219309,0.0938519,0.000983991,2.83801e-7,0.000523986,5.40409e-5,6.10636e-5
131072,16384,0.0329731,0.0141024,0.117718,0.000552278,1.86769e-7,0.000274657,3.11444e-5,7.32271e-5
131072,32768,0.0298868,0.00953427,0.10679,0.000859243,4.1405e-7,0.000156247,4.29036e-5,6.90575e-5
262144,4096,0.0155105,0.0361881,0.0552122,0.000440189,2.31511e-7,0.00099664,3.01609e-5,3.02077e-5
262144,8192,0.0136385,0.0195266,0.0485843,0.000520152,1.29318e-7,0.000505607,2.95598e-5,3.0349e-5
262144,16384,0.0132075,0.0109453,0.0472057,0.000528744,8.26355e-8,0.000261761,2.79307e-5,3.0564e-5
262144,32768,0.0144612,0.00676474,0.0506529,0.000373565,5.34385e-7,0.000139132,2.2774e-5,3.23489e-5
262144,65536,0.0165723,0.00490829,0.0591358,0.000366918,1.81297e-7,7.6763e-5,1.70727e-5,3.6782e-5
524288,8192,0.00787643,0.0181424,0.027959,0.000229093,1.299e-7,0.000498276,1.50641e-5,1.51555e-5
524288,16384,0.00711825,0.0096622,0.0249877,0.000283267,1.29357e-7,0.000252795,1.47825e-5,1.50117e-5
524288,32768,0.0067518,0.00545785,0.0239785,0.000172724,1.23051e-7,0.00013112,1.40776e-5,1.52884e-5
524288,65536,0.00707978,0.00335265,0.0251777,0.000199798,1.07995e-7,6.92193e-5,1.1883e-5,1.59752e-5
524288,131072,0.00824638,0.00245251,0.0293793,0.000154101,5.4851e-8,3.83482e-5,8.19461e-6,1.8216e-5
1048576,16384,0.0040279,0.00903,0.01428,0.000138392,4.18319e-8,0.000248452,7.4615e-6,7.51379e-6
1048576,32768,0.00375075,0.00486442,0.0130755,0.00011195,5.85957e-8,0.000126624,7.04712e-6,7.61267e-6
1048576,65536,0.0033931,0.00273945,0.0120087,0.000134277,3.56037e-8,6.52878e-5,7.28034e-6,7.62132e-6
1048576,131072,0.00373689,0.00169313,0.0132338,0.000104202,7.66207e-8,3.4756e-5,6.1086e-6,8.13149e-6
1048576,262144,0.00427528,0.00123349,0.0149072,7.22327e-5,9.02413e-8,1.9143e-5,4.1116e-6,9.09318e-6
2097152,32768,0.00212243,0.0045365,0.0074009,5.966e-5,5.45988e-8,0.000124321,3.78887e-6,3.80362e-6
2097152,65536,0.00200967,0.00242774,0.0070061,5.13876e-5,6.02255e-8,6.3224e-5,3.78068e-6,3.8073e-6
2097152,131072,0.00184499,0.00136163,0.00642987,6.18662e-5,3.49634e-8,3.25497e-5,3.39962e-6,3.82882e-6
2097152,262144,0.00194931,0.000849011,0.00679191,4.52885e-5,8.46145e-8,1.71933e-5,2.47472e-6,4.0596e-6
2097152,524288,0.00245533,0.000639249,0.00855779,4.09358e-5,1.23361e-7,9.56119e-6,1.98523e-6,4.7686e-6
4194304,65536,0.00118732,0.00228631,0.00413794,3.46643e-5,2.80173e-8,6.21877e-5,1.89212e-6,1.89994e-6
4194304,131072,0.000997324,0.00122199,0.00347305,2.901e-5,3.68843e-8,3.1503e-5,1.74476e-6,1.88022e-6
4194304,262144,0.00101951,0.00070128,0.00355297,3.06296e-5,1.98294e-8,1.62886e-5,1.67855e-6,1.92192e-6
4194304,524288,0.00104836,0.000432651,0.00364981,2.20761e-5,6.18359e-8,8.65701e-6,1.38096e-6,2.01641e-6
4194304,1048576,0.00127396,0.000322221,0.00432675,1.58406e-5,4.9884e-8,4.76924e-6,9.59029e-7,2.24697e-6
8388608,131072,0.000569774,0.00113038,0.00198344,1.24909e-5,3.64186e-8,3.10283e-5,8.98823e-7,9.06817e-7
8388608,262144,0.000617539,0.000619101,0.00214879,1.31649e-5,2.86576e-8,1.57568e-5,8.78742e-7,9.29654e-7
8388608,524288,0.000648176,0.000360132,0.0022556,1.20855e-5,3.55843e-8,8.11904e-6,8.83825e-7,9.5932e-7
8388608,1048576,0.000675538,0.000226934,0.00235303,1.36153e-5,1.65698e-8,4.30124e-6,5.50528e-7,9.87532e-7
8388608,2097152,0.000749574,0.000166841,0.00244068,1.35892e-5,2.39039e-8,2.40281e-6,6.49015e-7,1.05257e-6
16777216,262144,0.000475265,0.000584271,0.00165187,5.73297e-6,1.82578e-8,1.55152e-5,4.47889e-7,4.52603e-7
16777216,524288,0.000373012,0.000313533,0.00129479,3.84306e-6,2.14398e-8,7.88421e-6,3.90166e-7,4.52953e-7
16777216,1048576,0.000365041,0.000185369,0.00126824,4.49338e-6,1.13699e-8,4.06693e-6,3.5171e-7,4.92146e-7
16777216,2097152,0.000388465,0.000121097,0.00135102,4.07937e-6,2.71248e-8,2.1494e-6,2.58461e-7,5.37451e-7
16777216,4194304,0.000364478,8.22365e-5,0.00116628,6.27762e-6,2.01204e-8,1.20061e-6,2.91116e-7,5.40381e-7
33554432,524288,0.000336913,0.000300712,0.00117261,4.15399e-6,1.98488e-8,7.75652e-6,2.20801e-7,2.23207e-7
33554432,1048576,0.000273616,0.000162513,0.000895007,2.44944e-6,2.07025e-8,3.94004e-6,2.15931e-7,2.28329e-7
33554432,2097152,0.000166762,9.06331e-5,0.000578818,2.25625e-6,1.32519e-8,2.02976e-6,1.46955e-7,2.40398e-7
33554432,4194304,0.000209652,6.14111e-5,0.000728653,2.35887e-6,1.44161e-8,1.07288e-6,1.5198e-7,2.67096e-7
33554432,8388608,0.000286131,4.93543e-5,0.000914105,2.35411e-6,1.43579e-8,6.01537e-7,1.46664e-7,2.66902e-7
67108864,1048576,0.00017819,0.00015098,0.000619072,1.56635e-6,1.35236e-8,3.8756e-6,1.03241e-7,1.07626e-7
67108864,2097152,0.000191725,8.56525e-5,0.000606211,1.22403e-6,2.69307e-8,1.96984e-6,1.10226e-7,1.24118e-7
67108864,4194304,0.000197296,5.29705e-5,0.000605675,1.15792e-6,1.87041e-8,1.01561e-6,1.02465e-7,1.26388e-7
67108864,8388608,0.000186692,3.59506e-5,0.000589177,1.70865e-6,1.10012e-8,5.38887e-7,8.46145e-8,1.24021e-7
67108864,16777216,0.000186846,2.92835e-5,0.000617107,1.75032e-6,9.0804e-9,3.0755e-7,6.96358e-8,1.44801e-7
134217728,2097152,0.000113751,7.67585e-5,0.000349709,1.23575e-6,1.0361e-8,1.93828e-6,5.69853e-8,5.81689e-8
134217728,4194304,0.00018608,5.03807e-5,0.000588853,4.41932e-7,1.7928e-8,9.85223e-7,4.95541e-8,6.35046e-8
134217728,8388608,0.000161329,3.14468e-5,0.000489107,1.0004e-6,1.20296e-8,5.08813e-7,5.1378e-8,5.97987e-8
134217728,16777216,0.000170753,2.41421e-5,0.00052411,4.02952e-7,1.38728e-8,2.68687e-7,3.21888e-8,7.08969e-8
134217728,33554432,0.000201769,2.24683e-5,0.000623948,5.99849e-7,1.16415e-8,1.49167e-7,3.10247e-8,7.32252e-8
268435456,4194304,0.000144584,4.54207e-5,0.00045457,5.90885e-7,1.15445e-8,9.69468e-7,2.92396e-8,3.07919e-8
268435456,8388608,0.000126758,2.68922e-5,0.000364291,3.39739e-7,1.22236e-8,4.9265e-7,2.31861e-8,3.06754e-8
268435456,16777216,0.000110429,1.84314e-5,0.000351662,3.82463e-7,9.44904e-9,2.53397e-7,2.70472e-8,3.05784e-8
268435456,33554432,0.000166426,1.89918e-5,0.000534234,5.32406e-7,1.17968e-8,1.3411e-7,2.34189e-8,3.23635e-8
268435456,67108864,0.000223708,2.08133e-5,0.000684895,4.48859e-7,9.42964e-9,7.48162e-8,1.81608e-8,3.53709e-8
