Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.247921,0.127246,0.888015,0.00408379,1.35525e-6,0.00222525,0.00029191,0.000570484
32768,0.121803,0.0626327,0.436229,0.0017043,7.35134e-7,0.0010992,0.000133153,0.000278053
65536,0.0523038,0.049597,0.1873,0.00205266,3.99581e-7,0.00105401,0.000119012,0.000122617
131072,0.0286832,0.0441159,0.102688,0.00074048,4.0009e-7,0.00102077,6.06504e-5,6.09982e-5
262144,0.0146943,0.041204,0.0526025,0.000414811,9.47621e-8,0.000992605,3.04655e-5,3.0475e-5
524288,0.00920357,0.0399382,0.032833,0.00026326,1.13374e-7,0.000986657,1.51463e-5,1.51511e-5
1048576,0.00560179,0.0392216,0.0199169,0.000146153,1.05996e-7,0.000980451,6.22887e-6,6.23178e-6
2097152,0.00414446,0.0390927,0.0147363,0.000116331,6.56728e-8,0.00097847,2.48909e-6,2.49041e-6
4194304,0.00356688,0.0390735,0.0126369,7.6752e-5,4.56639e-8,0.000977516,1.21942e-6,1.22114e-6
8388608,0.00360528,0.0387075,0.0127428,0.000103194,9.5446e-8,0.00097704,9.87406e-7,9.88817e-7
16777216,0.00317583,0.0391685,0.011253,4.79243e-5,4.0236e-8,0.000976801,3.73417e-7,3.74785e-7
33554432,0.00311449,0.0389304,0.0110013,2.1043e-5,5.19067e-8,0.000976682,1.46203e-7,1.47571e-7
67108864,0.00305561,0.0390719,0.0108212,2.0419e-5,4.62605e-8,0.000976622,1.40848e-7,1.4223e-7
134217728,0.00305848,0.039293,0.0108161,3.17414e-5,4.33211e-8,0.000976592,1.56186e-7,1.56811e-7
268435456,0.00320987,0.0389023,0.0113771,5.2315e-5,7.26868e-8,0.000976577,1.58383e-7,1.59416e-7
