Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.127224,0.0762674,0.539928,0.00626002,1.10595e-9,0.00195312,0.000316149,0.000332498
32768,0.0643934,0.0383085,0.271776,0.00301272,6.20882e-10,0.000976562,0.00015385,0.000169022
65536,0.0331651,0.0191781,0.140764,0.0015608,1.5522e-10,0.000488281,7.89472e-5,8.5025e-5
131072,0.0189784,0.00980388,0.0805323,0.00108782,9.70128e-11,0.000244141,4.13307e-5,4.64747e-5
262144,0.00868734,0.00488844,0.0368676,0.000376733,7.76102e-11,0.00012207,1.89997e-5,2.28705e-5
524288,0.00453618,0.0024812,0.0192553,0.000189774,3.88051e-11,6.10352e-5,9.20284e-6,1.20909e-5
1048576,0.00238191,0.00122117,0.0101165,0.000161244,0,3.05176e-5,5.36419e-6,5.57024e-6
2097152,0.0010714,0.000606019,0.00454433,4.80571e-5,0,1.52588e-5,2.44412e-6,2.63762e-6
4194304,0.0005802,0.00030931,0.00245536,2.44736e-5,3.88051e-11,7.62939e-6,1.2178e-6,1.40932e-6
8388608,0.000278449,0.000153272,0.00118417,1.21392e-5,1.35818e-10,3.8147e-6,6.04312e-7,7.25753e-7
16777216,0.000165442,7.93334e-5,0.000699122,6.07721e-6,2.52233e-10,1.90735e-6,3.01671e-7,3.37915e-7
33554432,8.88498e-5,3.98892e-5,0.000354153,3.01031e-6,3.88051e-11,9.53674e-7,1.507e-7,1.63952e-7
67108864,3.53713e-5,1.89919e-5,0.000140511,1.50583e-6,7.76102e-11,4.76837e-7,7.41566e-8,8.46921e-8
134217728,6.11928e-5,1.4568e-5,0.000260476,1.35505e-6,1.35818e-10,2.38419e-7,4.17349e-8,4.51497e-8
268435456,3.00743e-5,7.26903e-6,0.000126677,3.85723e-7,1.94026e-11,1.19209e-7,1.89951e-8,2.1401e-8
