Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.127525,0.0745149,0.541212,0.00640002,5.82077e-10,0.00195312,0.000319183,0.000335603
32768,0.0646475,0.0374292,0.272857,0.00309457,4.07454e-10,0.000976562,0.000154962,0.000170279
65536,0.0334432,0.018793,0.141948,0.00159538,2.32831e-10,0.000488281,8.01283e-5,8.63406e-5
131072,0.019223,0.0095551,0.0815686,0.00109008,1.94026e-10,0.000244141,4.05653e-5,4.58351e-5
262144,0.00898466,0.00480789,0.0381311,0.00038395,1.16415e-10,0.00012207,1.91546e-5,2.29913e-5
524288,0.00478388,0.0024535,0.0203073,0.000193113,3.88051e-11,6.10352e-5,9.28759e-6,1.21678e-5
1048576,0.0027929,0.00123771,0.0118683,0.000160446,3.88051e-11,3.05176e-5,5.30951e-6,5.53656e-6
2097152,0.00132528,0.000621915,0.00562315,4.91421e-5,1.94026e-11,1.52588e-5,2.4662e-6,2.65902e-6
4194304,0.000861133,0.000335903,0.00365049,2.48496e-5,9.70128e-11,7.62939e-6,1.23571e-6,1.42741e-6
8388608,0.000531417,0.000179915,0.00225887,1.23867e-5,3.88051e-11,3.8147e-6,6.14809e-7,7.36288e-7
16777216,0.000453604,0.000111755,0.00192491,6.17381e-6,1.35818e-10,1.90735e-6,3.05357e-7,3.41795e-7
33554432,0.00033551,6.64768e-5,0.00133962,3.05893e-6,5.82077e-11,9.53674e-7,1.51883e-7,1.65678e-7
67108864,0.000302778,4.83211e-5,0.00120893,1.53837e-6,5.82077e-11,4.76837e-7,7.45058e-8,8.55653e-8
134217728,0.000336076,4.68611e-5,0.00142862,1.3489e-6,5.82077e-11,2.38419e-7,4.1405e-8,4.51885e-8
268435456,0.000265108,3.49623e-5,0.00112423,3.93154e-7,3.88051e-11,1.19209e-7,1.94026e-8,2.23517e-8
