Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.237882,0.123389,0.975096,0.00146955,1.61041e-9,0.00219057,0.000245101,0.000621144
32768,0.0883741,0.0578172,0.374919,0.00101776,2.15368e-9,0.00112719,0.000210496,0.000243948
65536,0.0585481,0.0499895,0.248478,0.000381296,4.46259e-10,0.00103716,6.38014e-5,0.00015583
131072,0.0245892,0.0426458,0.104338,0.000260559,2.91038e-10,0.00101576,6.09729e-5,6.10625e-5
262144,0.0136708,0.040211,0.0579557,0.000135141,4.26856e-10,0.00099827,3.05047e-5,3.05071e-5
524288,0.00813273,0.0384966,0.0345224,0.000113635,1.35818e-10,0.000984474,1.10091e-5,1.10113e-5
1048576,0.00556309,0.0378588,0.0236044,5.77406e-5,2.13428e-10,0.000980377,5.38611e-6,5.38852e-6
2097152,0.00409051,0.0374972,0.017353,3.90281e-5,9.70128e-11,0.00097847,2.44323e-6,2.44488e-6
4194304,0.00344306,0.0373288,0.0146041,2.5957e-5,7.76102e-11,0.000977516,1.02248e-6,1.02424e-6
8388608,0.00316039,0.0374484,0.0133792,1.87789e-5,9.70128e-11,0.000977039,9.70128e-11,1.94026e-9
16777216,0.00382333,0.037243,0.0161503,4.5653e-5,2.71636e-10,0.000976801,1.02424e-6,1.02601e-6
33554432,0.00332045,0.0371769,0.014068,2.75782e-5,2.32831e-10,0.000976682,1.19966e-7,1.20859e-7
67108864,0.00291221,0.0371886,0.0117907,9.99158e-6,2.13428e-10,0.000976622,5.82077e-11,1.29997e-9
134217728,0.00313806,0.037158,0.0133002,2.65954e-5,2.91038e-10,0.000976592,3.00546e-8,3.15874e-8
268435456,0.00294511,0.0371496,0.0124844,1.40927e-5,3.88051e-11,0.000976577,7.76102e-11,1.5522e-9
