Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.237882,0.132706,0.975113,0.000979305,2.67755e-9,0.00220397,0.000245107,0.000643896
32768,0.0886472,0.060413,0.376084,0.00101775,1.97906e-9,0.0011272,0.000211375,0.000244826
65536,0.0588347,0.0520529,0.249698,0.000257642,3.49246e-10,0.00103716,6.38782e-5,0.000159369
131072,0.0248661,0.0432896,0.105516,0.000260554,5.23869e-10,0.00101576,6.09775e-5,6.10669e-5
262144,0.013947,0.0405493,0.0591104,0.00013513,3.49246e-10,0.000998271,3.05198e-5,3.05227e-5
524288,0.00840572,0.0389543,0.0356786,9.19394e-5,1.16415e-10,0.000984477,1.50546e-5,1.50564e-5
1048576,0.00584221,0.0383824,0.0247913,6.44881e-5,1.94026e-10,0.000980378,4.77728e-6,4.77943e-6
2097152,0.00435334,0.0382137,0.0184681,3.90239e-5,1.16415e-10,0.00097847,2.16538e-6,2.16727e-6
4194304,0.00370163,0.0381371,0.0156994,2.58867e-5,1.94026e-11,0.000977516,1.03544e-6,1.03747e-6
8388608,0.00345095,0.0378566,0.0146079,1.51265e-5,1.16415e-10,0.00097704,7.36599e-7,7.38636e-7
16777216,0.00410074,0.0381374,0.0173227,5.3178e-5,5.04466e-10,0.000976801,2.42687e-7,2.44104e-7
33554432,0.00377727,0.0381436,0.0160036,2.75672e-5,1.35818e-10,0.000976682,1.20024e-7,1.20917e-7
67108864,0.00315232,0.0380329,0.0128047,7.83345e-6,1.16415e-10,0.000976622,6.40284e-8,6.53672e-8
134217728,0.00343094,0.0381378,0.0145389,2.65887e-5,1.74623e-10,0.000976592,2.98605e-8,3.13545e-8
268435456,0.00320587,0.0380797,0.0135901,1.19684e-5,3.88051e-11,0.000976577,1.51146e-8,1.66086e-8
