Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.529694,1.47081,2.43466,0.2347,4.13604e-7,0.015625,4.04653e-5,4.07012e-5
16384,512,0.410614,1.11101,1.88738,0.164031,2.18201e-7,0.0078125,3.21053e-5,3.22784e-5
16384,1024,0.369907,0.929767,1.70022,0.119372,4.09821e-7,0.00390625,1.07125e-6,1.23563e-6
16384,2048,0.347733,0.839869,1.59836,0.103656,1.8997e-7,0.00195312,5.63256e-8,1.96276e-7
16384,4096,0.336136,0.794945,1.54505,0.0841903,3.254e-7,0.000976562,4.87586e-8,1.96373e-7
32768,512,0.367266,1.11038,1.68819,0.155221,2.95268e-7,0.0078125,1.98294e-5,1.99847e-5
32768,1024,0.319443,0.929753,1.46834,0.123345,1.81239e-7,0.00390625,9.46864e-7,1.04364e-6
32768,2048,0.317007,0.839864,1.4571,0.104885,1.68026e-7,0.00195312,4.25304e-8,1.38146e-7
32768,4096,0.30966,0.794941,1.42337,0.091775,1.59373e-7,0.000976562,1.75981e-8,1.19597e-7
32768,8192,0.317863,0.772481,1.46111,0.0840626,2.6242e-7,0.000488281,2.41562e-8,1.38651e-7
65536,1024,0.19101,0.929707,0.877927,0.103737,1.77921e-7,0.00390625,9.34621e-8,1.6044e-7
65536,2048,0.169287,0.839857,0.778141,0.100142,8.76801e-8,0.00195312,1.03222e-8,5.96434e-8
65536,4096,0.162602,0.794935,0.747374,0.0866572,1.50952e-7,0.000976562,7.02372e-9,5.25033e-8
65536,8192,0.160524,0.772474,0.737718,0.0848728,1.52543e-7,0.000488281,1.04386e-8,7.26238e-8
65536,16384,0.152183,0.761244,0.699507,0.0775628,1.83839e-7,0.000244141,8.40131e-9,5.52585e-8
131072,2048,0.147721,0.839855,0.678882,0.119704,1.25146e-7,0.00195312,6.98492e-9,3.57201e-8
131072,4096,0.151502,0.794933,0.696363,0.109018,8.73309e-8,0.000976562,7.46998e-9,4.23364e-8
131072,8192,0.135023,0.772474,0.620615,0.105754,1.79551e-7,0.000488281,8.51772e-9,5.08347e-8
131072,16384,0.129073,0.761242,0.593283,0.103846,9.5383e-8,0.000244141,6.073e-9,4.01439e-8
131072,32768,0.148767,0.755628,0.683825,0.099939,1.61061e-7,0.00012207,8.42071e-9,5.81689e-8
262144,4096,0.120986,0.794931,0.556104,0.108747,1.35255e-7,0.000976562,2.19249e-9,1.23594e-8
262144,8192,0.118313,0.77247,0.543779,0.10791,1.11196e-7,0.000488281,2.3089e-9,1.40863e-8
262144,16384,0.117333,0.76124,0.53934,0.105522,1.53435e-7,0.000244141,2.3089e-9,1.41445e-8
262144,32768,0.121434,0.755625,0.558184,0.104675,1.98837e-7,0.00012207,4.579e-9,2.04697e-8
262144,65536,0.126909,0.752821,0.583345,0.102732,1.5751e-7,6.10352e-5,6.96552e-9,4.05707e-8
524288,8192,0.114503,0.77247,0.526248,0.106177,2.63603e-7,0.000488281,2.44472e-9,1.44355e-8
524288,16384,0.110973,0.761241,0.510008,0.105082,2.90592e-7,0.000244141,3.16262e-9,1.96936e-8
524288,32768,0.110605,0.755617,0.508338,0.106677,2.24934e-7,0.00012207,5.70435e-9,2.51263e-8
524288,65536,0.109881,0.752818,0.505028,0.105385,2.77903e-7,6.10352e-5,4.579e-9,2.64845e-8
524288,131072,0.109,0.751421,0.500976,0.104623,2.1271e-7,3.05176e-5,5.78972e-8,1.30967e-7
1048576,16384,0.110771,0.761232,0.509145,0.105456,3.62808e-7,0.000244141,3.35664e-9,1.44937e-8
1048576,32768,0.111279,0.755625,0.511471,0.10645,5.35918e-7,0.00012207,6.73269e-9,2.48741e-8
1048576,65536,0.109238,0.752811,0.502012,0.105508,3.91427e-7,6.10352e-5,6.18941e-9,3.52156e-8
1048576,131072,0.10825,0.751409,0.497508,0.104761,3.66029e-7,3.05176e-5,1.50952e-8,5.71793e-8
1048576,262144,0.108569,0.75189,0.498931,0.105343,6.54623e-7,1.52588e-5,1.29228e-5,2.23508e-5
2097152,32768,0.110858,0.755619,0.509524,0.106719,8.37938e-7,0.00012207,4.40438e-9,2.09354e-8
2097152,65536,0.109634,0.752811,0.503848,0.105572,1.25276e-6,6.10352e-5,5.68495e-9,3.0268e-8
2097152,131072,0.108528,0.751417,0.498755,0.104904,1.77918e-6,3.05176e-5,2.48353e-8,6.91119e-8
2097152,262144,0.108714,0.751933,0.499588,0.105252,1.26481e-6,1.52588e-5,1.36837e-5,2.33855e-5
2097152,524288,0.108036,0.756068,0.496493,0.107465,1.25703e-6,7.62939e-6,7.6235e-6,6.28823e-5
4194304,65536,0.110656,0.752812,0.508553,0.105158,3.38446e-5,6.10352e-5,1.14281e-8,4.43348e-8
4194304,131072,0.109125,0.751422,0.501449,0.104614,1.41713e-5,3.05176e-5,1.07238e-7,2.49556e-7
4194304,262144,0.10964,0.751924,0.503777,0.105282,3.43761e-5,1.52588e-5,1.32109e-5,2.29893e-5
4194304,524288,0.109178,0.756004,0.501742,0.107163,8.2906e-5,7.62939e-6,7.61723e-6,6.2508e-5
4194304,1048576,0.108791,0.756937,0.499949,0.107335,0.00020851,3.8147e-6,3.81134e-6,4.64209e-5
8388608,131072,0.152439,0.752879,0.699482,0.0994773,0.0006417,3.05176e-5,1.41523e-5,2.61593e-5
8388608,262144,0.149832,0.755493,0.687543,0.103727,0.00295547,1.52588e-5,1.35659e-5,6.94512e-5
8388608,524288,0.145707,0.75691,0.668695,0.107556,0.00426658,7.62939e-6,7.50681e-6,6.6559e-5
8388608,1048576,0.140742,0.754682,0.645826,0.109328,0.0069219,3.8147e-6,3.69809e-6,3.83376e-5
8388608,2097152,0.140963,0.75326,0.647032,0.109224,0.00915177,1.90735e-6,1.84875e-6,2.20816e-5
16777216,262144,0.276396,0.750702,1.26767,0.0980351,0.0603101,1.52588e-5,0,0
16777216,524288,0.278385,0.750451,1.27684,0.0988995,0.0530856,7.62939e-6,7.02178e-8,7.69447e-7
16777216,1048576,0.277577,0.750178,1.2734,0.0991226,0.0461988,3.8147e-6,1.94026e-11,6.20882e-10
16777216,2097152,0.272077,0.75009,1.2482,0.0994323,0.0429747,1.90735e-6,1.94026e-11,6.20882e-10
16777216,4194304,0.270611,0.750048,1.24159,0.0994665,0.0419338,9.53674e-7,1.94026e-11,6.59687e-10
33554432,524288,0.325998,0.750351,1.49583,0.0950061,0.0655072,7.62939e-6,0,0
33554432,1048576,0.355347,0.750176,1.63135,0.0911979,0.0628103,3.8147e-6,0,0
33554432,2097152,0.356148,0.750088,1.63496,0.0909005,0.0597729,1.90735e-6,0,0
33554432,4194304,0.355118,0.750044,1.63009,0.0908013,0.0586644,9.53674e-7,0,0
33554432,8388608,0.354811,0.750025,1.62867,0.0909804,0.0580814,4.76837e-7,1.08654e-9,1.44355e-8
67108864,1048576,0.379168,0.750183,1.74067,0.0893582,0.0680483,3.8147e-6,2.32831e-10,5.99539e-9
67108864,2097152,0.389039,0.75009,1.78672,0.0876202,0.0670242,1.90735e-6,3.88051e-11,1.10595e-9
67108864,4194304,0.390962,0.750049,1.79537,0.0873331,0.0662057,9.53674e-7,5.82077e-11,1.62981e-9
67108864,8388608,0.390331,0.750029,1.79271,0.0875004,0.0656151,4.76837e-7,3.88051e-11,1.26117e-9
67108864,16777216,0.388937,0.750019,1.7863,0.0875518,0.0650779,2.38419e-7,1.94026e-11,7.17894e-10
134217728,2097152,0.397224,0.750133,1.82456,0.0866171,0.0691445,1.90735e-6,7.567e-10,2.12846e-8
134217728,4194304,0.401185,0.750088,1.84273,0.0860137,0.068864,9.53674e-7,3.68649e-10,1.14475e-8
134217728,8388608,0.401806,0.750066,1.8457,0.0858343,0.0684849,4.76837e-7,1.94026e-10,6.61627e-9
134217728,16777216,0.402263,0.750054,1.84763,0.0858991,0.0683073,2.38419e-7,9.70128e-11,3.62828e-9
134217728,33554432,0.402848,0.750052,1.85033,0.0860097,0.0681476,1.19209e-7,5.82077e-11,2.3089e-9
268435456,4194304,0.404526,0.750163,1.85811,0.085594,0.0695502,9.53674e-7,9.8953e-10,3.11023e-8
268435456,8388608,0.406026,0.75014,1.86528,0.0854199,0.0694782,4.76837e-7,5.04466e-10,1.74041e-8
268435456,16777216,0.406613,0.750125,1.86801,0.0853988,0.0693677,2.38419e-7,2.52233e-10,9.44904e-9
268435456,33554432,0.406788,0.750119,1.86869,0.0853772,0.0692776,1.19209e-7,1.35818e-10,5.45212e-9
