Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.529932,1.2628,2.43577,0.261656,3.47189e-7,0.015625,0.000254666,0.000254899
16384,512,0.410851,0.882066,1.88851,0.192326,2.71985e-7,0.0078125,0.000139972,0.000140291
16384,1024,0.370144,0.703477,1.70126,0.155225,6.70028e-7,0.00390625,0.000317455,0.00031844
16384,2048,0.347971,0.621213,1.59941,0.148796,3.51632e-7,0.00195312,0.000546984,0.000548182
16384,4096,0.336398,0.584238,1.54619,0.124424,3.71171e-7,0.000976562,0.000719869,0.00074388
32768,512,0.3675,0.880029,1.68913,0.183397,3.65952e-7,0.0078125,9.96345e-5,9.977e-5
32768,1024,0.319679,0.697028,1.4694,0.162122,4.71676e-7,0.00390625,0.00018948,0.000189625
32768,2048,0.317253,0.614063,1.45825,0.148124,2.83549e-7,0.00195312,0.000404805,0.000405247
32768,4096,0.309897,0.572941,1.42443,0.131668,2.60576e-7,0.000976562,0.000510391,0.000519466
32768,8192,0.318109,0.551209,1.46209,0.12264,2.97538e-7,0.000488281,0.000432244,0.000543322
65536,1024,0.191248,0.688055,0.878962,0.14776,2.30832e-7,0.00390625,1.01394e-5,1.02133e-5
65536,2048,0.169527,0.596193,0.779208,0.146278,1.48643e-7,0.00195312,4.79227e-5,4.79902e-5
65536,4096,0.162843,0.5531,0.748476,0.127317,1.903e-7,0.000976562,0.000123554,0.00012363
65536,8192,0.16077,0.529763,0.738876,0.126389,2.89991e-7,0.000488281,0.000125437,0.000125614
65536,16384,0.152426,0.517861,0.700594,0.119856,2.03203e-7,0.000244141,0.000121569,0.000121938
131072,2048,0.147959,0.594875,0.680047,0.159231,8.62444e-8,0.00195312,2.14545e-5,2.1607e-5
131072,4096,0.151737,0.553384,0.69737,0.150375,1.09198e-7,0.000976562,0.000129252,0.000129322
131072,8192,0.135268,0.527801,0.621644,0.146761,1.29745e-7,0.000488281,8.63442e-5,8.64111e-5
131072,16384,0.129311,0.515702,0.594336,0.145144,1.07568e-7,0.000244141,7.86938e-5,7.88196e-5
131072,32768,0.149004,0.514007,0.684822,0.143593,1.21441e-7,0.00012207,0.000120309,0.000158296
262144,4096,0.121232,0.546974,0.557199,0.148369,1.28814e-7,0.000976562,1.12098e-6,1.1547e-6
262144,8192,0.118552,0.523641,0.544818,0.147962,1.20509e-7,0.000488281,3.16541e-6,3.2294e-6
262144,16384,0.117577,0.512513,0.540365,0.146298,1.20432e-7,0.000244141,1.49955e-5,1.50519e-5
262144,32768,0.121671,0.507918,0.559174,0.145721,1.6401e-7,0.00012207,4.01638e-5,4.03344e-5
262144,65536,0.127203,0.506611,0.584595,0.144003,1.85042e-7,6.10352e-5,5.40967e-5,7.0918e-5
524288,8192,0.11474,0.523478,0.527298,0.14597,2.76545e-7,0.000488281,1.3931e-8,2.43696e-8
524288,16384,0.111216,0.511759,0.511031,0.144937,2.95443e-7,0.000244141,1.88205e-9,1.15251e-8
524288,32768,0.110841,0.505891,0.509363,0.146461,1.13369e-7,0.00012207,1.78503e-9,9.70128e-9
524288,65536,0.110118,0.502971,0.506079,0.145722,2.31919e-7,6.10352e-5,2.48353e-8,4.20259e-8
524288,131072,0.109239,0.501506,0.502009,0.144729,2.18124e-7,3.05176e-5,1.42997e-8,3.18978e-8
1048576,16384,0.111009,0.51175,0.510169,0.144993,3.46045e-7,0.000244141,9.70128e-11,2.17309e-9
1048576,32768,0.111525,0.505899,0.512519,0.146682,5.76236e-7,0.00012207,1.35818e-10,2.83277e-9
1048576,65536,0.109477,0.502961,0.503046,0.145488,3.01613e-7,6.10352e-5,7.76102e-11,2.15368e-9
1048576,131072,0.108488,0.501496,0.498516,0.144658,3.47616e-7,3.05176e-5,1.16415e-10,2.3089e-9
1048576,262144,0.108818,0.500773,0.499988,0.144858,6.60017e-7,1.52588e-5,1.5522e-10,3.08501e-9
2097152,32768,0.111095,0.50589,0.510518,0.146903,2.0323e-6,0.00012207,5.82077e-11,1.64922e-9
2097152,65536,0.109872,0.50296,0.504874,0.145715,2.85968e-6,6.10352e-5,7.37297e-10,4.32677e-9
2097152,131072,0.108779,0.501504,0.499821,0.144602,2.49204e-6,3.05176e-5,9.70128e-11,2.61934e-9
2097152,262144,0.108954,0.500763,0.500607,0.144557,3.05767e-6,1.52588e-5,5.82077e-11,1.64922e-9
2097152,524288,0.108274,0.500397,0.497461,0.144948,1.86197e-6,7.62939e-6,7.76102e-11,2.11488e-9
4194304,65536,0.110902,0.50296,0.509574,0.145439,0.000785783,6.10352e-5,7.76102e-11,1.66862e-9
4194304,131072,0.109369,0.501495,0.50243,0.144676,0.000210223,3.05176e-5,3.88051e-10,2.21189e-9
4194304,262144,0.10988,0.500764,0.504775,0.144635,0.000827592,1.52588e-5,1.31937e-9,1.05162e-8
4194304,524288,0.109414,0.500397,0.502719,0.144903,0.00064739,7.62939e-6,7.76102e-10,4.90885e-9
4194304,1048576,0.109164,0.500231,0.501488,0.144704,0.000478531,3.8147e-6,4.07454e-10,4.61781e-9
8388608,131072,0.15268,0.501624,0.700554,0.143088,0.0315441,3.05176e-5,3.81784e-7,1.72834e-6
