Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.507264,1.56653,2.33156,0.152998,5.41448e-7,0.0158695,0.000231105,0.000231466
16384,512,0.41775,1.16704,1.92021,0.122891,3.55338e-7,0.00806096,0.000131373,0.000131641
16384,1024,0.35901,0.962969,1.6502,0.0908513,3.49498e-7,0.00416785,7.62813e-6,7.82057e-6
16384,2048,0.353539,0.866197,1.62507,0.0934761,3.0171e-7,0.00224148,1.74839e-5,1.77113e-5
16384,4096,0.354372,0.820783,1.62891,0.0879943,3.08927e-7,0.00131655,4.60782e-5,4.62804e-5
32768,512,0.368579,1.15476,1.6942,0.108609,4.19173e-7,0.00793417,3.60164e-5,3.62173e-5
32768,1024,0.328253,0.955991,1.50884,0.0894078,3.38128e-7,0.00402903,4.33705e-7,5.71231e-7
32768,2048,0.330299,0.856359,1.51805,0.0873695,3.46161e-7,0.00207694,2.6339e-7,4.46375e-7
32768,4096,0.328706,0.806727,1.5108,0.0863142,3.1178e-7,0.00110263,6.43389e-8,2.3966e-7
32768,8192,0.329164,0.782715,1.51299,0.087405,3.12536e-7,0.000630733,5.55495e-8,2.38884e-7
65536,1024,0.198987,0.951997,0.91462,0.0835658,1.85973e-7,0.00396739,5.06407e-8,1.29764e-7
65536,2048,0.204696,0.852671,0.940811,0.0825865,1.95675e-7,0.00201425,1.75593e-8,8.76607e-8
65536,4096,0.185997,0.803085,0.854886,0.0786794,1.98702e-7,0.00103811,1.08654e-8,7.2585e-8
65536,8192,0.181108,0.778301,0.832452,0.082298,1.81918e-7,0.000550459,1.5328e-8,8.01714e-8
65536,16384,0.214215,0.767902,0.98464,0.0798637,2.93522e-7,0.000349382,5.71987e-8,1.43792e-7
131072,2048,0.152414,0.851372,0.700444,0.0936587,1.71751e-7,0.00198365,9.8565e-9,6.35434e-8
131072,4096,0.15253,0.801628,0.701069,0.0962071,1.88088e-7,0.00100708,7.35357e-9,4.62557e-8
131072,8192,0.149755,0.776637,0.688369,0.0980587,1.31084e-7,0.0005188,6.0924e-9,4.03767e-8
131072,16384,0.150734,0.764172,0.692813,0.0986109,1.79183e-7,0.000274671,8.96398e-9,5.10869e-8
131072,32768,0.147766,0.758013,0.679185,0.0980618,1.62632e-7,0.000154172,9.41024e-9,5.9236e-8
262144,4096,0.132419,0.800763,0.608634,0.100923,1.99128e-7,0.000991819,2.89098e-9,1.61817e-8
262144,8192,0.124502,0.775753,0.572182,0.101449,2.26079e-7,0.000503541,4.48199e-9,2.10324e-8
262144,16384,0.123722,0.763309,0.568622,0.103118,1.91367e-7,0.000259531,7.33417e-9,3.6244e-8
262144,32768,0.128702,0.757089,0.591598,0.10225,2.23207e-7,0.00013733,7.45058e-9,3.15874e-8
262144,65536,0.123177,0.753969,0.566094,0.102103,2.09082e-7,7.63133e-5,8.40131e-9,4.2899e-8
