Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.507735,1.48724,2.33364,0.192298,3.09645e-7,0.0158737,0.000362376,0.000362621
16384,512,0.418234,1.01796,1.92246,0.155107,2.2181e-7,0.00807366,0.000431966,0.000432156
16384,1024,0.359273,0.793849,1.65142,0.126746,3.59685e-7,0.00420373,0.000595271,0.000595465
16384,2048,0.353973,0.674853,1.62698,0.136787,2.30483e-7,0.00227788,0.000552623,0.000552864
16384,4096,0.35463,0.630199,1.63009,0.127637,1.80948e-7,0.00140344,0.000667177,0.000676373
32768,512,0.368807,0.998552,1.69514,0.144203,4.44687e-7,0.00793941,0.000264835,0.000264971
32768,1024,0.328485,0.780192,1.50986,0.123244,2.87216e-7,0.00405749,0.000533081,0.000533229
32768,2048,0.330533,0.658587,1.51907,0.13152,2.84112e-7,0.00210741,0.000469203,0.000469406
32768,4096,0.328945,0.607772,1.51181,0.125021,2.26214e-7,0.0011705,0.000553416,0.000554242
32768,8192,0.329396,0.585931,1.51392,0.124068,2.78892e-7,0.00072774,0.000487061,0.000614725
65536,1024,0.199227,0.750349,0.915623,0.122694,1.84014e-7,0.00397115,0.000156379,0.000156451
65536,2048,0.204936,0.632372,0.941986,0.12825,1.88379e-7,0.00201929,0.000154439,0.000154525
65536,4096,0.186226,0.574873,0.855937,0.12011,1.75981e-7,0.00104804,0.000172131,0.000172212
65536,8192,0.181344,0.547101,0.833529,0.122788,1.377e-7,0.000574151,0.000184707,0.000184787
65536,16384,0.214441,0.538223,0.985608,0.120776,1.61429e-7,0.00036533,0.000239995,0.000240737
131072,2048,0.152698,0.627431,0.701747,0.137458,1.63059e-7,0.00198572,0.000114335,0.000114406
131072,4096,0.152794,0.571506,0.702247,0.137204,1.03086e-7,0.00101148,0.000157262,0.000157331
131072,8192,0.149984,0.542742,0.68938,0.139778,1.02678e-7,0.00052917,0.000161544,0.000161602
131072,16384,0.150973,0.530341,0.693895,0.14167,1.20548e-7,0.000299155,0.00018231,0.000182983
131072,32768,0.14803,0.522739,0.68039,0.141415,1.18123e-7,0.00018308,0.000122079,0.000169439
262144,4096,0.132647,0.564184,0.609622,0.142538,1.08596e-7,0.000992952,6.49595e-5,6.50007e-5
262144,8192,0.124739,0.534062,0.573323,0.142912,2.18997e-7,0.00050489,5.33423e-5,5.33916e-5
262144,16384,0.124089,0.519363,0.57024,0.144493,1.1919e-7,0.000261179,5.27198e-5,5.27657e-5
262144,32768,0.128941,0.514589,0.592567,0.143735,1.88302e-7,0.000143933,8.70527e-5,8.73204e-5
262144,65536,0.123413,0.509669,0.567172,0.1434,2.05104e-7,8.44465e-5,6.14278e-5,6.70083e-5
524288,8192,0.116306,0.530995,0.534549,0.143723,2.79067e-7,0.000496065,1.34153e-5,1.34231e-5
524288,16384,0.114434,0.516215,0.525804,0.14395,2.58442e-7,0.000251955,1.35574e-5,1.35668e-5
524288,32768,0.113371,0.508856,0.520988,0.145189,3.35703e-7,0.000130086,1.38658e-5,1.38786e-5
524288,65536,0.112304,0.50528,0.516087,0.144506,3.44686e-7,6.93431e-5,1.53404e-5,1.53555e-5
524288,131072,0.112377,0.503684,0.516457,0.143824,3.03689e-7,4.31281e-5,1.52957e-5,1.5315e-5
1048576,16384,0.111753,0.515452,0.513585,0.14377,6.90226e-7,0.000247957,4.94895e-6,4.95277e-6
1048576,32768,0.1119,0.508042,0.514201,0.145225,6.13877e-7,0.000125886,4.99759e-6,5.00064e-6
1048576,65536,0.110642,0.504329,0.508372,0.144614,5.64944e-7,6.48507e-5,5.0767e-6,5.07895e-6
1048576,131072,0.110103,0.502467,0.505956,0.144124,6.05825e-7,3.4335e-5,5.09426e-6,5.09639e-6
1048576,262144,0.109785,0.50155,0.504453,0.144406,5.59434e-7,1.90832e-5,5.22449e-6,5.22744e-6
2097152,32768,0.11077,0.507733,0.509002,0.145055,2.19633e-6,0.000123978,2.16201e-6,2.16465e-6
2097152,65536,0.109879,0.504018,0.504961,0.14444,2.40062e-6,6.29425e-5,2.17939e-6,2.18201e-6
2097152,131072,0.109034,0.50216,0.501024,0.144074,1.81641e-6,3.24249e-5,2.18215e-6,2.18477e-6
2097152,262144,0.109408,0.501234,0.502652,0.14443,2.47908e-6,1.71664e-5,2.23669e-6,2.23919e-6
2097152,524288,0.109292,0.50079,0.502134,0.14464,2.59228e-6,9.53701e-6,2.54466e-6,2.54688e-6
4194304,65536,0.110201,0.503893,0.506339,0.144596,8.8538e-5,6.19888e-5,1.01885e-6,1.02333e-6
4194304,131072,0.109319,0.502025,0.502263,0.144171,0.000127441,3.14713e-5,1.01978e-6,1.02465e-6
4194304,262144,0.109126,0.501096,0.501319,0.144531,0.000138455,1.62125e-5,1.02023e-6,1.02255e-6
4194304,524288,0.108976,0.500639,0.500667,0.144752,5.98335e-5,8.58363e-6,1.09357e-6,1.11505e-6
4194304,1048576,0.109402,0.500416,0.502577,0.14465,0.000402423,4.76952e-6,1.27426e-6,1.28802e-6
8388608,131072,0.151464,0.501968,0.694875,0.142854,0.0307536,3.09958e-5,5.78701e-7,6.7808e-7
